method,features,dataset_size,n_features,mean_error_m,median_error_m,std_error_m,min_error_m,max_error_m,accuracy_50cm,accuracy_1m,accuracy_2m,accuracy_3m
MLP_config2,combined,250,121,1.912144569439589,2.039645352598711,0.8609222315007762,0.01748536632099467,3.4469558718249598,9.246203904555314,20.47180043383948,47.640997830802604,96.04121475054231
MLP_config3,combined,250,121,1.9032592414414964,1.998209432793395,0.7655699376468498,0.2845196828226059,3.5844300975243737,0.8676789587852495,20.281995661605208,50.18980477223427,93.1941431670282
kNN_k1,raw,500,105,2.4630675824132355,2.5495097567963922,0.8650861265642357,0.7071067811865469,4.301162633521314,0.0,3.0639913232104123,35.195227765726685,79.36550976138828
kNN_k3,raw,500,105,2.3852346412081116,2.5495097567963922,0.7563844451441569,0.7071067811865469,4.301162633521314,0.0,2.386117136659436,33.32429501084599,84.02928416485899
kNN_k5,raw,500,105,2.3708735922651227,2.5495097567963922,0.7315322175758314,0.4224205279162213,4.301162633521314,0.027114967462039046,2.1963123644251628,32.619305856832966,84.68004338394793
kNN_k7,raw,500,105,2.368039378566366,2.5495097567963922,0.7160539504823666,0.3642888389469464,4.301162633521314,0.027114967462039046,2.1691973969631237,32.673535791757054,85.08676789587852
kNN_k10,raw,500,105,2.3700742184570953,2.540318341533977,0.6960660982561949,0.2973946232531519,4.301162633521314,0.05422993492407809,2.1420824295010847,31.480477223427332,85.7646420824295
kNN_k1,physics,500,16,2.354211132611836,2.5495097567963922,1.202171808875071,0.7071067811865472,4.527692569068709,0.0,20.363340563991322,38.4761388286334,79.69088937093277
kNN_k3,physics,500,16,2.3097747135492983,2.5495097567963922,1.2233450722107528,0.23084549701696783,4.527692569068709,0.027114967462039046,22.261388286334054,40.075921908893704,79.74511930585683
kNN_k5,physics,500,16,2.2775959382118467,2.5495097567963922,1.2366118932264782,0.4551357597434451,4.41860634613578,0.10845986984815618,22.69522776572668,40.91648590021692,79.74511930585683
kNN_k7,physics,500,16,2.2609838442098242,2.5495097567963922,1.2378999595527658,0.3666807894645032,4.469551240387094,0.08134490238611713,22.830802603036876,40.94360086767896,79.77223427331887
kNN_k10,physics,500,16,2.244063651469392,2.5495097567963922,1.2292342380984445,0.46405048590276615,4.419004898727473,0.027114967462039046,22.80368763557484,40.94360086767896,79.853579175705
kNN_k1,combined,500,121,2.411175085327617,2.5495097567963922,0.9537620456815,0.7071067811865469,4.301162633521314,0.0,7.348156182212581,37.12039045553146,80.12472885032538
kNN_k3,combined,500,121,2.2642940842010475,2.511544991638389,0.7391984618486515,0.5172428322570887,4.301162633521314,0.0,5.504338394793926,35.222342733188725,88.80151843817788
kNN_k5,combined,500,121,2.24437848849992,2.543599083774408,0.7117772774945215,0.3162278486152287,4.301162633521314,0.2440347071583514,5.558568329718004,34.788503253796094,90.45553145336225
kNN_k7,combined,500,121,2.2431925794748095,2.5495097567963922,0.6829213507397729,0.26981314753310964,3.9197163086229665,0.27114967462039047,4.663774403470716,34.598698481561826,90.31995661605207
kNN_k10,combined,500,121,2.2463917869216328,2.5188217493964355,0.6546957126735071,0.39906133849886116,3.8078865529319557,0.21691973969631237,4.473969631236443,34.788503253796094,91.48590021691973
RandomForest_config1,raw,500,105,2.237853224465025,2.421228725374914,0.7444334848518612,0.0885688683705758,4.20885079326887,4.907809110629067,5.314533622559653,39.69631236442516,86.14425162689805
RandomForest_config2,raw,500,105,2.269017200285082,2.478020600122648,0.7073396395706312,0.12653131037625315,4.283072057530669,4.1757049891540134,5.287418655097613,28.9587852494577,95.58026030368764
RandomForest_config3,raw,500,105,2.252978883129619,2.4598738498366117,0.7124207421140907,0.21614809737770094,4.278269276237763,4.365509761388287,5.368763557483731,33.02603036876356,94.54989154013015
RandomForest_config1,physics,500,16,2.519026680669412,1.8942280749687983,1.6433797206428022,0.11704699910719614,5.50214103781428,0.4067245119305857,24.864425162689805,54.14859002169198,59.65292841648589
RandomForest_config2,physics,500,16,2.513450448700299,1.8756247710324043,1.6660605722025816,0.12154648098260008,5.491925797018373,0.6236442516268981,27.575921908893708,55.63991323210412,59.65292841648589
RandomForest_config3,physics,500,16,2.5144776182133395,1.896679203239177,1.6288911421137247,0.07561084578286381,5.471511674117126,0.6236442516268981,26.518438177874188,54.202819956616054,59.65292841648589
RandomForest_config1,combined,500,121,2.3551934036386526,2.469514122251582,0.6445456624703028,0.20000000000000018,4.185785469896898,0.027114967462039046,0.08134490238611713,25.92190889370933,88.06941431670282
RandomForest_config2,combined,500,121,2.3016194340460676,2.440566204855201,0.5402462316754677,0.3623210765329559,4.141217484025682,0.027114967462039046,0.08134490238611713,25.813449023861175,96.71908893709328
RandomForest_config3,combined,500,121,2.3774924761556466,2.5187602012063786,0.6144247543883645,0.05810550748423002,4.189955608356728,0.027114967462039046,0.08134490238611713,26.05748373101952,85.5477223427332
MLP_config1,raw,500,105,1.8499760121037687,1.59763913809743,1.113656274830165,0.17191515406403793,4.254797944828575,2.1963123644251628,27.603036876355745,63.99132321041214,79.63665943600867
MLP_config2,raw,500,105,1.761997943809514,1.3004726891798934,1.0326803701441374,0.021126198212471775,4.1445519012966905,3.714750542299349,29.636659436008678,65.6995661605206,79.47396963123644
MLP_config3,raw,500,105,2.0145047725611103,1.9007539452873745,0.9509604766963508,0.21038867805082476,4.01474125547494,0.1898047722342733,12.120390455531453,54.257049891540134,80.74837310195228
MLP_config1,physics,500,16,2.2091418247365766,2.3123096002600123,0.5669010276875254,0.5639833468933013,3.7929938722875502,0.0,2.792841648590022,35.439262472885034,94.5227765726681
MLP_config2,physics,500,16,2.4796273922802703,2.4707622097848416,1.7921075125043096,0.04277089862302773,6.324249146291121,6.914316702819957,34.70715835140998,40.91648590021692,77.16919739696311
MLP_config3,physics,500,16,2.441411285677577,2.429732969580358,0.989759815199766,0.7423034595389761,4.778392013013873,0.0,1.572668112798265,40.808026030368765,79.4468546637744
MLP_config1,combined,500,121,2.1018354394823775,1.9383626299625374,0.6089249321016478,0.7576185078301938,3.7959635278458657,0.0,0.8676789587852495,53.55206073752712,92.46203904555314
MLP_config2,combined,500,121,1.9714941467316367,2.0938853700559337,0.8397815807039195,0.14706820571319335,3.3794942262298453,6.887201735357918,20.281995661605208,45.90563991323211,95.71583514099783
MLP_config3,combined,500,121,1.8452048791906102,2.0808406063049656,0.6426215141904302,0.3454640684918944,3.4036988019718755,0.7049891540130151,20.44468546637744,44.52277657266811,99.64750542299349
kNN_k1,raw,750,105,2.4564529649017777,2.5495097567963922,0.8669663132297343,0.7071067811865469,4.301162633521314,0.0,2.8199566160520604,36.00867678958785,79.14859002169197
kNN_k3,raw,750,105,2.414665423975826,2.5495097567963922,0.7705679037017282,0.5223600416119066,4.301162633521314,0.0,2.4403470715835143,33.32429501084599,81.69739696312365
kNN_k5,raw,750,105,2.3857626941487906,2.5495097567963922,0.728153047242972,0.4314352113276945,4.301162633521314,0.05422993492407809,2.304772234273319,31.99566160520607,84.68004338394793
kNN_k7,raw,750,105,2.3779900769516087,2.5495097567963922,0.7126140830235584,0.3644534490816447,4.301162633521314,0.027114967462039046,2.2505422993492408,31.507592190889373,85.38503253796095
kNN_k10,raw,750,105,2.369989951675388,2.5231407664621335,0.698770762554051,0.26137400603272926,4.301162633521314,0.05422993492407809,2.1691973969631237,31.941431670281993,85.5477223427332
kNN_k1,physics,750,16,2.4038682801884304,2.5495097567963922,1.1890893828827152,0.7071067811865472,4.527692569068709,0.0,20.336225596529285,33.37852494577007,79.71800433839479
kNN_k3,physics,750,16,2.2871582047053387,2.5495097567963922,1.2568140549660427,0.23092274974048188,4.527692569068709,0.027114967462039046,28.497830802603037,39.26247288503254,79.74511930585683
kNN_k5,physics,750,16,2.2667687685173497,2.5495097567963922,1.2535168544995643,0.3202889868223709,4.3165665057830855,0.05422993492407809,21.963123644251628,40.61822125813449,79.71800433839479
kNN_k7,physics,750,16,2.2473813051800215,2.5495097567963922,1.2536740262697497,0.45735580144464594,4.382631309476929,0.027114967462039046,22.47830802603037,40.808026030368765,79.74511930585683
kNN_k10,physics,750,16,2.228320177290019,2.5495097567963922,1.251273507618257,0.5000001804876467,4.358595317708052,0.0,24.67462039045553,40.88937093275488,79.74511930585683
kNN_k1,combined,750,121,2.443110367942335,2.5495097567963922,0.9834736431863623,0.7071067811865472,4.301162633521314,0.0,7.592190889370933,36.22559652928417,78.6062906724512
kNN_k3,combined,750,121,2.3335500149234223,2.5495097567963922,0.7910345136914375,0.5170285940192171,4.301162633521314,0.0,5.6941431670282,33.81236442516269,83.16160520607376
kNN_k5,combined,750,121,2.274780535781513,2.5495097567963922,0.7137879468478708,0.3162340703043727,4.301162633521314,0.13557483731019523,5.558568329718004,32.998915401301524,89.587852494577
kNN_k7,combined,750,121,2.259092580705799,2.518377649560538,0.6949918929390811,0.3615220690931917,4.301162633521314,0.16268980477223427,5.206073752711497,33.48698481561822,90.13015184381779
kNN_k10,combined,750,121,2.2518150570937734,2.5190741848301386,0.670732390850118,0.3464418006277994,4.031700991895799,0.1898047722342733,4.772234273318872,32.998915401301524,90.99783080260305
RandomForest_config1,raw,750,105,2.259671232368065,2.2300896842952307,0.7849714128633514,0.1952562418976664,4.589389937671455,4.25704989154013,5.504338394793926,39.39804772234273,83.75813449023862
RandomForest_config2,raw,750,105,2.277731543588592,2.1894611659840217,0.8046014025083872,0.295925792875355,4.516558424287235,1.4642082429501084,5.504338394793926,39.61496746203905,75.13557483731019
RandomForest_config3,raw,750,105,2.306055072999012,2.2639119069140645,0.8021238771118463,0.19859506539690272,4.497667000172917,2.4132321041214753,5.531453362255966,31.127982646420826,73.8882863340564
RandomForest_config1,physics,750,16,2.192162247367331,1.6022484201895784,1.2381325560377314,0.036055512754639744,5.268257818714309,0.27114967462039047,22.885032537960953,52.25054229934925,63.20498915401301
RandomForest_config2,physics,750,16,2.1455960782684533,1.6609021494201932,1.185823737056638,0.13669999401519212,5.273899536565842,0.3796095444685466,24.240780911062906,54.47396963123644,63.232104121475054
