Model,Dataset_Size,Mean_Error_m,Median_Error_m,Std_Error_m,Min_Error_m,Max_Error_m,Accuracy_50cm,Accuracy_1m,Accuracy_2m,Accuracy_3m,Accuracy_5m,Test_Samples
HybridCNN_Improved,250,1.5824525292113667,1.1926563524299447,1.0506944969374965,0.029770515138593776,4.226704188460057,7.592190889370933,45.47180043383948,66.05206073752711,80.558568329718,100.0,3688
BasicCNN_Improved,250,1.9909535497638784,1.4864662690890442,1.059411018627481,0.12509750921996124,4.17337554306046,3.9859002169197395,15.753796095444686,59.273318872017356,64.2353579175705,100.0,3688
HybridCNN_Improved,500,1.6114445157817268,1.697757206531394,0.9168289770950458,0.05908780166146755,3.4916362818690443,9.62581344902386,41.18763557483731,55.42299349240781,94.46854663774403,100.0,3688
HybridCNN_Improved,750,1.5951610354526218,1.698525776492374,0.9910293164301544,0.07376947744837294,4.1530923334351275,19.27874186550976,42.055314533622564,62.87960954446855,86.8763557483731,100.0,3688
BasicCNN_Improved,750,2.0154664306524417,1.8840566669659307,0.8549500918470524,0.028319852256564904,3.672705212582249,3.1995661605206074,11.442516268980476,54.66377440347071,83.02603036876356,100.0,3688
ResidualCNN_Improved,250,2.0318358054737136,1.9456691607023955,0.6793486177602608,0.18005839592096345,3.4928042593935276,0.08134490238611713,4.8264642082429505,51.62689804772235,90.72668112798264,100.0,3688
MultiScaleCNN_Improved,250,2.1878790821583394,2.2923771912138937,0.9650921463019815,0.37334005820783633,3.8567108752516934,0.8947939262472886,19.387201735357916,38.286334056399134,71.8817787418655,100.0,3688
MultiScaleCNN_Improved,500,2.137250596238284,2.3110665738332683,0.7669793999748286,0.39143846838447166,4.147833248895963,0.16268980477223427,7.483731019522777,35.35791757049891,82.89045553145337,100.0,3688
MultiScaleCNN_Improved,750,2.251868387854682,2.335372961596082,0.9711754846685551,0.1412651574309832,3.9008474912005506,0.10845986984815618,21.502169197396963,36.19848156182213,76.00325379609545,100.0,3688
BasicCNN_Improved,500,2.415744218359068,2.4359527506169134,1.1053799554690016,0.0494591369747673,4.408154934802367,1.3015184381778742,10.249457700650758,33.21583514099783,78.8232104121475,100.0,3688
ResidualCNN_Improved,500,2.3635001488388783,2.540090899584297,0.9325570514125227,0.12232870597426432,3.9775545976442275,0.13557483731019523,7.592190889370933,40.699566160520604,70.93275488069413,100.0,3688
ResidualCNN_Improved,750,2.564019664441955,3.0988605318748808,0.9304403087018549,0.35383383233691307,3.921290147296782,0.32537960954446854,3.931670281995662,33.32429501084599,46.20390455531454,100.0,3688
