rssi,amplitude,phase
-56.0,"[5.385164807134504, 6.324555320336759, 6.324555320336759, 6.324555320336759, 7.280109889280518, 7.280109889280518, 6.324555320336759, 6.324555320336759, 5.385164807134504, 3.605551275463989, 3.605551275463989, 3.0, 4.123105625617661, 5.0, 7.0710678118654755, 8.602325267042627, 10.295630140987, 11.661903789690601, 12.529964086141668, 13.416407864998739, 14.317821063276353, 13.92838827718412, 13.92838827718412, 13.601470508735444, 12.649110640673518, 11.704699910719626, 4.47213595499958, 5.0, 4.123105625617661, 5.0, 8.06225774829855, 11.40175425099138, 15.297058540778355, 18.439088914585774, 21.37755832643195, 22.360679774997898, 23.345235059857504, 23.194827009486403, 21.095023109728988, 18.110770276274835, 14.035668847618199, 9.0, 4.47213595499958, 3.605551275463989, 8.602325267042627, 14.7648230602334, 20.12461179749811, 24.596747752497688, 29.5296461204668, 33.12099032335839, 34.9857113690718, 35.510561809129406]","[1.9513027039072615, 1.892546881191539, 1.892546881191539, 1.892546881191539, 1.849095985800008, 1.849095985800008, 1.892546881191539, 1.892546881191539, 1.9513027039072615, 2.158798930342464, 2.5535900500422257, 3.141592653589793, -2.896613990462929, -2.498091544796509, -2.356194490192345, -2.191045812777718, -2.0778948311872334, -2.1112158270654806, -2.0701430484750265, -2.0344439357957027, -2.0032041023654346, -1.9379701606131159, -1.9379701606131159, -1.8692952583810758, -1.892546881191539, -1.9195673303788037, -2.0344439357957027, -2.214297435588181, -2.896613990462929, 2.498091544796509, 2.0899424410414196, 1.837048375945822, 1.7681918866447774, 1.7894652726688385, 1.7590178320996674, 1.750649826587375, 1.7429871413178357, 1.7004988639508087, 1.6657480331376529, 1.6814535479687922, 1.642103791580187, 1.5707963267948966, 1.1071487177940904, -0.5880026035475675, -0.9505468408120752, -1.0768549578753155, -1.1071487177940904, -1.1071487177940904, -1.0768549578753155, -1.0666303653157436, -1.0303768265243125, -1.0062269331267966]"
-57.0,"[5.0, 6.0, 7.0710678118654755, 7.0710678118654755, 7.0710678118654755, 7.0710678118654755, 7.0710678118654755, 6.082762530298219, 6.082762530298219, 5.0990195135927845, 4.47213595499958, 4.242640687119285, 4.47213595499958, 5.0, 6.082762530298219, 7.615773105863909, 8.06225774829855, 9.433981132056603, 10.0, 10.63014581273465, 11.313708498984761, 12.041594578792296, 12.041594578792296, 11.40175425099138, 10.63014581273465, 9.219544457292887, 3.605551275463989, 4.47213595499958, 3.0, 3.605551275463989, 7.0710678118654755, 11.0, 14.035668847618199, 17.11724276862369, 20.09975124224178, 22.090722034374522, 23.194827009486403, 22.360679774997898, 20.396078054371138, 17.46424919657298, 13.341664064126334, 9.486832980505138, 4.47213595499958, 2.8284271247461903, 7.280109889280518, 13.341664064126334, 18.439088914585774, 23.53720459187964, 27.65863337187866, 30.805843601498726, 32.984845004941285, 33.24154027718932]","[3.141592653589793, 3.141592653589793, -2.999695598985629, -2.999695598985629, -2.999695598985629, -2.999695598985629, -2.999695598985629, -2.976443976175166, -2.976443976175166, -2.9441970937399127, -2.677945044588987, -2.356194490192345, -2.0344439357957027, -1.5707963267948966, -1.4056476493802699, -1.1659045405098132, -1.0516502125483738, -1.0121970114513341, -0.9272952180016122, -0.8519663271732721, -0.7853981633974483, -0.7266423406817256, -0.7266423406817256, -0.6610431688506869, -0.7188299996216245, -0.7086262721276703, -0.982793723247329, -1.1071487177940904, -1.5707963267948966, -2.5535900500422257, -2.999695598985629, 3.141592653589793, 3.070285188804503, 3.024483909022929, 3.0419240010986313, 3.050932766389048, 3.011890116433881, 2.961739153797315, 2.9441970937399127, 2.9105019863938963, 2.9147938055359073, 2.819842099193151, 2.677945044588987, 0.7853981633974483, 0.27829965900511133, 0.22679884805388587, 0.21866894587394195, 0.21406068356382152, 0.21866894587394195, 0.22923193327699534, 0.24497866312686414, 0.2741674511196588]"
-57.0,"[4.47213595499958, 4.47213595499958, 5.830951894845301, 5.830951894845301, 5.830951894845301, 5.830951894845301, 5.830951894845301, 5.385164807134504, 4.47213595499958, 4.123105625617661, 3.0, 3.1622776601683795, 2.8284271247461903, 4.123105625617661, 5.0, 7.0710678118654755, 8.246211251235321, 9.219544457292887, 9.486832980505138, 10.770329614269007, 11.180339887498949, 11.661903789690601, 11.661903789690601, 10.816653826391969, 10.816653826391969, 9.433981132056603, 3.605551275463989, 4.123105625617661, 2.0, 3.0, 6.708203932499369, 10.0, 13.45362404707371, 17.029386365926403, 19.1049731745428, 21.2602916254693, 21.93171219946131, 21.93171219946131, 19.79898987322333, 16.97056274847714, 13.45362404707371, 9.433981132056603, 5.0, 4.123105625617661, 9.219544457292887, 13.601470508735444, 19.313207915827967, 23.769728648009426, 27.85677655436824, 31.953090617340916, 33.83784863137726, 34.785054261852174]","[-0.4636476090008061, -0.4636476090008061, -0.5404195002705842, -0.5404195002705842, -0.5404195002705842, -0.5404195002705842, -0.5404195002705842, -0.3805063771123649, -0.4636476090008061, -0.24497866312686414, 0.0, 0.3217505543966422, 0.7853981633974483, 1.3258176636680326, 1.5707963267948966, 1.7126933813990606, 1.8157749899217608, 1.7894652726688385, 1.892546881191539, 1.9513027039072615, 2.0344439357957027, 2.1112158270654806, 2.1112158270654806, 2.158798930342464, 2.158798930342464, 2.129395642138459, 2.158798930342464, 1.8157749899217608, 1.5707963267948966, 0.0, -0.4636476090008061, -0.6435011087932844, -0.7328151017865066, -0.702256931509007, -0.7483780475235183, -0.7188299996216245, -0.7531512809621944, -0.7531512809621944, -0.7853981633974483, -0.7853981633974483, -0.83798122500839, -1.0121970114513341, -1.5707963267948966, -2.896613990462929, 2.922923707715851, 2.843093722003614, 2.770701364777131, 2.7532739354173272, 2.774418819771574, 2.7901478595862415, 2.810496576885661, 2.819842099193151]"
-57.0,"[5.0, 5.0, 5.830951894845301, 6.4031242374328485, 6.4031242374328485, 6.4031242374328485, 6.4031242374328485, 5.0, 4.242640687119285, 3.605551275463989, 4.123105625617661, 4.0, 4.123105625617661, 5.830951894845301, 7.0710678118654755, 7.810249675906654, 9.433981132056603, 10.295630140987, 11.180339887498949, 12.083045973594572, 12.649110640673518, 12.649110640673518, 12.36931687685298, 12.36931687685298, 11.40175425099138, 10.44030650891055, 4.47213595499958, 5.0, 3.605551275463989, 3.605551275463989, 6.708203932499369, 10.44030650891055, 14.560219778561036, 17.46424919657298, 19.4164878389476, 21.37755832643195, 22.360679774997898, 22.20360331117452, 20.09975124224178, 17.029386365926403, 13.038404810405298, 8.0, 3.1622776601683795, 2.8284271247461903, 8.94427190999916, 14.317821063276353, 19.697715603592208, 24.698178070456937, 29.154759474226502, 31.78049716414141, 34.438350715445125, 35.34119409414458]","[2.214297435588181, 2.214297435588181, 2.1112158270654806, 2.2455372690184494, 2.2455372690184494, 2.2455372690184494, 2.2455372690184494, 2.214297435588181, 2.356194490192345, 2.5535900500422257, 2.896613990462929, 3.141592653589793, -2.896613990462929, -2.601173153319209, -2.356194490192345, -2.2655346029916, -2.129395642138459, -2.0778948311872334, -2.0344439357957027, -1.9974238199217726, -1.892546881191539, -1.892546881191539, -1.8157749899217608, -1.8157749899217608, -1.837048375945822, -1.8622531212727638, -2.0344439357957027, -2.214297435588181, -2.5535900500422257, 2.5535900500422257, 2.0344439357957027, 1.8622531212727638, 1.849095985800008, 1.8018869939907938, 1.7782925532300993, 1.7590178320996674, 1.750649826587375, 1.7063240407803975, 1.6704649792860586, 1.6295521495106193, 1.6475682180646747, 1.5707963267948966, 1.2490457723982544, -0.7853981633974483, -1.1071487177940904, -1.1383885512243588, -1.1525719972156676, -1.1978086049948355, -1.1839206090638685, -1.1493771199070923, -1.120135000714263, -1.1324597669369387]"
-57.0,"[4.242640687119285, 5.0, 5.830951894845301, 6.4031242374328485, 6.4031242374328485, 6.4031242374328485, 6.4031242374328485, 6.4031242374328485, 5.0, 4.47213595499958, 3.1622776601683795, 3.1622776601683795, 3.605551275463989, 4.47213595499958, 5.385164807134504, 7.0710678118654755, 8.06225774829855, 9.0, 10.0, 11.045361017187261, 11.045361017187261, 11.180339887498949, 11.180339887498949, 11.40175425099138, 10.198039027185569, 9.219544457292887, 3.1622776601683795, 4.0, 1.4142135623730951, 2.8284271247461903, 7.211102550927978, 10.295630140987, 14.317821063276353, 17.46424919657298, 19.697715603592208, 21.540659228538015, 22.47220505424423, 22.47220505424423, 20.8806130178211, 17.72004514666935, 13.341664064126334, 9.055385138137417, 4.123105625617661, 3.1622776601683795, 8.48528137423857, 13.601470508735444, 19.4164878389476, 24.413111231467404, 28.844410203711913, 31.622776601683793, 34.40930106817051, 34.40930106817051]","[-0.7853981633974483, -0.6435011087932844, -0.5404195002705842, -0.6747409422235526, -0.6747409422235526, -0.6747409422235526, -0.6747409422235526, -0.6747409422235526, -0.6435011087932844, -0.4636476090008061, -0.3217505543966422, 0.3217505543966422, 0.5880026035475675, 1.1071487177940904, 1.1902899496825317, 1.4288992721907328, 1.446441332248135, 1.5707963267948966, 1.5707963267948966, 1.6614562139956417, 1.6614562139956417, 1.750649826587375, 1.750649826587375, 1.837048375945822, 1.7681918866447774, 1.7894652726688385, 1.892546881191539, 1.5707963267948966, 0.7853981633974483, -0.7853981633974483, -0.982793723247329, -1.0636978224025597, -1.1383885512243588, -1.1583858851975093, -1.1525719972156676, -1.1902899496825317, -1.2068173702852525, -1.2068173702852525, -1.2793395323170296, -1.2847448850775784, -1.3439974787410107, -1.460139105621001, -1.8157749899217608, 2.819842099193151, 2.356194490192345, 2.1995926132103296, 2.173083672929861, 2.1815222911841055, 2.158798930342464, 2.1763409903998667, 2.191045812777718, 2.191045812777718]"
-57.0,"[5.0990195135927845, 5.0990195135927845, 6.082762530298219, 7.280109889280518, 7.280109889280518, 7.280109889280518, 6.324555320336759, 6.324555320336759, 6.082762530298219, 5.0, 5.0990195135927845, 4.47213595499958, 5.0, 5.830951894845301, 6.324555320336759, 8.06225774829855, 9.0, 10.04987562112089, 11.045361017187261, 11.180339887498949, 12.36931687685298, 12.649110640673518, 12.649110640673518, 11.704699910719626, 11.704699910719626, 10.44030650891055, 4.123105625617661, 4.0, 2.23606797749979, 4.0, 6.708203932499369, 10.0, 13.45362404707371, 16.97056274847714, 19.79898987322333, 20.518284528683193, 21.93171219946131, 22.02271554554524, 20.0, 17.204650534085253, 13.601470508735444, 8.602325267042627, 3.1622776601683795, 3.1622776601683795, 8.602325267042627, 13.601470508735444, 19.209372712298546, 24.20743687382041, 27.80287754891569, 31.400636936215164, 33.60059523282288, 34.40930106817051]","[2.9441970937399127, 2.9441970937399127, 2.976443976175166, 2.8632929945846817, 2.8632929945846817, 2.8632929945846817, 2.819842099193151, 2.819842099193151, 2.976443976175166, 3.141592653589793, -2.9441970937399127, -2.677945044588987, -2.214297435588181, -2.1112158270654806, -1.892546881191539, -1.695151321341658, -1.5707963267948966, -1.4711276743037347, -1.4801364395941514, -1.3909428270024184, -1.3258176636680326, -1.2490457723982544, -1.2490457723982544, -1.2220253232109897, -1.2220253232109897, -1.2793395323170296, -1.3258176636680326, -1.5707963267948966, -2.0344439357957027, 3.141592653589793, 2.677945044588987, 2.498091544796509, 2.408777551803287, 2.356194490192345, 2.356194490192345, 2.321725389192837, 2.323947607757091, 2.2597207150097582, 2.214297435588181, 2.191045812777718, 2.1995926132103296, 2.191045812777718, 1.892546881191539, -0.3217505543966422, -0.6202494859828215, -0.628796286415433, -0.6747409422235526, -0.668289418830584, -0.65788860518221, -0.6498704494119476, -0.6375487981386927, -0.6202494859828215]"
-57.0,"[4.242640687119285, 5.0, 5.830951894845301, 5.830951894845301, 5.830951894845301, 5.830951894845301, 5.830951894845301, 5.830951894845301, 4.47213595499958, 3.605551275463989, 3.1622776601683795, 3.1622776601683795, 2.8284271247461903, 4.123105625617661, 5.0990195135927845, 6.0, 8.06225774829855, 9.219544457292887, 10.44030650891055, 10.770329614269007, 11.180339887498949, 11.180339887498949, 11.661903789690601, 11.661903789690601, 10.816653826391969, 10.295630140987, 3.605551275463989, 4.123105625617661, 2.23606797749979, 3.0, 6.708203932499369, 10.816653826391969, 13.601470508735444, 17.804493814764857, 19.209372712298546, 20.615528128088304, 22.02271554554524, 21.93171219946131, 20.518284528683193, 16.97056274847714, 13.45362404707371, 9.433981132056603, 5.0990195135927845, 4.47213595499958, 9.055385138137417, 14.317821063276353, 19.6468827043885, 25.0, 29.120439557122072, 32.28002478313795, 34.20526275297414, 34.92849839314596]","[-0.7853981633974483, -0.6435011087932844, -0.5404195002705842, -0.5404195002705842, -0.5404195002705842, -0.5404195002705842, -0.5404195002705842, -0.5404195002705842, -0.4636476090008061, -0.5880026035475675, -0.3217505543966422, 0.3217505543966422, 0.7853981633974483, 1.3258176636680326, 1.373400766945016, 1.5707963267948966, 1.695151321341658, 1.7894652726688385, 1.8622531212727638, 1.9513027039072615, 2.0344439357957027, 2.0344439357957027, 2.1112158270654806, 2.1112158270654806, 2.158798930342464, 2.0778948311872334, 2.158798930342464, 1.8157749899217608, 1.1071487177940904, 0.0, -0.4636476090008061, -0.5880026035475675, -0.628796286415433, -0.6659692373791098, -0.6747409422235526, -0.6823165548747481, -0.6889243882148613, -0.7531512809621944, -0.7509290623979403, -0.7853981633974483, -0.83798122500839, -1.0121970114513341, -1.373400766945016, -2.677945044588987, 3.0309354324158977, 2.930499320367047, 2.8842689386187046, 2.8577985443814655, 2.8632929945846817, 2.8590377011202057, 2.875340604438868, 2.9105019863938963]"
-57.0,"[5.0, 5.830951894845301, 5.830951894845301, 5.830951894845301, 6.708203932499369, 6.708203932499369, 5.830951894845301, 5.385164807134504, 5.385164807134504, 4.123105625617661, 3.0, 3.1622776601683795, 3.605551275463989, 4.47213595499958, 6.082762530298219, 7.0, 8.06225774829855, 9.219544457292887, 10.44030650891055, 11.40175425099138, 11.704699910719626, 12.083045973594572, 12.083045973594572, 11.180339887498949, 11.180339887498949, 10.295630140987, 3.605551275463989, 4.123105625617661, 2.0, 3.1622776601683795, 6.4031242374328485, 10.63014581273465, 14.142135623730951, 17.69180601295413, 19.849433241279208, 21.2602916254693, 22.02271554554524, 22.80350850198276, 20.808652046684813, 18.027756377319946, 14.422205101855956, 8.94427190999916, 5.0, 4.123105625617661, 8.54400374531753, 14.7648230602334, 19.72308292331602, 24.698178070456937, 29.154759474226502, 32.7566787083184, 34.9857113690718, 35.84689665786984]","[-0.6435011087932844, -0.5404195002705842, -0.5404195002705842, -0.5404195002705842, -0.4636476090008061, -0.4636476090008061, -0.5404195002705842, -0.3805063771123649, -0.3805063771123649, -0.24497866312686414, 0.0, 0.3217505543966422, 0.982793723247329, 1.1071487177940904, 1.4056476493802699, 1.5707963267948966, 1.695151321341658, 1.7894652726688385, 1.8622531212727638, 1.837048375945822, 1.9195673303788037, 1.9974238199217726, 1.9974238199217726, 2.0344439357957027, 2.0344439357957027, 2.0778948311872334, 2.158798930342464, 1.8157749899217608, 1.5707963267948966, -0.3217505543966422, -0.6747409422235526, -0.7188299996216245, -0.7853981633974483, -0.8253768505207384, -0.8567056281827387, -0.8519663271732721, -0.8818719385800352, -0.9097531579442097, -0.9561333748727311, -0.982793723247329, -0.982793723247329, -1.1071487177940904, -1.5707963267948966, -2.896613990462929, 2.782821983319221, 2.647651284670212, 2.609868586330988, 2.587285157388242, 2.601173153319209, 2.5959375990628013, 2.601173153319209, 2.61552623459303]"
-57.0,"[4.0, 5.0990195135927845, 6.082762530298219, 6.082762530298219, 6.082762530298219, 6.082762530298219, 6.082762530298219, 5.0990195135927845, 5.0990195135927845, 4.0, 3.1622776601683795, 2.8284271247461903, 3.1622776601683795, 4.0, 6.082762530298219, 7.280109889280518, 8.54400374531753, 8.94427190999916, 10.295630140987, 11.661903789690601, 11.661903789690601, 12.206555615733702, 12.206555615733702, 11.40175425099138, 11.40175425099138, 10.0, 3.605551275463989, 3.605551275463989, 2.0, 3.1622776601683795, 6.4031242374328485, 10.63014581273465, 13.45362404707371, 16.97056274847714, 19.79898987322333, 21.213203435596427, 22.627416997969522, 21.93171219946131, 20.518284528683193, 17.804493814764857, 13.601470508735444, 8.94427190999916, 4.0, 4.0, 8.94427190999916, 13.892443989449804, 20.248456731316587, 25.238858928247925, 28.844410203711913, 31.906112267087632, 34.9857113690718, 34.9857113690718]","[0.0, -0.19739555984988075, -0.16514867741462683, -0.16514867741462683, -0.16514867741462683, -0.16514867741462683, -0.16514867741462683, -0.19739555984988075, -0.19739555984988075, 0.0, 0.3217505543966422, 0.7853981633974483, 1.2490457723982544, 1.5707963267948966, 1.7359450042095235, 1.849095985800008, 1.9295669970654687, 2.0344439357957027, 2.0778948311872334, 2.1112158270654806, 2.1112158270654806, 2.1815222911841055, 2.1815222911841055, 2.2318394956455836, 2.2318394956455836, 2.214297435588181, 2.158798930342464, 2.158798930342464, 1.5707963267948966, -0.3217505543966422, -0.6747409422235526, -0.7188299996216245, -0.7328151017865066, -0.7853981633974483, -0.7853981633974483, -0.7853981633974483, -0.7853981633974483, -0.8176450458327023, -0.8198672643969563, -0.9048270894157867, -0.9420000403794636, -1.1071487177940904, -1.5707963267948966, 3.141592653589793, 2.677945044588987, 2.6135182051634334, 2.5672878234150915, 2.5535900500422257, 2.5535900500422257, 2.579671091332978, 2.601173153319209, 2.601173153319209]"
-57.0,"[3.605551275463989, 4.47213595499958, 5.0, 5.830951894845301, 5.830951894845301, 5.830951894845301, 5.830951894845301, 5.0, 4.47213595499958, 3.1622776601683795, 3.0, 3.1622776601683795, 3.605551275463989, 5.0, 6.708203932499369, 8.246211251235321, 9.219544457292887, 10.04987562112089, 11.045361017187261, 12.041594578792296, 13.038404810405298, 13.0, 13.038404810405298, 12.041594578792296, 12.041594578792296, 11.0, 4.0, 4.0, 2.23606797749979, 2.8284271247461903, 5.385164807134504, 9.486832980505138, 13.601470508735444, 16.492422502470642, 18.439088914585774, 20.396078054371138, 21.37755832643195, 21.213203435596427, 19.235384061671343, 16.1245154965971, 13.0, 8.06225774829855, 3.605551275463989, 4.242640687119285, 8.94427190999916, 14.866068747318506, 20.248456731316587, 25.298221281347036, 29.732137494637012, 33.24154027718932, 35.4682957019364, 35.84689665786984]","[0.982793723247329, 1.1071487177940904, 0.9272952180016122, 1.0303768265243125, 1.0303768265243125, 1.0303768265243125, 1.0303768265243125, 0.9272952180016122, 1.1071487177940904, 1.2490457723982544, 1.5707963267948966, 1.892546881191539, 2.158798930342464, 2.498091544796509, 2.677945044588987, 2.896613990462929, 2.922923707715851, 3.0419240010986313, 3.050932766389048, 3.058451421701352, 3.064820762320015, 3.141592653589793, -3.064820762320015, -3.058451421701352, -3.058451421701352, 3.141592653589793, 3.141592653589793, 3.141592653589793, 2.677945044588987, 0.7853981633974483, 0.3805063771123649, 0.3217505543966422, 0.2984989315861793, 0.24497866312686414, 0.21866894587394195, 0.19739555984988075, 0.18822150530477075, 0.14189705460416394, 0.15660187698201536, 0.12435499454676144, 0.0, -0.12435499454676144, -0.5880026035475675, -2.356194490192345, -2.677945044588987, -2.79856871316909, -2.788602265762883, -2.819842099193151, -2.79856871316909, -2.7722589959161676, -2.766321830733836, -2.7403638545849445]"
