rssi,amplitude,phase
-55,"[4.123106, 8.246211, 13.152946, 17.0, 19.104973, 20.615528, 21.540659, 21.095023, 20.0, 17.691806, 14.21267, 10.816654, 6.403124, 2.236068, 4.472136, 8.246211, 12.649111, 15.231546, 17.0, 18.867962, 19.209373, 19.79899, 19.104973, 17.029386, 14.866069, 12.727922, 4.472136, 8.062258, 8.062258, 9.848858, 11.661904, 13.601471, 15.0, 15.620499, 16.278821, 16.278821, 17.029386, 17.204651, 16.643317, 17.0, 16.552945, 17.088007, 16.492423, 16.278821, 15.033296, 14.035669, 13.341664, 13.0, 13.601471, 15.556349, 17.204651, 19.723083]","[0.244979, 0.244979, 0.152649, 0.0, -0.104877, -0.244979, -0.380506, -0.548549, -0.643501, -0.745419, -0.885067, -0.982794, -0.896055, -0.463648, 1.107149, 1.325818, 1.249046, 1.165905, 1.080839, 1.012197, 0.896055, 0.785398, 0.748378, 0.702257, 0.737815, 0.785398, 1.107149, 1.446441, 1.695151, 1.989021, 2.111216, 2.199593, 2.214297, 2.265535, 2.312744, 2.399645, 2.439336, 2.521343, 2.570255, 2.651635, 2.704965, 2.782822, 2.896614, 2.956245, 3.075024, -3.070285, -2.914794, -2.746802, -2.512796, -2.356194, -2.191046, -2.10252]"
-55,"[5.656854, 9.899495, 14.21267, 18.027756, 20.124612, 22.135944, 22.36068, 22.090722, 20.024984, 18.248288, 14.56022, 11.7047, 7.28011, 3.605551, 6.0, 10.049876, 13.038405, 16.03122, 19.0, 20.099751, 20.396078, 20.880613, 19.313208, 17.464249, 16.155494, 13.928388, 6.082763, 9.219544, 8.944272, 10.0, 12.041595, 13.601471, 14.422205, 15.264338, 15.652476, 16.155494, 17.088007, 16.763055, 16.492423, 16.278821, 16.03122, 16.0, 16.124515, 15.297059, 14.56022, 13.0, 12.206556, 11.313708, 13.038405, 13.928388, 16.278821, 18.11077]","[-2.356194, -2.356194, -2.455863, -2.55359, -2.677945, -2.819842, -2.961739, -3.050933, 3.091634, 2.976444, 2.863293, 2.792822, 2.863293, -2.55359, -1.570796, -1.471128, -1.494024, -1.508378, -1.570796, -1.670465, -1.768192, -1.862253, -1.941688, -1.983207, -1.951303, -1.93797, -1.735945, -1.352127, -1.107149, -0.927295, -0.726642, -0.628796, -0.588003, -0.551655, -0.463648, -0.380506, -0.358771, -0.302885, -0.244979, -0.185348, -0.062419, 0.0, 0.124355, 0.197396, 0.2783, 0.394791, 0.610726, 0.785398, 1.004067, 1.203622, 1.385448, 1.460139]"
-55,"[4.472136, 8.062258, 12.806248, 16.278821, 18.601075, 20.59126, 21.18962, 20.615528, 19.104973, 17.0, 14.142136, 10.198039, 6.082763, 2.236068, 4.472136, 8.944272, 12.083046, 14.866069, 17.464249, 19.235384, 20.024984, 19.0, 18.027756, 16.124515, 14.035669, 12.041595, 5.09902, 8.062258, 8.485281, 10.29563, 11.7047, 12.649111, 14.56022, 15.297059, 16.278821, 16.124515, 17.0, 17.029386, 17.029386, 17.262677, 16.492423, 16.763055, 16.155494, 15.652476, 15.264338, 14.21267, 13.453624, 13.038405, 12.649111, 14.142136, 16.0, 19.104973]","[1.107149, 1.05165, 0.896055, 0.741947, 0.632749, 0.507099, 0.336675, 0.244979, 0.104877, 0.0, -0.141897, -0.197396, -0.165149, 0.463648, 2.034444, 2.034444, 1.997424, 1.91382, 1.801887, 1.727398, 1.620755, 1.570796, 1.515298, 1.446441, 1.499489, 1.487655, 1.768192, 2.089942, 2.356194, 2.634494, 2.792822, 2.819842, 2.863293, 2.944197, 2.956245, 3.017238, 3.141593, -3.082837, -3.082837, -2.96692, -2.896614, -2.838708, -2.761086, -2.677945, -2.589938, -2.455863, -2.303611, -2.137526, -1.892547, -1.712693, -1.570796, -1.465919]"
-55,"[6.082763, 10.440307, 15.231546, 19.235384, 22.203603, 24.758837, 24.839485, 23.853721, 22.36068, 20.248457, 16.492423, 12.165525, 8.246211, 3.605551, 5.385165, 10.0, 14.422205, 17.492856, 20.124612, 22.472205, 23.086793, 22.561028, 21.377558, 19.235384, 17.262677, 15.297059, 6.324555, 10.0, 10.0, 10.77033, 12.165525, 14.035669, 16.0, 17.0, 17.029386, 18.11077, 18.248288, 18.681542, 18.027756, 17.464249, 17.888544, 17.492856, 17.204651, 17.029386, 16.278821, 15.0, 13.416408, 13.341664, 14.0, 15.297059, 18.027756, 20.615528]","[-1.735945, -1.862253, -1.975688, -2.057696, -2.196281, -2.327631, -2.4417, -2.565217, -2.677945, -2.788602, -2.896614, -2.976444, -2.896614, -2.158799, -1.19029, -0.927295, -0.982794, -1.030377, -1.107149, -1.206817, -1.262744, -1.34732, -1.382575, -1.414194, -1.396124, -1.373401, -1.249046, -0.927295, -0.643501, -0.380506, -0.165149, -0.071307, 0.0, 0.0, 0.058756, 0.110657, 0.165149, 0.270947, 0.339293, 0.41241, 0.463648, 0.54042, 0.620249, 0.702257, 0.828849, 0.927295, 1.107149, 1.343997, 1.570796, 1.768192, 1.910089, 1.969319]"
-55,"[5.385165, 8.944272, 13.601471, 16.970563, 19.209373, 20.59126, 21.540659, 20.615528, 20.099751, 17.0, 14.035669, 10.049876, 6.0, 2.828427, 5.09902, 9.848858, 13.601471, 16.492423, 19.416488, 20.099751, 21.0, 21.023796, 19.104973, 18.11077, 16.124515, 14.035669, 6.082763, 8.944272, 9.219544, 10.816654, 12.083046, 13.928388, 14.866069, 16.763055, 16.492423, 17.262677, 17.117243, 17.029386, 17.0, 17.029386, 17.117243, 16.278821, 16.763055, 16.155494, 14.317821, 13.892444, 12.806248, 12.806248, 12.083046, 14.317821, 16.03122, 18.027756]","[2.761086, 2.677945, 2.512796, 2.356194, 2.245537, 2.077895, 1.951303, 1.815775, 1.670465, 1.570796, 1.499489, 1.471128, 1.570796, 2.356194, -2.944197, -2.723368, -2.843094, -2.896614, -2.934096, -3.041924, 3.141593, 3.09401, 3.036716, 3.030935, 3.017238, 3.070285, -2.976444, -2.677945, -2.432966, -2.158799, -1.997424, -1.93797, -1.91382, -1.873681, -1.815775, -1.745469, -1.687905, -1.629552, -1.570796, -1.512041, -1.453688, -1.385448, -1.267911, -1.19029, -1.138389, -1.042722, -0.896055, -0.674741, -0.426627, -0.211093, -0.062419, 0.055499]"
-55,"[5.385165, 9.486833, 14.317821, 18.027756, 21.023796, 22.36068, 23.4094, 23.259407, 21.633308, 19.209373, 16.278821, 12.041595, 6.403124, 2.236068, 4.472136, 9.486833, 13.601471, 16.155494, 18.788294, 21.095023, 21.400935, 21.260292, 19.79899, 18.384776, 15.556349, 13.453624, 4.472136, 9.055385, 9.055385, 10.77033, 13.038405, 14.422205, 16.401219, 17.029386, 17.691806, 17.691806, 17.804494, 18.601075, 18.867962, 18.35756, 18.788294, 18.027756, 18.681542, 17.262677, 16.03122, 15.0, 14.317821, 13.928388, 14.422205, 16.278821, 18.601075, 21.095023]","[0.380506, 0.321751, 0.211093, 0.055499, -0.047583, -0.179853, -0.348771, -0.444419, -0.588003, -0.674741, -0.828849, -0.844154, -0.896055, -0.463648, 1.107149, 1.249046, 1.272297, 1.19029, 1.130954, 1.022247, 0.91795, 0.851966, 0.785398, 0.785398, 0.785398, 0.837981, 1.107149, 1.460139, 1.681454, 1.951303, 2.137526, 2.158799, 2.226492, 2.273053, 2.316216, 2.396173, 2.475623, 2.508844, 2.582993, 2.629203, 2.70175, 2.8023, 2.870646, 2.96692, 3.079174, 3.141593, -2.930499, -2.774419, -2.55359, -2.312744, -2.203545, -2.119346]"
-55,"[6.082763, 9.0, 14.035669, 17.464249, 19.313208, 21.470911, 22.203603, 20.518285, 19.209373, 16.643317, 14.764823, 10.29563, 5.830952, 3.0, 5.656854, 10.0, 13.601471, 16.278821, 18.384776, 20.615528, 21.633308, 20.59126, 19.235384, 17.888544, 15.652476, 13.892444, 5.656854, 9.433981, 9.486833, 10.0, 12.165525, 13.341664, 14.56022, 15.811388, 16.155494, 16.552945, 17.0, 16.643317, 16.643317, 16.401219, 16.278821, 16.278821, 15.620499, 15.264338, 13.416408, 12.649111, 12.165525, 11.0, 11.401754, 13.416408, 15.0, 17.691806]","[-2.976444, 3.141593, 3.070285, 2.910502, 2.770701, 2.657115, 2.516108, 2.390664, 2.245537, 2.142134, 2.064738, 2.077895, 2.111216, 3.141593, -2.356194, -2.214297, -2.199593, -2.312744, -2.356194, -2.459276, -2.55359, -2.634494, -2.654693, -2.677945, -2.677945, -2.613518, -2.356194, -2.129396, -1.892547, -1.570796, -1.405648, -1.343997, -1.292497, -1.249046, -1.19029, -1.134169, -1.080839, -0.999459, -0.999459, -0.915101, -0.828849, -0.741947, -0.694738, -0.551655, -0.463648, -0.321751, -0.165149, 0.0, 0.266252, 0.463648, 0.643501, 0.745419]"
-55,"[5.385165, 8.944272, 14.422205, 18.439089, 21.260292, 23.021729, 23.706539, 23.4094, 22.561028, 20.099751, 16.0, 12.041595, 7.071068, 3.162278, 4.123106, 9.433981, 13.416408, 16.552945, 19.313208, 20.615528, 22.36068, 22.090722, 20.024984, 18.0, 16.0, 14.035669, 5.09902, 8.602325, 8.602325, 10.440307, 12.165525, 14.035669, 15.0, 16.0, 17.029386, 17.117243, 18.248288, 18.439089, 17.720045, 17.088007, 17.888544, 17.492856, 17.204651, 17.029386, 16.278821, 14.422205, 14.317821, 14.317821, 15.0, 16.278821, 18.681542, 20.615528]","[-0.380506, -0.463648, -0.588003, -0.708626, -0.851966, -0.970746, -1.088283, -1.222025, -1.34732, -1.471128, -1.570796, -1.653938, -1.712693, -1.249046, 0.244979, 0.558599, 0.463648, 0.436627, 0.370891, 0.244979, 0.179853, 0.09066, 0.049958, 0.0, 0.0, 0.071307, 0.197396, 0.620249, 0.950547, 1.27934, 1.405648, 1.499489, 1.570796, 1.570796, 1.629552, 1.687905, 1.735945, 1.789465, 1.856848, 1.929567, 2.034444, 2.111216, 2.191046, 2.273053, 2.399645, 2.55359, 2.709185, 2.930499, 3.141593, -2.956245, -2.870646, -2.74307]"
-55,"[5.0, 8.602325, 13.892444, 17.464249, 19.924859, 21.377558, 22.022716, 22.022716, 20.396078, 17.720045, 15.231546, 11.18034, 7.615773, 3.0, 4.123106, 9.0, 12.0, 15.033296, 18.248288, 19.646883, 20.248457, 19.697716, 17.888544, 17.0, 14.764823, 13.416408, 5.385165, 8.0, 8.544004, 9.433981, 11.313708, 12.806248, 13.601471, 14.422205, 15.264338, 15.652476, 16.155494, 16.155494, 15.811388, 16.492423, 16.278821, 16.03122, 16.0, 15.033296, 14.142136, 12.649111, 12.529964, 12.806248, 12.806248, 14.764823, 17.088007, 19.646883]","[-0.927295, -0.950547, -1.042722, -1.158386, -1.264917, -1.382575, -1.525373, -1.61622, -1.768192, -1.856848, -1.975688, -2.034444, -1.975688, -1.570796, -0.244979, 0.0, 0.0, -0.066568, -0.165149, -0.257324, -0.35299, -0.418224, -0.463648, -0.489957, -0.493941, -0.463648, -0.380506, 0.0, 0.358771, 0.558599, 0.785398, 0.896055, 0.942, 0.982794, 1.019141, 1.107149, 1.19029, 1.19029, 1.249046, 1.325818, 1.385448, 1.508378, 1.570796, 1.637364, 1.712693, 1.892547, 2.070143, 2.245537, 2.466852, 2.647651, 2.782822, 2.884269]"
-54,"[6.082763, 10.049876, 15.033296, 18.027756, 21.377558, 22.135944, 23.259407, 22.472205, 20.615528, 18.384776, 15.620499, 12.206556, 7.81025, 4.123106, 5.656854, 9.433981, 13.038405, 16.401219, 18.439089, 19.79899, 20.615528, 20.808652, 19.723083, 17.492856, 16.124515, 14.422205, 5.656854, 8.944272, 9.219544, 10.0, 11.401754, 13.601471, 14.866069, 15.231546, 16.552945, 16.124515, 16.643317, 17.204651, 16.401219, 16.278821, 16.278821, 16.401219, 15.811388, 16.124515, 14.317821, 13.601471, 13.152946, 13.0, 13.341664, 14.764823, 17.204651, 19.209373]","[-1.405648, -1.471128, -1.504228, -1.626295, -1.759018, -1.892547, -2.015216, -2.134113, -2.253113, -2.356194, -2.446854, -2.530867, -2.446854, -1.815775, -0.785398, -0.558599, -0.566729, -0.655696, -0.708626, -0.785398, -0.88848, -0.956133, -1.039072, -1.030377, -1.05165, -0.982794, -0.785398, -0.463648, -0.218669, 0.0, 0.266252, 0.298499, 0.343024, 0.404892, 0.436627, 0.519146, 0.571337, 0.620249, 0.655696, 0.741947, 0.828849, 0.915101, 0.965252, 1.05165, 1.138389, 1.272297, 1.418147, 1.570796, 1.797595, 2.064738, 2.191046, 2.245537]"
