rssi,amplitude,phase
-51,"[17.464249, 18.248288, 18.11077, 17.0, 16.0, 15.0, 13.038405, 12.165525, 11.7047, 11.661904, 13.601471, 14.21267, 16.278821, 18.439089, 19.849433, 20.615528, 20.0, 19.416488, 18.027756, 17.204651, 15.620499, 14.142136, 13.601471, 14.317821, 15.811388, 16.492423, 9.219544, 22.561028, 22.561028, 24.041631, 24.351591, 23.769729, 22.847319, 21.023796, 18.788294, 17.464249, 15.811388, 14.317821, 15.0, 15.132746, 16.492423, 18.681542, 20.880613, 21.84033, 22.561028, 23.194827, 23.086793, 22.022716, 20.0, 18.027756, 17.029386, 15.0]","[1.339706, 1.405648, 1.460139, 1.570796, 1.570796, 1.570796, 1.494024, 1.405648, 1.222025, 1.030377, 0.942, 0.885067, 0.828849, 0.86217, 0.856706, 0.88848, 0.927295, 0.968509, 0.982794, 0.950547, 0.876058, 0.785398, 0.628796, 0.432408, 0.321751, 0.244979, 0.218669, 0.223477, 0.223477, 0.295441, 0.334737, 0.388319, 0.404892, 0.442374, 0.439843, 0.41241, 0.321751, 0.211093, 0.0, -0.132552, -0.244979, -0.270947, -0.291457, -0.2783, -0.223477, -0.129703, -0.086738, -0.045423, 0.0, 0.055499, 0.058756, 0.0]"
-51,"[18.439089, 18.384776, 18.439089, 17.204651, 15.811388, 14.422205, 12.806248, 11.313708, 11.661904, 12.083046, 13.601471, 15.297059, 17.262677, 19.416488, 20.396078, 20.615528, 20.880613, 19.924859, 18.973666, 17.720045, 15.524175, 15.132746, 14.035669, 14.317821, 15.811388, 17.464249, 10.29563, 23.259407, 24.166092, 25.632011, 26.248809, 25.96151, 24.738634, 22.36068, 19.416488, 17.464249, 15.811388, 14.317821, 15.0, 15.556349, 17.804494, 19.416488, 20.808652, 22.803509, 24.207437, 24.083189, 24.041631, 22.671568, 21.400935, 19.416488, 17.204651, 15.0]","[-0.86217, -0.785398, -0.708626, -0.620249, -0.605545, -0.588003, -0.674741, -0.785398, -1.030377, -1.144169, -1.272297, -1.373401, -1.396124, -1.3633, -1.373401, -1.325818, -1.27934, -1.264917, -1.249046, -1.284745, -1.310194, -1.438245, -1.642104, -1.78189, -1.892547, -1.983207, -2.077895, -2.015216, -1.997424, -1.929567, -1.880499, -1.843805, -1.815775, -1.75065, -1.778293, -1.801887, -1.892547, -2.003204, -2.214297, -2.356194, -2.475623, -2.539305, -2.52693, -2.480549, -2.473303, -2.41495, -2.356194, -2.293776, -2.223643, -2.173084, -2.191046, -2.214297]"
-51,"[17.720045, 18.384776, 17.888544, 17.0, 15.264338, 13.892444, 12.083046, 11.401754, 11.045361, 11.045361, 13.152946, 14.56022, 16.763055, 18.681542, 19.646883, 20.396078, 20.223748, 19.235384, 18.248288, 16.278821, 15.524175, 13.928388, 13.892444, 14.21267, 15.620499, 17.204651, 9.433981, 22.203603, 23.600847, 24.207437, 25.495098, 24.758837, 23.345235, 21.931712, 19.104973, 16.970563, 15.620499, 14.422205, 13.928388, 15.297059, 17.117243, 19.026298, 21.023796, 22.090722, 23.194827, 23.345235, 22.561028, 22.135944, 21.18962, 19.313208, 17.088007, 14.866069]","[0.286051, 0.390607, 0.463648, 0.489957, 0.551655, 0.528074, 0.426627, 0.266252, 0.09066, -0.09066, -0.152649, -0.2783, -0.302885, -0.270947, -0.257324, -0.197396, -0.14889, -0.156602, -0.165149, -0.185348, -0.260602, -0.367174, -0.528074, -0.68573, -0.876058, -0.950547, -1.012197, -0.945311, -0.93577, -0.902507, -0.840897, -0.813962, -0.755104, -0.753151, -0.748378, -0.785398, -0.876058, -0.982794, -1.203622, -1.373401, -1.453688, -1.518213, -1.523213, -1.480136, -1.441094, -1.398606, -1.34732, -1.249046, -1.234122, -1.199905, -1.212026, -1.227772]"
-51,"[18.384776, 18.439089, 17.804494, 17.204651, 15.811388, 14.422205, 12.806248, 11.313708, 10.816654, 12.083046, 13.601471, 15.524175, 17.464249, 19.416488, 20.615528, 20.880613, 20.880613, 20.248457, 18.973666, 18.027756, 15.524175, 15.132746, 15.0, 15.132746, 16.492423, 18.027756, 10.77033, 22.847319, 23.769729, 24.351591, 25.0, 24.738634, 23.537205, 22.36068, 20.396078, 18.439089, 16.763055, 15.231546, 15.264338, 16.278821, 17.691806, 19.209373, 21.400935, 22.671568, 24.083189, 24.041631, 24.083189, 22.803509, 20.808652, 18.867962, 17.492856, 15.811388]","[-0.785398, -0.708626, -0.665969, -0.620249, -0.605545, -0.588003, -0.674741, -0.785398, -0.982794, -1.144169, -1.272297, -1.310194, -1.339706, -1.3633, -1.325818, -1.27934, -1.27934, -1.217806, -1.249046, -1.231504, -1.310194, -1.438245, -1.570796, -1.703348, -1.815775, -1.910089, -1.951303, -1.975688, -1.959115, -1.905533, -1.85459, -1.815775, -1.784857, -1.75065, -1.768192, -1.789465, -1.873681, -1.975688, -2.122451, -2.312744, -2.396173, -2.466852, -2.488746, -2.418613, -2.41495, -2.356194, -2.297439, -2.231839, -2.185459, -2.129396, -2.111216, -2.176341]"
-51,"[18.027756, 18.248288, 17.464249, 16.763055, 15.811388, 14.56022, 12.369317, 11.045361, 11.045361, 11.401754, 13.0, 14.764823, 16.124515, 18.35756, 19.235384, 20.124612, 19.697716, 19.313208, 18.384776, 16.155494, 14.764823, 13.038405, 13.453624, 13.601471, 14.764823, 16.155494, 9.486833, 21.540659, 22.847319, 23.259407, 23.706539, 23.323808, 22.472205, 20.808652, 18.027756, 16.643317, 14.317821, 13.601471, 13.038405, 15.033296, 16.124515, 18.439089, 20.396078, 21.377558, 22.203603, 23.086793, 23.0, 21.023796, 20.099751, 18.248288, 16.124515, 14.142136]","[1.626295, 1.735945, 1.801887, 1.873681, 1.892547, 1.849096, 1.815775, 1.661456, 1.480136, 1.304544, 1.176005, 1.076855, 1.05165, 1.058407, 1.083897, 1.107149, 1.152572, 1.199905, 1.180189, 1.19029, 1.076855, 1.004067, 0.837981, 0.628796, 0.493941, 0.380506, 0.321751, 0.380506, 0.404892, 0.444419, 0.482513, 0.54042, 0.563316, 0.614663, 0.588003, 0.571337, 0.432408, 0.298499, 0.076772, -0.066568, -0.124355, -0.218669, -0.197396, -0.188222, -0.135528, -0.086738, 0.0, 0.047583, 0.099669, 0.165149, 0.124355, 0.141897]"
-52,"[17.029386, 18.0, 18.027756, 17.117243, 15.132746, 14.142136, 12.041595, 11.045361, 11.401754, 12.083046, 13.038405, 14.422205, 17.204651, 18.601075, 20.248457, 20.248457, 20.59126, 19.235384, 17.888544, 17.0, 15.264338, 14.21267, 13.453624, 14.422205, 15.652476, 17.464249, 9.486833, 22.472205, 23.769729, 24.166092, 24.596748, 24.186773, 23.323808, 21.633308, 19.416488, 17.492856, 15.652476, 14.866069, 14.317821, 15.0, 17.029386, 19.104973, 21.095023, 22.090722, 23.021729, 23.021729, 23.086793, 22.203603, 21.377558, 19.416488, 17.464249, 15.297059]","[-0.058756, 0.0, 0.055499, 0.117109, 0.132552, 0.141897, 0.083141, -0.09066, -0.266252, -0.426627, -0.566729, -0.588003, -0.620249, -0.632749, -0.574305, -0.574305, -0.507099, -0.486899, -0.463648, -0.489957, -0.551655, -0.68573, -0.837981, -0.982794, -1.107149, -1.158386, -1.249046, -1.206817, -1.182478, -1.144169, -1.107149, -1.05165, -1.030377, -0.982794, -0.968509, -1.030377, -1.107149, -1.227772, -1.359703, -1.570796, -1.629552, -1.675673, -1.665748, -1.661456, -1.614247, -1.527345, -1.484058, -1.435269, -1.382575, -1.3633, -1.339706, -1.373401]"
-51,"[17.204651, 17.492856, 17.888544, 17.088007, 15.811388, 13.928388, 12.083046, 10.816654, 10.630146, 11.401754, 12.529964, 14.317821, 16.155494, 17.464249, 18.788294, 20.124612, 19.235384, 19.723083, 17.492856, 16.124515, 14.317821, 13.601471, 13.152946, 14.035669, 15.297059, 16.492423, 9.486833, 21.84033, 22.803509, 23.537205, 24.33105, 24.186773, 23.086793, 21.023796, 19.026298, 17.029386, 15.297059, 13.928388, 13.892444, 14.21267, 16.970563, 19.104973, 20.518285, 21.931712, 22.627417, 23.430749, 22.803509, 21.633308, 19.723083, 18.35756, 16.124515, 14.764823]","[0.950547, 1.030377, 1.107149, 1.212026, 1.249046, 1.203622, 1.144169, 0.982794, 0.851966, 0.661043, 0.499347, 0.432408, 0.380506, 0.41241, 0.439843, 0.463648, 0.486899, 0.531724, 0.54042, 0.519146, 0.432408, 0.298499, 0.152649, -0.071307, -0.197396, -0.244979, -0.321751, -0.2783, -0.266252, -0.214061, -0.165149, -0.124355, -0.086738, -0.047583, -0.052583, -0.058756, -0.197396, -0.367174, -0.528074, -0.68573, -0.785398, -0.822418, -0.819867, -0.817645, -0.785398, -0.694738, -0.661043, -0.588003, -0.531724, -0.512389, -0.519146, -0.493941]"
-52,"[17.464249, 17.888544, 18.027756, 16.401219, 15.0, 14.21267, 12.206556, 11.18034, 10.440307, 11.045361, 13.0, 15.033296, 16.124515, 18.11077, 19.104973, 20.024984, 20.0, 19.0, 18.0, 16.0, 15.033296, 13.341664, 13.928388, 13.892444, 15.0, 17.029386, 9.899495, 21.931712, 22.671568, 24.207437, 25.0, 23.853721, 22.472205, 21.095023, 18.867962, 17.492856, 15.0, 14.142136, 14.422205, 15.652476, 17.088007, 18.973666, 20.880613, 22.135944, 23.769729, 23.259407, 22.825424, 22.472205, 20.808652, 18.601075, 16.401219, 15.0]","[0.41241, 0.463648, 0.588003, 0.655696, 0.643501, 0.68573, 0.610726, 0.463648, 0.291457, 0.09066, 0.0, -0.066568, -0.124355, -0.110657, -0.104877, -0.049958, 0.0, 0.0, 0.0, 0.0, -0.066568, -0.226799, -0.367174, -0.528074, -0.643501, -0.702257, -0.785398, -0.753151, -0.722979, -0.668289, -0.643501, -0.576375, -0.563316, -0.548549, -0.558599, -0.54042, -0.643501, -0.785398, -0.982794, -1.107149, -1.212026, -1.249046, -1.27934, -1.249046, -1.182478, -1.126377, -1.067953, -1.00748, -0.956133, -0.938047, -0.915101, -0.927295]"
-51,"[18.601075, 18.439089, 18.384776, 17.691806, 16.278821, 14.866069, 14.142136, 12.206556, 11.661904, 12.649111, 14.317821, 16.278821, 18.11077, 19.235384, 21.213203, 21.377558, 21.587033, 20.615528, 19.646883, 17.464249, 16.278821, 15.033296, 15.033296, 15.297059, 17.088007, 18.384776, 11.18034, 23.259407, 24.166092, 25.632011, 26.248809, 25.96151, 24.738634, 22.561028, 20.396078, 18.439089, 16.763055, 15.652476, 15.811388, 16.278821, 18.439089, 20.0, 21.400935, 23.430749, 24.083189, 24.041631, 24.083189, 22.803509, 21.633308, 20.248457, 18.027756, 15.811388]","[-0.938047, -0.86217, -0.785398, -0.745419, -0.741947, -0.737815, -0.785398, -0.96007, -1.030377, -1.249046, -1.359703, -1.385448, -1.460139, -1.414194, -1.428899, -1.382575, -1.337053, -1.325818, -1.313473, -1.339706, -1.385448, -1.504228, -1.637364, -1.768192, -1.929567, -1.961403, -2.034444, -2.015216, -1.997424, -1.929567, -1.880499, -1.843805, -1.815775, -1.794273, -1.768192, -1.789465, -1.873681, -2.034444, -2.176341, -2.312744, -2.432966, -2.498092, -2.488746, -2.446854, -2.41495, -2.356194, -2.297439, -2.231839, -2.158799, -2.145101, -2.158799, -2.176341]"
-51,"[18.788294, 19.235384, 18.867962, 17.804494, 16.401219, 15.0, 13.038405, 12.083046, 11.401754, 12.041595, 14.0, 16.03122, 17.029386, 19.104973, 20.024984, 21.023796, 21.0, 20.024984, 19.026298, 17.029386, 16.03122, 15.132746, 14.56022, 14.764823, 16.643317, 17.804494, 10.630146, 22.671568, 24.207437, 25.0, 25.238859, 24.698178, 23.706539, 21.470911, 20.124612, 18.35756, 15.811388, 14.866069, 14.21267, 15.264338, 17.464249, 19.313208, 21.540659, 22.847319, 23.259407, 23.706539, 23.323808, 22.203603, 20.615528, 19.849433, 17.029386, 15.620499]","[-1.130954, -1.083897, -1.012197, -0.904827, -0.915101, -0.927295, -1.004067, -1.144169, -1.304544, -1.487655, -1.570796, -1.633215, -1.629552, -1.675673, -1.620755, -1.618379, -1.570796, -1.520838, -1.518213, -1.512041, -1.633215, -1.703348, -1.849096, -2.064738, -2.142134, -2.236766, -2.289626, -2.293776, -2.239086, -2.214297, -2.158799, -2.125104, -2.05331, -2.055274, -2.034444, -2.083186, -2.176341, -2.308611, -2.455863, -2.589938, -2.729182, -2.770701, -2.761086, -2.736701, -2.697173, -2.659079, -2.601173, -2.516108, -2.459276, -2.427502, -2.439336, -2.446854]"
-51,"[18.248288, 19.104973, 19.026298, 18.0, 16.0, 15.0, 13.0, 12.165525, 12.649111, 13.416408, 14.422205, 16.401219, 17.804494, 19.209373, 20.615528, 20.808652, 21.633308, 20.248457, 18.867962, 18.027756, 16.401219, 14.866069, 14.21267, 15.264338, 16.155494, 18.027756, 10.440307, 23.086793, 24.041631, 24.698178, 25.079872, 24.596748, 23.706539, 21.954498, 19.723083, 17.888544, 16.552945, 14.56022, 14.142136, 15.033296, 17.117243, 18.439089, 20.396078, 22.36068, 23.194827, 24.083189, 23.0, 22.022716, 21.213203, 19.235384, 17.262677, 15.132746]","[-1.735945, -1.675673, -1.623379, -1.570796, -1.570796, -1.570796, -1.570796, -1.735945, -1.892547, -2.034444, -2.158799, -2.226492, -2.236766, -2.245537, -2.253113, -2.185459, -2.158799, -2.145101, -2.129396, -2.158799, -2.226492, -2.308611, -2.455863, -2.589938, -2.761086, -2.8023, -2.850136, -2.83354, -2.846152, -2.768605, -2.731465, -2.677945, -2.659079, -2.616797, -2.609869, -2.677945, -2.704965, -2.863293, -2.999696, 3.075024, 3.024484, 2.922924, 2.944197, 2.961739, 3.01189, 3.058451, 3.141593, -3.096169, -2.999696, -2.984991, -2.96692, -3.009041]"
