rssi,amplitude,phase
-56,"[8.544004, 9.219544, 11.18034, 13.152946, 14.142136, 15.132746, 16.124515, 17.117243, 17.262677, 17.464249, 16.492423, 14.56022, 12.649111, 10.440307, 7.071068, 5.09902, 4.242641, 6.082763, 9.0, 12.0, 14.0, 16.03122, 17.117243, 17.464249, 16.763055, 16.155494, 6.324555, 9.433981, 6.708204, 2.236068, 3.162278, 7.615773, 11.7047, 15.524175, 18.439089, 21.377558, 24.186773, 25.019992, 25.0, 24.020824, 22.090722, 19.026298, 17.0, 14.035669, 11.7047, 10.630146, 11.661904, 13.601471, 16.124515, 19.026298, 22.022716, 24.0]","[1.212026, 1.352127, 1.390943, 1.418147, 1.428899, 1.438245, 1.446441, 1.453688, 1.396124, 1.339706, 1.325818, 1.292497, 1.249046, 1.27934, 1.428899, 1.768192, 2.356194, 2.976444, 3.141593, 3.141593, 3.141593, 3.079174, 3.024484, 2.910502, 2.838708, 2.761086, 2.819842, 2.582993, 2.677945, 2.677945, -1.249046, -1.165905, -1.222025, -1.310194, -1.352127, -1.382575, -1.446441, -1.530818, -1.570796, -1.612439, -1.661456, -1.623379, -1.570796, -1.499489, -1.222025, -0.851966, -0.54042, -0.298499, -0.124355, -0.052583, -0.045423, 0.0]"
-56,"[9.486833, 10.77033, 12.083046, 13.416408, 14.764823, 16.124515, 17.0, 17.888544, 17.888544, 17.464249, 17.088007, 15.811388, 13.601471, 10.77033, 7.615773, 6.403124, 4.472136, 5.09902, 8.062258, 10.816654, 13.038405, 14.764823, 16.552945, 17.088007, 16.763055, 16.492423, 7.071068, 10.0, 7.0, 3.0, 2.0, 6.324555, 9.848858, 13.892444, 17.204651, 19.209373, 21.931712, 23.345235, 22.671568, 21.400935, 20.0, 17.204651, 15.0, 12.041595, 9.848858, 9.0, 10.440307, 13.038405, 16.401219, 19.104973, 21.931712, 23.345235]","[-2.819842, -2.761086, -2.714965, -2.677945, -2.647651, -2.622447, -2.651635, -2.677945, -2.677945, -2.729182, -2.782822, -2.819842, -2.843094, -2.761086, -2.736701, -2.466852, -2.034444, -1.373401, -1.05165, -0.982794, -1.004067, -1.076855, -1.134169, -1.212026, -1.267911, -1.325818, -1.428899, -1.570796, -1.570796, -1.570796, 1.570796, 1.249046, 1.152572, 1.042722, 0.950547, 0.896055, 0.817645, 0.755104, 0.722979, 0.652847, 0.643501, 0.620249, 0.643501, 0.844154, 1.152572, 1.570796, 1.862253, 2.137526, 2.226492, 2.319174, 2.323948, 2.325901]"
-56,"[9.219544, 9.899495, 11.401754, 13.601471, 14.422205, 15.811388, 15.811388, 17.204651, 16.401219, 16.401219, 15.620499, 14.866069, 12.727922, 9.899495, 7.81025, 4.472136, 3.162278, 5.0, 7.615773, 9.848858, 12.083046, 14.317821, 15.264338, 15.811388, 15.620499, 14.866069, 5.656854, 8.062258, 5.830952, 1.414214, 3.162278, 7.28011, 11.045361, 15.033296, 18.027756, 21.095023, 23.345235, 23.537205, 24.041631, 22.135944, 20.248457, 18.027756, 15.524175, 13.152946, 11.18034, 10.29563, 11.313708, 13.892444, 16.552945, 19.924859, 22.803509, 25.0]","[-0.86217, -0.785398, -0.661043, -0.628796, -0.588003, -0.605545, -0.605545, -0.620249, -0.655696, -0.655696, -0.694738, -0.737815, -0.785398, -0.785398, -0.694738, -0.463648, 0.321751, 0.927295, 1.165905, 1.152572, 1.144169, 1.138389, 1.019141, 0.965252, 0.876058, 0.832981, 0.785398, 0.519146, 0.54042, 0.785398, -2.819842, -2.863293, -3.050933, -3.075024, 3.086094, 3.046641, 2.969402, 2.927532, 2.846152, 2.819842, 2.788602, 2.8023, 2.88099, 2.988943, -2.961739, -2.634494, -2.356194, -2.098871, -2.007423, -1.876675, -1.837048, -1.85459]"
-56,"[8.062258, 9.055385, 11.18034, 12.369317, 13.601471, 14.56022, 15.524175, 15.524175, 16.278821, 16.124515, 15.132746, 14.035669, 12.041595, 10.049876, 7.28011, 5.830952, 4.472136, 5.0, 7.28011, 10.440307, 12.369317, 13.341664, 15.297059, 15.132746, 15.0, 14.0, 6.082763, 8.246211, 6.324555, 2.236068, 1.414214, 5.0, 9.219544, 12.727922, 15.620499, 17.804494, 19.416488, 20.59126, 19.697716, 19.313208, 18.027756, 16.155494, 13.0, 10.816654, 9.219544, 8.246211, 9.055385, 11.401754, 14.317821, 17.0, 19.235384, 21.470911]","[-3.017238, -3.030935, -2.961739, -2.896614, -2.843094, -2.863293, -2.88099, -2.88099, -2.956245, -3.017238, -3.009041, -3.070285, -3.058451, -3.041924, -2.863293, -2.601173, -2.034444, -1.570796, -1.292497, -1.27934, -1.325818, -1.343997, -1.373401, -1.438245, -1.570796, -1.570796, -1.735945, -1.815775, -1.892547, -2.034444, 0.785398, 0.927295, 0.86217, 0.785398, 0.694738, 0.665969, 0.602287, 0.507099, 0.418224, 0.370891, 0.339293, 0.380506, 0.394791, 0.588003, 0.86217, 1.325818, 1.681454, 1.837048, 2.003204, 2.060754, 2.057696, 2.055274]"
-57,"[8.602325, 10.0, 11.313708, 13.453624, 14.866069, 15.620499, 17.029386, 17.029386, 17.691806, 16.970563, 16.278821, 14.866069, 13.453624, 10.630146, 8.485281, 5.830952, 4.0, 5.656854, 7.211103, 10.29563, 13.038405, 14.422205, 15.0, 16.278821, 16.278821, 15.620499, 5.830952, 8.944272, 6.324555, 2.0, 2.236068, 6.324555, 10.198039, 14.035669, 17.029386, 19.104973, 21.213203, 22.561028, 21.84033, 21.18962, 19.313208, 17.088007, 14.56022, 11.045361, 9.219544, 8.602325, 10.0, 13.0, 15.524175, 19.416488, 21.377558, 23.345235]","[-2.521343, -2.498092, -2.356194, -2.303611, -2.308611, -2.265535, -2.273053, -2.273053, -2.316216, -2.356194, -2.399645, -2.403778, -2.408778, -2.422763, -2.356194, -2.111216, -1.570796, -0.785398, -0.588003, -0.507099, -0.566729, -0.588003, -0.643501, -0.741947, -0.828849, -0.876058, -1.030377, -1.107149, -1.249046, -1.570796, 2.034444, 1.892547, 1.768192, 1.642104, 1.512041, 1.465919, 1.428899, 1.34732, 1.292497, 1.234122, 1.199905, 1.212026, 1.292497, 1.480136, 1.789465, 2.191046, 2.498092, 2.746802, 2.88099, 2.934096, 2.953371, 2.969402]"
-56,"[9.0, 10.049876, 12.165525, 14.317821, 15.524175, 16.492423, 17.464249, 17.464249, 17.262677, 17.262677, 16.124515, 15.033296, 13.038405, 10.049876, 8.246211, 5.830952, 5.0, 6.0, 8.246211, 10.77033, 13.601471, 14.56022, 16.492423, 17.117243, 17.029386, 16.0, 7.071068, 9.219544, 6.324555, 2.236068, 2.236068, 5.830952, 10.0, 13.453624, 16.970563, 19.849433, 22.203603, 22.472205, 22.825424, 21.023796, 19.697716, 17.464249, 14.764823, 11.401754, 10.0, 9.219544, 10.049876, 13.0, 16.124515, 18.867962, 21.633308, 24.413111]","[3.141593, -3.041924, -2.976444, -2.930499, -2.88099, -2.896614, -2.910502, -2.910502, -2.96692, -2.96692, -3.017238, -3.075024, -3.064821, -3.041924, -2.896614, -2.601173, -2.214297, -1.570796, -1.325818, -1.19029, -1.272297, -1.292497, -1.325818, -1.453688, -1.512041, -1.570796, -1.712693, -1.789465, -1.892547, -2.034444, 1.107149, 1.030377, 0.927295, 0.837981, 0.785398, 0.714091, 0.625485, 0.563316, 0.502843, 0.442374, 0.418224, 0.41241, 0.493941, 0.661043, 0.927295, 1.352127, 1.670465, 1.965587, 2.089942, 2.129396, 2.158799, 2.181522]"
-56,"[7.81025, 9.899495, 11.401754, 13.601471, 14.422205, 15.811388, 15.811388, 17.204651, 17.029386, 17.029386, 15.556349, 14.866069, 12.727922, 9.899495, 6.403124, 4.472136, 4.123106, 5.656854, 8.062258, 11.18034, 13.892444, 15.264338, 16.401219, 17.029386, 16.970563, 16.278821, 6.403124, 8.602325, 5.830952, 1.414214, 3.162278, 8.062258, 12.165525, 15.297059, 18.681542, 22.135944, 23.769729, 25.495098, 25.059928, 23.853721, 22.472205, 19.416488, 17.492856, 14.317821, 12.165525, 11.18034, 11.661904, 13.453624, 16.401219, 19.416488, 22.472205, 24.698178]","[0.694738, 0.785398, 0.909753, 0.942, 0.982794, 0.965252, 0.965252, 0.950547, 0.868539, 0.868539, 0.785398, 0.737815, 0.785398, 0.785398, 0.896055, 1.107149, 1.815775, 2.356194, 2.622447, 2.677945, 2.613518, 2.589938, 2.485897, 2.439336, 2.356194, 2.312744, 2.245537, 2.191046, 2.111216, 2.356194, -1.892547, -1.695151, -1.735945, -1.768192, -1.841743, -1.892547, -1.959115, -2.016902, -2.070143, -2.147172, -2.134113, -2.173084, -2.111216, -2.003204, -1.735945, -1.390943, -1.030377, -0.837981, -0.655696, -0.602287, -0.563316, -0.554307]"
-56,"[8.602325, 9.899495, 11.401754, 13.601471, 14.422205, 15.811388, 16.643317, 17.204651, 17.804494, 17.029386, 16.278821, 15.556349, 12.727922, 9.899495, 7.81025, 5.385165, 4.123106, 5.0, 7.615773, 9.848858, 12.529964, 13.892444, 15.264338, 16.401219, 16.278821, 14.866069, 5.0, 8.062258, 5.830952, 1.414214, 3.0, 7.071068, 12.0, 15.033296, 18.11077, 21.377558, 23.769729, 24.041631, 23.769729, 22.847319, 21.023796, 18.788294, 16.155494, 13.341664, 11.045361, 10.77033, 12.041595, 13.601471, 17.0, 20.124612, 22.847319, 25.079872]","[-0.950547, -0.785398, -0.661043, -0.628796, -0.588003, -0.605545, -0.571337, -0.620249, -0.665969, -0.702257, -0.741947, -0.785398, -0.785398, -0.785398, -0.694738, -0.380506, 0.244979, 0.927295, 1.165905, 1.152572, 1.07145, 1.042722, 1.019141, 0.915101, 0.828849, 0.737815, 0.643501, 0.519146, 0.54042, 0.785398, 3.141593, -2.999696, 3.141593, 3.075024, 3.030935, 2.953371, 2.88641, 2.846152, 2.753274, 2.736701, 2.699218, 2.70175, 2.761086, 2.914794, -3.050933, -2.761086, -2.41495, -2.199593, -2.060754, -2.034444, -1.975688, -1.980924]"
-56,"[8.602325, 10.29563, 12.083046, 13.928388, 14.866069, 16.155494, 16.552945, 16.552945, 17.0, 17.0, 16.124515, 15.264338, 13.038405, 10.29563, 7.615773, 5.09902, 4.472136, 5.830952, 8.544004, 11.7047, 13.928388, 15.231546, 16.552945, 17.0, 17.204651, 16.401219, 7.071068, 9.219544, 6.403124, 2.828427, 2.0, 6.082763, 10.198039, 14.035669, 17.0, 20.024984, 22.090722, 23.345235, 23.769729, 21.84033, 19.924859, 17.720045, 15.524175, 12.165525, 10.049876, 9.433981, 10.0, 12.083046, 15.524175, 18.248288, 21.213203, 23.194827]","[2.521343, 2.634494, 2.714965, 2.774419, 2.798569, 2.761086, 2.704965, 2.704965, 2.651635, 2.651635, 2.622447, 2.589938, 2.574863, 2.634494, 2.736701, 2.944197, -2.677945, -2.111216, -1.929567, -1.919567, -1.93797, -1.975688, -2.007423, -2.060754, -2.191046, -2.226492, -2.356194, -2.432966, -2.466852, -2.356194, 0.0, 0.165149, 0.197396, 0.071307, 0.0, -0.049958, -0.09066, -0.172191, -0.255182, -0.2783, -0.305879, -0.286051, -0.260602, -0.165149, 0.099669, 0.558599, 0.927295, 1.144169, 1.310194, 1.405648, 1.428899, 1.441094]"
-56,"[10.29563, 11.401754, 14.21267, 15.620499, 16.970563, 17.691806, 19.104973, 19.849433, 19.849433, 19.209373, 18.601075, 16.643317, 15.264338, 12.206556, 9.219544, 6.403124, 5.0, 5.830952, 8.485281, 12.041595, 13.453624, 16.278821, 17.691806, 18.601075, 18.027756, 17.0, 7.615773, 10.440307, 7.28011, 2.0, 2.0, 7.0, 11.045361, 15.297059, 18.681542, 22.135944, 24.166092, 25.059928, 24.698178, 24.413111, 22.203603, 19.416488, 16.124515, 13.928388, 11.045361, 10.440307, 11.401754, 14.21267, 18.35756, 21.470911, 24.596748, 26.832816]","[-2.634494, -2.480549, -2.455863, -2.446854, -2.356194, -2.396173, -2.393215, -2.427502, -2.427502, -2.466852, -2.508844, -2.570255, -2.589938, -2.530867, -2.432966, -2.245537, -1.570796, -1.030377, -0.785398, -0.726642, -0.732815, -0.741947, -0.825377, -0.938047, -0.982794, -1.080839, -1.165905, -1.27934, -1.292497, -1.570796, 1.570796, 1.570796, 1.480136, 1.373401, 1.299849, 1.249046, 1.144169, 1.07145, 1.016489, 0.96007, 0.945311, 0.968509, 1.05165, 1.203622, 1.480136, 1.862253, 2.231839, 2.455863, 2.629203, 2.657115, 2.677945, 2.677945]"
