type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,0,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,3949001,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-2,0,-7,1,-8,3,-10,5,-12,7,-15,8,-16,9,-17,9,-18,8,-19,8,-20,7,-20,7,-19,6,-18,6,-17,6,-16,7,-14,8,-14,10,-13,11,-14,12,-14,13,-14,13,-14,13,-13,13,-12,13,-11,13,-10,14,-4,7,-6,16,-5,17,-5,18,-4,19,-5,19,-5,20,-5,19,-6,18,-5,17,-4,14,-3,12,-1,10,3,9,6,8,10,8,13,9,16,10,18,12,19,15,18,17,17,18,15,19,13,20,10,19,7,17,6,15,1,3,0,0,0,0,0,0,0,0]"
CSI_DATA,2,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,3969329,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,1,0,6,0,7,-2,9,-4,12,-5,14,-5,15,-5,16,-5,17,-4,18,-3,18,-3,18,-2,18,-2,17,-3,16,-3,15,-4,14,-5,14,-6,14,-7,14,-8,15,-9,15,-9,15,-9,14,-9,13,-9,12,-10,11,-11,5,-6,9,-13,9,-14,8,-15,9,-16,9,-16,10,-16,10,-16,10,-15,8,-14,7,-13,5,-11,2,-10,0,-9,-4,-10,-6,-11,-9,-13,-11,-15,-12,-18,-12,-20,-11,-21,-9,-22,-7,-22,-5,-22,-3,-21,-1,-18,-1,-15,-1,-4,0,0,0,0,0,0,0,0]"
CSI_DATA,4,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,3979181,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-1,-2,-2,-7,-4,-7,-7,-8,-9,-10,-10,-12,-10,-14,-10,-15,-10,-16,-9,-16,-9,-17,-9,-17,-9,-17,-8,-16,-8,-15,-8,-13,-10,-12,-11,-11,-12,-11,-13,-11,-13,-11,-14,-11,-14,-11,-13,-10,-14,-9,-14,-8,-14,-7,-8,-3,-16,-4,-16,-4,-17,-3,-18,-3,-19,-3,-19,-3,-18,-4,-17,-4,-16,-3,-14,-2,-12,-1,-10,1,-8,3,-7,6,-7,10,-8,13,-9,15,-10,17,-12,18,-14,18,-16,16,-17,15,-17,13,-17,11,-15,8,-13,6,-4,1,0,0,0,0,0,0,0,0]"
CSI_DATA,6,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,3989078,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-1,1,-1,6,1,8,2,11,4,13,4,16,4,17,4,18,3,19,2,20,2,20,1,20,1,20,1,19,1,17,3,16,4,16,6,15,7,15,9,15,9,16,9,16,9,15,9,15,9,14,10,13,11,12,6,5,14,9,15,8,17,8,17,8,18,8,18,9,18,9,16,9,15,8,13,6,12,4,10,2,9,-2,9,-5,10,-9,12,-12,14,-14,16,-16,18,-16,20,-15,22,-14,22,-12,22,-9,20,-7,18,-4,16,-3,3,-1,0,0,0,0,0,0,0,0]"
CSI_DATA,8,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,3999209,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-2,1,-5,5,-4,8,-3,11,-4,14,-5,16,-6,17,-6,18,-8,19,-9,18,-10,18,-10,18,-10,18,-10,17,-9,16,-7,16,-5,16,-4,17,-3,17,-2,18,-2,19,-2,19,-2,19,-1,18,-1,17,1,17,2,17,2,8,6,16,7,17,8,17,9,18,9,18,8,19,8,18,7,17,7,16,6,14,6,11,7,8,8,5,11,2,13,0,16,-1,20,-2,22,-1,24,0,25,3,25,5,24,7,23,8,20,9,16,9,14,8,3,2,0,0,0,0,0,0,0,0]"
CSI_DATA,10,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4009169,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,1,-1,5,-5,5,-8,5,-11,6,-13,8,-15,9,-16,10,-17,11,-16,12,-16,13,-16,13,-16,13,-16,12,-16,11,-15,10,-15,8,-15,6,-16,5,-17,5,-18,5,-19,5,-19,5,-19,4,-18,3,-18,2,-17,1,-17,-1,-9,-3,-18,-4,-18,-5,-19,-6,-20,-5,-20,-5,-21,-5,-21,-4,-20,-4,-18,-4,-16,-5,-13,-6,-10,-8,-8,-10,-6,-14,-4,-17,-3,-20,-4,-23,-5,-24,-6,-25,-9,-24,-11,-23,-13,-21,-14,-18,-14,-15,-13,-12,-12,-3,-3,0,0,0,0,0,0,0,0]"
CSI_DATA,12,60:83:e7:28:84:44,-61,11,0,0,0,0,0,0,0,0,0,-96,0,2,1,4050817,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-2,-2,-6,-4,-9,-4,-12,-3,-15,-4,-17,-5,-18,-6,-19,-7,-19,-9,-19,-10,-19,-10,-19,-10,-19,-10,-18,-10,-17,-9,-17,-7,-17,-5,-18,-4,-18,-3,-19,-2,-19,-2,-20,-2,-20,-2,-19,-1,-18,0,-18,1,-17,2,-9,2,-17,6,-17,7,-18,8,-19,9,-19,9,-20,9,-20,8,-19,7,-17,7,-15,7,-12,6,-9,7,-6,8,-3,10,0,13,1,16,1,20,1,22,0,24,-2,25,-5,25,-7,24,-8,23,-9,20,-9,17,-9,14,-2,3,0,0,0,0,0,0,0,0]"
CSI_DATA,14,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4060772,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,1,-1,6,-4,6,-7,6,-10,8,-12,10,-14,11,-15,13,-15,14,-15,15,-15,15,-14,15,-14,15,-14,15,-13,13,-13,12,-13,11,-14,9,-15,9,-16,9,-17,9,-18,9,-18,8,-18,8,-17,6,-17,5,-17,4,-17,1,-9,1,-18,0,-19,-1,-20,-1,-21,-1,-22,-1,-22,-1,-22,0,-21,0,-19,-1,-16,-2,-14,-3,-11,-6,-9,-9,-7,-13,-7,-16,-7,-19,-8,-21,-10,-22,-11,-22,-13,-21,-15,-20,-17,-18,-18,-15,-18,-12,-16,-10,-14,-3,-4,0,0,0,0,0,0,0,0]"
CSI_DATA,16,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4069861,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,1,0,6,0,8,-2,10,-4,13,-5,15,-5,17,-5,18,-4,19,-4,20,-3,20,-2,20,-2,20,-2,19,-2,17,-3,16,-4,16,-5,15,-7,15,-8,16,-10,16,-10,16,-10,16,-10,15,-10,14,-10,13,-11,12,-12,5,-7,9,-15,8,-16,8,-18,8,-19,8,-19,9,-19,9,-19,9,-18,8,-16,6,-15,4,-12,2,-11,-1,-10,-5,-10,-9,-11,-12,-12,-14,-14,-15,-17,-16,-19,-15,-21,-14,-23,-12,-23,-10,-23,-7,-22,-4,-19,-3,-16,-1,-4,0,0,0,0,0,0,0,0]"
CSI_DATA,18,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4078902,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,1,-1,6,-3,6,-6,8,-9,10,-11,11,-12,13,-13,14,-13,16,-13,16,-12,17,-12,17,-11,17,-11,16,-11,15,-11,13,-11,12,-12,11,-13,10,-14,10,-15,10,-16,10,-16,10,-16,10,-16,9,-16,7,-16,6,-16,2,-9,2,-18,2,-19,1,-20,1,-20,1,-21,1,-21,2,-21,2,-20,2,-18,1,-16,-1,-14,-2,-11,-5,-9,-8,-8,-12,-8,-15,-8,-18,-9,-20,-11,-21,-13,-21,-16,-20,-17,-18,-19,-16,-19,-14,-19,-10,-17,-9,-15,-2,-4,0,0,0,0,0,0,0,0]"
