type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,0,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,3966857,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,0,1,-1,5,-4,6,-8,8,-13,8,-16,8,-19,6,-21,4,-21,2,-21,0,-19,-2,-16,-4,-12,-4,-8,-4,-4,-2,0,0,4,3,7,6,10,9,11,13,12,16,12,18,12,20,11,20,11,20,10,20,9,19,4,7,7,12,6,9,6,4,6,0,7,-5,8,-9,9,-13,11,-17,12,-20,14,-22,15,-23,15,-23,15,-23,14,-22,13,-21,11,-20,9,-18,5,-16,2,-13,-3,-11,-7,-9,-11,-8,-16,-7,-20,-6,-23,-5,-25,-5,-7,-2,0,0,0,0,0,0,0,0]"
CSI_DATA,2,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,3978031,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-1,-1,-3,-5,-1,-8,1,-12,4,-15,8,-16,11,-16,14,-15,15,-14,16,-12,16,-9,14,-6,11,-4,7,-2,3,-1,-2,-1,-7,-1,-11,-3,-14,-4,-17,-7,-19,-9,-21,-11,-21,-13,-21,-14,-20,-14,-19,-14,-18,-13,-8,-6,-13,-8,-11,-5,-9,-2,-8,3,-6,7,-6,11,-5,15,-5,19,-6,22,-6,25,-7,27,-7,27,-7,26,-7,25,-6,24,-5,22,-3,19,-1,16,2,13,5,9,8,6,12,4,16,1,20,0,23,-1,25,-2,6,-1,0,0,0,0,0,0,0,0]"
CSI_DATA,4,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,3990469,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-2,0,-6,-1,-8,-4,-9,-8,-10,-13,-9,-16,-8,-19,-6,-21,-4,-22,-1,-21,0,-19,2,-17,3,-13,2,-9,1,-4,-1,0,-4,4,-7,7,-11,10,-15,11,-18,11,-20,11,-22,11,-22,11,-22,10,-22,9,-21,8,-9,3,-13,6,-10,6,-6,6,-1,7,3,8,7,10,11,11,14,13,17,15,19,17,20,18,20,19,20,19,19,18,18,16,17,15,16,12,14,8,12,4,10,0,9,-5,9,-10,9,-14,9,-19,9,-22,10,-24,2,-7,0,0,0,0,0,0,0,0]"
CSI_DATA,6,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,3997811,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,0,1,-1,5,-4,7,-8,8,-12,9,-16,9,-19,7,-20,5,-21,3,-21,1,-19,-1,-16,-3,-13,-3,-8,-3,-4,-2,1,0,5,3,8,6,10,9,12,12,13,15,13,17,13,19,13,20,12,20,11,19,10,18,4,7,8,11,7,8,6,4,6,-1,7,-5,8,-10,9,-14,10,-17,11,-21,12,-23,13,-24,14,-24,14,-24,13,-23,12,-22,10,-21,8,-19,4,-16,1,-13,-3,-11,-7,-9,-12,-7,-16,-6,-20,-5,-24,-4,-26,-3,-7,-1,0,0,0,0,0,0,0,0]"
CSI_DATA,8,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4006844,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-2,-1,-6,-2,-7,-6,-7,-10,-7,-14,-6,-18,-3,-20,-1,-21,1,-21,3,-20,5,-18,6,-16,5,-12,4,-8,2,-4,-1,0,-5,4,-8,6,-12,8,-15,9,-18,9,-21,9,-22,8,-23,8,-23,7,-22,6,-21,6,-9,2,-13,5,-10,5,-6,5,-2,6,3,8,7,9,11,11,14,13,17,14,19,16,20,17,20,18,20,18,19,17,18,15,17,13,16,11,14,7,12,3,10,-1,8,-6,7,-10,7,-15,7,-19,6,-22,6,-25,1,-7,0,0,0,0,0,0,0,0]"
CSI_DATA,10,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4017828,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,0,0,1,4,-1,7,-5,10,-9,12,-12,13,-15,13,-18,12,-19,10,-19,7,-18,5,-16,2,-13,1,-9,-1,-4,-1,1,-1,5,1,9,2,13,4,16,7,18,9,19,12,19,13,19,14,18,14,17,14,16,13,7,5,11,7,9,5,8,1,6,-3,5,-7,4,-12,3,-16,3,-20,3,-23,3,-26,3,-27,4,-28,4,-27,3,-27,3,-25,2,-23,0,-20,-2,-17,-4,-13,-7,-9,-10,-5,-13,-2,-17,1,-20,3,-23,5,-25,7,-7,2,0,0,0,0,0,0,0,0]"
CSI_DATA,12,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4027194,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-1,-2,-1,-6,2,-8,6,-10,10,-11,14,-12,17,-11,19,-9,20,-7,20,-5,18,-2,16,0,12,1,8,1,3,0,-1,-1,-6,-3,-9,-6,-12,-9,-14,-12,-16,-15,-16,-17,-16,-19,-16,-20,-15,-20,-14,-20,-13,-19,-6,-8,-9,-12,-9,-9,-8,-4,-8,0,-8,5,-8,9,-9,13,-10,17,-11,20,-13,23,-14,24,-14,24,-14,24,-14,23,-13,22,-11,20,-8,18,-5,15,-2,13,2,10,6,8,11,6,15,5,19,4,23,3,25,3,6,0,0,0,0,0,0,0,0,0]"
CSI_DATA,14,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4037143,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,0,1,-1,4,-4,5,-8,7,-12,7,-15,6,-17,5,-19,3,-19,1,-19,-1,-17,-3,-15,-4,-11,-4,-7,-4,-3,-2,0,0,4,2,6,6,8,9,10,12,10,15,10,17,10,18,9,19,9,19,8,18,7,17,3,7,5,11,5,8,5,4,6,0,6,-4,8,-8,9,-11,10,-15,12,-17,13,-19,14,-20,15,-20,15,-20,14,-19,13,-18,11,-17,9,-16,6,-14,2,-12,-2,-10,-5,-8,-10,-7,-14,-7,-17,-7,-20,-6,-22,-6,-6,-2,0,0,0,0,0,0,0,0]"
CSI_DATA,16,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4046762,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-1,0,-4,3,-8,2,-12,0,-16,-3,-18,-6,-19,-9,-18,-11,-17,-13,-15,-14,-12,-15,-9,-14,-6,-12,-4,-8,-2,-4,0,0,1,5,1,10,0,14,-1,17,-3,20,-5,22,-6,23,-7,23,-8,22,-8,21,-8,20,-3,8,-4,13,-2,11,1,8,4,5,8,2,12,0,16,-2,19,-4,22,-5,24,-5,26,-5,27,-5,27,-5,26,-5,24,-5,21,-6,18,-6,14,-7,10,-8,6,-9,1,-11,-3,-13,-7,-16,-10,-18,-12,-20,-14,-22,-4,-6,0,0,0,0,0,0,0,0]"
CSI_DATA,18,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4057096,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-1,0,-4,3,-8,2,-12,0,-16,-3,-18,-6,-19,-8,-19,-11,-18,-13,-16,-14,-13,-15,-10,-14,-7,-11,-4,-8,-2,-4,0,1,0,6,0,10,0,14,-1,17,-3,20,-5,22,-6,23,-7,23,-7,23,-8,21,-7,20,-3,8,-4,13,-2,11,1,8,4,5,8,2,12,0,16,-2,19,-4,23,-5,25,-5,27,-5,27,-5,27,-5,26,-5,24,-5,22,-6,19,-6,15,-7,11,-8,6,-10,2,-11,-3,-14,-6,-16,-10,-19,-12,-21,-14,-22,-4,-6,0,0,0,0,0,0,0,0]"
CSI_DATA,20,60:83:e7:28:84:44,-49,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4066860,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-1,0,-4,2,-7,0,-11,-2,-13,-5,-15,-8,-15,-11,-14,-13,-13,-15,-11,-16,-8,-15,-6,-14,-4,-12,-2,-8,-1,-4,-1,0,-1,5,-2,9,-3,12,-5,15,-7,17,-9,18,-10,19,-11,19,-12,18,-12,17,-11,16,-5,7,-6,11,-4,9,-1,7,3,5,6,4,10,3,14,2,17,1,20,1,23,1,24,2,25,2,25,2,24,1,22,1,20,0,18,-1,14,-3,11,-5,7,-7,4,-9,0,-12,-2,-15,-4,-19,-6,-21,-7,-23,-2,-6,0,0,0,0,0,0,0,0]"
