rssi,amplitude,phase
-60,"[8.0, 10.049876, 12.369317, 14.56022, 15.811388, 17.720045, 18.681542, 18.439089, 19.235384, 19.235384, 20.223748, 20.099751, 19.235384, 18.248288, 17.464249, 17.720045, 17.088007, 17.888544, 18.35756, 19.235384, 19.235384, 18.788294, 17.888544, 17.492856, 17.492856, 17.204651, 8.485281, 17.029386, 17.804494, 18.601075, 19.416488, 20.248457, 20.808652, 20.808652, 20.0, 17.804494, 16.401219, 14.422205, 12.083046, 10.198039, 11.045361, 12.649111, 16.552945, 18.788294, 21.931712, 23.769729, 24.351591, 24.738634, 24.33105, 24.083189, 22.0, 19.026298]","[3.141593, -3.041924, -2.896614, -2.863293, -2.819842, -2.855541, -2.870646, -2.922924, -2.984991, -2.984991, -2.992703, -3.041924, -2.984991, -2.976444, -2.910502, -2.855541, -2.782822, -2.677945, -2.629203, -2.654693, -2.654693, -2.70175, -2.677945, -2.601173, -2.601173, -2.521343, -2.356194, -2.273053, -2.236766, -2.203545, -2.173084, -2.145101, -2.185459, -2.185459, -2.214297, -2.236766, -2.226492, -2.158799, -1.997424, -1.768192, -1.480136, -1.249046, -1.134169, -1.130954, -1.147942, -1.182478, -1.236059, -1.325818, -1.405648, -1.487655, -1.570796, -1.623379]"
-60,"[8.485281, 10.0, 13.892444, 16.643317, 18.867962, 20.248457, 20.808652, 22.022716, 22.671568, 22.671568, 23.345235, 22.671568, 21.260292, 19.849433, 20.0, 18.867962, 20.124612, 19.697716, 20.615528, 21.540659, 21.540659, 21.540659, 20.615528, 20.248457, 18.973666, 19.646883, 10.198039, 20.024984, 20.0, 21.095023, 22.090722, 22.090722, 23.021729, 23.021729, 22.0, 20.0, 18.027756, 15.132746, 13.601471, 11.661904, 12.727922, 14.422205, 17.888544, 21.023796, 23.706539, 25.553865, 26.627054, 27.018512, 26.907248, 26.172505, 24.207437, 20.808652]","[-2.356194, -2.214297, -2.098871, -2.142134, -2.129396, -2.145101, -2.185459, -2.259721, -2.293776, -2.293776, -2.325901, -2.293776, -2.289626, -2.284887, -2.214297, -2.129396, -2.034444, -1.989021, -1.969319, -1.951303, -1.951303, -1.951303, -1.969319, -1.923787, -1.892547, -1.82812, -1.768192, -1.620755, -1.570796, -1.475845, -1.480136, -1.480136, -1.527345, -1.527345, -1.570796, -1.570796, -1.515298, -1.438245, -1.272297, -1.030377, -0.785398, -0.588003, -0.463648, -0.442374, -0.482513, -0.533708, -0.598419, -0.680521, -0.732815, -0.812419, -0.902507, -0.956133]"
-60,"[7.071068, 9.0, 11.18034, 13.152946, 15.132746, 17.117243, 18.027756, 19.026298, 19.0, 19.026298, 19.026298, 18.027756, 18.027756, 17.0, 16.03122, 16.124515, 16.492423, 16.763055, 17.088007, 18.027756, 18.973666, 18.027756, 18.027756, 17.464249, 16.552945, 16.124515, 7.81025, 16.970563, 17.691806, 18.439089, 19.849433, 19.849433, 19.849433, 19.849433, 19.104973, 16.970563, 15.620499, 13.601471, 11.18034, 10.198039, 11.045361, 13.601471, 17.088007, 19.313208, 22.135944, 23.769729, 24.515301, 25.179357, 24.020824, 24.0, 22.090722, 18.248288]","[1.428899, 1.570796, 1.75065, 1.723446, 1.703348, 1.687905, 1.626295, 1.623379, 1.570796, 1.518213, 1.518213, 1.515298, 1.515298, 1.570796, 1.633215, 1.695151, 1.815775, 1.873681, 1.929567, 1.910089, 1.892547, 1.910089, 1.910089, 1.983207, 2.007423, 2.089942, 2.265535, 2.356194, 2.396173, 2.432966, 2.427502, 2.427502, 2.427502, 2.427502, 2.393215, 2.356194, 2.446854, 2.512796, 2.677945, 2.944197, -3.050933, -2.843094, -2.782822, -2.770701, -2.819842, -2.88641, -2.936197, -3.022164, -3.09995, 3.141593, 3.050933, 2.976444]"
-60,"[8.944272, 10.440307, 12.165525, 15.132746, 16.124515, 18.248288, 19.235384, 19.416488, 19.646883, 19.646883, 20.880613, 20.880613, 19.924859, 18.681542, 18.439089, 17.262677, 18.027756, 18.0, 19.0, 19.0, 19.0, 19.0, 18.0, 18.027756, 17.117243, 17.262677, 8.246211, 17.088007, 17.464249, 19.235384, 19.235384, 20.124612, 20.124612, 20.124612, 19.697716, 17.464249, 16.552945, 13.892444, 12.206556, 10.630146, 10.77033, 12.165525, 15.033296, 18.027756, 21.023796, 22.203603, 23.345235, 24.041631, 23.4094, 23.259407, 21.095023, 18.601075]","[-2.034444, -1.862253, -1.735945, -1.703348, -1.695151, -1.735945, -1.727398, -1.778293, -1.82812, -1.82812, -1.862253, -1.862253, -1.876675, -1.841743, -1.789465, -1.745469, -1.626295, -1.570796, -1.570796, -1.570796, -1.570796, -1.570796, -1.570796, -1.515298, -1.453688, -1.396124, -1.325818, -1.212026, -1.158386, -1.083897, -1.083897, -1.107149, -1.107149, -1.107149, -1.152572, -1.158386, -1.134169, -1.042722, -0.96007, -0.71883, -0.380506, -0.165149, -0.066568, -0.055499, -0.047583, -0.135528, -0.172191, -0.295441, -0.348771, -0.444419, -0.548549, -0.632749]"
-60,"[10.0, 11.313708, 13.601471, 16.643317, 18.027756, 19.416488, 20.808652, 21.400935, 22.022716, 22.803509, 23.430749, 22.671568, 22.022716, 20.615528, 20.0, 19.723083, 19.235384, 19.697716, 20.248457, 21.18962, 21.540659, 21.18962, 20.248457, 19.924859, 19.646883, 19.416488, 10.049876, 19.026298, 20.099751, 21.213203, 22.36068, 23.345235, 23.194827, 23.194827, 22.090722, 20.099751, 18.11077, 16.278821, 12.649111, 11.661904, 12.806248, 14.317821, 18.027756, 21.18962, 24.351591, 26.0, 27.294688, 27.45906, 27.202941, 26.248809, 24.041631, 21.260292]","[-2.498092, -2.356194, -2.199593, -2.142134, -2.158799, -2.173084, -2.185459, -2.223643, -2.259721, -2.231839, -2.265535, -2.293776, -2.259721, -2.253113, -2.214297, -2.10252, -2.057696, -1.989021, -1.923787, -1.907471, -1.951303, -1.907471, -1.923787, -1.876675, -1.82812, -1.778293, -1.670465, -1.518213, -1.471128, -1.428899, -1.390943, -1.398606, -1.441094, -1.441094, -1.480136, -1.471128, -1.460139, -1.385448, -1.249046, -1.030377, -0.674741, -0.432408, -0.339293, -0.336675, -0.334737, -0.394791, -0.496423, -0.577902, -0.628796, -0.704494, -0.785398, -0.851966]"
-60,"[8.246211, 10.0, 12.041595, 15.033296, 17.029386, 18.0, 19.0, 19.026298, 20.099751, 20.223748, 20.223748, 20.223748, 19.235384, 18.11077, 17.029386, 17.029386, 17.262677, 17.464249, 18.439089, 18.439089, 19.416488, 18.439089, 18.681542, 17.720045, 18.027756, 17.464249, 9.433981, 17.204651, 17.804494, 18.439089, 19.849433, 19.849433, 21.260292, 20.615528, 19.209373, 17.804494, 16.278821, 14.142136, 11.401754, 10.77033, 11.045361, 13.038405, 16.278821, 19.416488, 21.377558, 23.345235, 25.079872, 25.0, 25.079872, 23.345235, 21.587033, 18.973666]","[2.896614, 3.141593, -3.058451, -3.075024, -3.082837, 3.141593, 3.141593, 3.08901, 3.041924, 2.992703, 2.992703, 2.992703, 2.984991, 3.030935, 3.082837, -3.082837, -2.96692, -2.910502, -2.922924, -2.922924, -2.934096, -2.922924, -2.870646, -2.855541, -2.8023, -2.729182, -2.582993, -2.521343, -2.475623, -2.432966, -2.427502, -2.427502, -2.422763, -2.459276, -2.466852, -2.475623, -2.399645, -2.356194, -2.231839, -1.951303, -1.661456, -1.494024, -1.385448, -1.3633, -1.382575, -1.398606, -1.490966, -1.570796, -1.650626, -1.742987, -1.80454, -1.892547]"
-61,"[7.071068, 9.486833, 12.083046, 14.764823, 17.464249, 18.788294, 20.248457, 21.18962, 20.880613, 21.84033, 21.587033, 21.587033, 20.615528, 18.681542, 18.027756, 18.384776, 18.35756, 18.867962, 20.0, 20.0, 20.0, 20.0, 19.209373, 19.209373, 18.439089, 17.691806, 10.0, 18.35756, 19.235384, 20.124612, 21.023796, 21.931712, 21.931712, 21.023796, 20.124612, 18.788294, 16.552945, 13.928388, 12.369317, 11.045361, 10.77033, 13.601471, 17.029386, 19.849433, 22.022716, 25.0, 26.07681, 25.942244, 26.0, 24.351591, 22.803509, 20.396078]","[-2.999696, -2.819842, -2.714965, -2.647651, -2.729182, -2.70175, -2.788602, -2.804918, -2.850136, -2.863293, -2.907849, -2.907849, -2.896614, -2.870646, -2.8023, -2.750986, -2.629203, -2.582993, -2.498092, -2.498092, -2.498092, -2.498092, -2.466852, -2.466852, -2.432966, -2.316216, -2.214297, -2.083186, -2.057696, -2.034444, -2.013171, -1.99365, -1.99365, -2.013171, -2.034444, -2.010639, -2.007423, -1.93797, -1.815775, -1.480136, -1.19029, -0.942, -0.868539, -0.856706, -0.881872, -0.927295, -1.004067, -1.089909, -1.176005, -1.236059, -1.304544, -1.373401]"
-60,"[7.071068, 8.0, 11.18034, 13.152946, 15.297059, 17.117243, 18.027756, 18.0, 19.0, 19.026298, 19.026298, 19.026298, 18.027756, 17.0, 16.03122, 16.124515, 16.492423, 16.763055, 18.027756, 18.027756, 18.027756, 18.027756, 17.088007, 17.464249, 16.552945, 16.124515, 7.81025, 16.970563, 17.691806, 18.439089, 19.209373, 19.849433, 19.849433, 19.104973, 18.384776, 17.691806, 15.620499, 13.601471, 11.18034, 10.198039, 11.045361, 13.601471, 17.088007, 19.313208, 22.135944, 23.086793, 24.738634, 24.33105, 24.083189, 24.0, 22.022716, 18.11077]","[1.428899, 1.570796, 1.75065, 1.723446, 1.768192, 1.687905, 1.626295, 1.570796, 1.570796, 1.518213, 1.518213, 1.518213, 1.515298, 1.570796, 1.633215, 1.695151, 1.815775, 1.873681, 1.910089, 1.910089, 1.910089, 1.910089, 1.929567, 1.983207, 2.007423, 2.089942, 2.265535, 2.356194, 2.396173, 2.432966, 2.466852, 2.427502, 2.427502, 2.393215, 2.356194, 2.396173, 2.446854, 2.512796, 2.677945, 2.944197, -3.050933, -2.843094, -2.782822, -2.770701, -2.819842, -2.83354, -2.896614, -2.976444, -3.058451, 3.141593, 3.096169, 3.030935]"
-61,"[8.062258, 9.486833, 12.165525, 14.317821, 15.297059, 17.464249, 18.681542, 18.973666, 18.973666, 19.313208, 19.313208, 19.313208, 18.384776, 17.088007, 16.763055, 16.278821, 16.03122, 17.0, 18.027756, 18.0, 19.0, 18.0, 18.027756, 17.117243, 16.124515, 16.278821, 8.544004, 17.0, 18.35756, 18.867962, 19.723083, 20.248457, 20.59126, 20.59126, 19.235384, 17.888544, 16.124515, 13.601471, 11.313708, 10.29563, 11.18034, 13.0, 16.03122, 19.104973, 21.023796, 23.0, 25.079872, 25.317978, 24.515301, 24.041631, 21.540659, 18.788294]","[2.622447, 2.819842, 2.976444, 2.930499, 2.944197, 2.910502, 2.870646, 2.819842, 2.819842, 2.770701, 2.770701, 2.770701, 2.750986, 2.782822, 2.838708, 2.956245, 3.079174, 3.141593, -3.086094, 3.141593, 3.141593, 3.141593, -3.086094, -3.024484, -3.017238, -2.956245, -2.782822, -2.651635, -2.629203, -2.582993, -2.609869, -2.567288, -2.634494, -2.634494, -2.654693, -2.677945, -2.622447, -2.512796, -2.356194, -2.077895, -1.75065, -1.570796, -1.508378, -1.465919, -1.523213, -1.570796, -1.650626, -1.729452, -1.776192, -1.866237, -1.951303, -2.010639]"
-61,"[9.219544, 10.630146, 13.038405, 16.124515, 18.867962, 20.248457, 20.808652, 21.400935, 21.400935, 22.022716, 22.671568, 22.671568, 21.260292, 20.615528, 19.416488, 19.723083, 19.697716, 20.615528, 21.540659, 21.540659, 21.540659, 20.615528, 20.248457, 19.924859, 18.681542, 18.439089, 9.055385, 19.026298, 20.099751, 21.213203, 22.203603, 22.36068, 23.194827, 23.194827, 22.090722, 20.099751, 18.11077, 15.132746, 12.369317, 10.816654, 11.401754, 13.416408, 17.088007, 20.248457, 23.4094, 25.079872, 26.832816, 26.925824, 26.400758, 25.495098, 24.041631, 20.615528]","[-2.432966, -2.289626, -2.137526, -2.089942, -2.129396, -2.145101, -2.185459, -2.223643, -2.223643, -2.259721, -2.293776, -2.293776, -2.289626, -2.253113, -2.173084, -2.10252, -1.989021, -1.969319, -1.951303, -1.951303, -1.951303, -1.969319, -1.923787, -1.876675, -1.841743, -1.789465, -1.681454, -1.518213, -1.471128, -1.428899, -1.435269, -1.390943, -1.441094, -1.441094, -1.480136, -1.471128, -1.460139, -1.438245, -1.325818, -0.982794, -0.661043, -0.463648, -0.358771, -0.35299, -0.348771, -0.410127, -0.463648, -0.546789, -0.651077, -0.7299, -0.785398, -0.88848]"
