rssi,amplitude,phase
-56,"[10.440307, 10.440307, 9.848858, 9.433981, 8.602325, 7.071068, 5.830952, 4.0, 4.472136, 6.403124, 8.944272, 11.7047, 13.601471, 14.866069, 16.155494, 16.552945, 15.652476, 14.764823, 12.206556, 10.630146, 7.81025, 5.09902, 5.0, 6.708204, 10.049876, 12.0, 8.062258, 17.464249, 17.720045, 18.027756, 17.464249, 15.652476, 13.892444, 10.816654, 7.071068, 3.605551, 2.236068, 6.0, 10.198039, 14.56022, 17.720045, 20.880613, 23.086793, 25.298221, 25.0, 24.041631, 22.803509, 21.377558, 19.104973, 16.0, 13.152946, 10.29563]","[-2.850136, -2.850136, -2.723368, -2.582993, -2.521343, -2.356194, -2.111216, -1.570796, -1.107149, -0.674741, -0.463648, -0.348771, -0.298499, -0.343024, -0.380506, -0.436627, -0.463648, -0.493941, -0.610726, -0.71883, -0.876058, -1.373401, -2.214297, -2.677945, -3.041924, 3.141593, 3.017238, 2.910502, 2.855541, 2.8023, 2.729182, 2.677945, 2.613518, 2.55359, 2.356194, 2.158799, 0.463648, 0.0, -0.197396, -0.2783, -0.286051, -0.291457, -0.308053, -0.321751, -0.283794, -0.295441, -0.266252, -0.188222, -0.104877, 0.0, 0.152649, 0.507099]"
-56,"[9.219544, 10.198039, 10.198039, 10.049876, 9.055385, 8.0, 6.082763, 4.472136, 3.605551, 5.0, 6.082763, 9.486833, 11.401754, 12.649111, 14.317821, 15.297059, 14.142136, 13.038405, 12.0, 10.198039, 8.246211, 5.0, 3.162278, 2.828427, 5.09902, 8.0, 5.0, 13.341664, 14.866069, 15.231546, 14.764823, 13.892444, 12.206556, 10.0, 7.211103, 3.605551, 1.0, 3.605551, 7.81025, 10.630146, 13.601471, 17.204651, 19.416488, 21.633308, 23.021729, 23.021729, 22.203603, 21.400935, 20.615528, 19.104973, 17.029386, 14.422205]","[2.922924, 2.944197, 2.944197, 3.041924, 3.030935, 3.141593, -2.976444, -2.677945, -2.158799, -1.570796, -1.405648, -1.249046, -1.304544, -1.249046, -1.359703, -1.373401, -1.428899, -1.494024, -1.570796, -1.768192, -1.815775, -2.214297, -2.819842, 2.356194, 1.768192, 1.570796, 1.570796, 1.343997, 1.227772, 1.165905, 1.076855, 1.042722, 0.96007, 0.927295, 0.982794, 0.982794, 1.570796, -2.55359, -2.446854, -2.422763, -2.512796, -2.521343, -2.539305, -2.55359, -2.541542, -2.541542, -2.516108, -2.488746, -2.459276, -2.393215, -2.273053, -2.158799]"
-55,"[10.049876, 10.049876, 10.198039, 10.440307, 8.944272, 8.602325, 7.81025, 6.708204, 7.071068, 9.219544, 10.77033, 13.416408, 15.264338, 16.643317, 17.492856, 18.35756, 17.888544, 16.552945, 14.317821, 11.7047, 8.246211, 5.0, 1.414214, 3.605551, 7.615773, 10.440307, 7.071068, 17.117243, 18.027756, 19.0, 18.11077, 17.262677, 14.56022, 11.7047, 8.062258, 4.242641, 2.236068, 6.082763, 10.049876, 14.142136, 18.439089, 21.84033, 24.041631, 25.298221, 25.298221, 25.298221, 24.351591, 21.84033, 19.646883, 16.124515, 14.0, 11.7047]","[1.670465, 1.670465, 1.768192, 1.862253, 2.034444, 2.191046, 2.446854, 2.677945, 2.999696, -2.922924, -2.761086, -2.677945, -2.589938, -2.570255, -2.601173, -2.629203, -2.677945, -2.704965, -2.709185, -2.792822, -2.896614, 3.141593, 2.356194, 0.588003, 0.404892, 0.291457, 0.141897, 0.117109, 0.055499, 0.0, -0.110657, -0.174672, -0.2783, -0.348771, -0.519146, -0.785398, -2.034444, -2.976444, 3.041924, 2.999696, 2.922924, 2.863293, 2.846152, 2.819842, 2.819842, 2.819842, 2.806856, 2.863293, 2.884269, 3.017238, 3.141593, -2.792822]"
-56,"[8.246211, 7.071068, 5.09902, 3.605551, 3.0, 4.472136, 6.403124, 9.433981, 11.18034, 13.928388, 16.763055, 18.681542, 19.646883, 19.924859, 18.973666, 18.681542, 16.763055, 13.928388, 11.18034, 7.81025, 5.385165, 5.385165, 7.211103, 10.77033, 14.56022, 17.464249, 10.198039, 22.203603, 22.090722, 21.095023, 19.026298, 16.0, 13.038405, 9.219544, 5.830952, 4.0, 7.211103, 10.630146, 14.422205, 18.867962, 22.472205, 24.698178, 26.07681, 26.627054, 25.806976, 24.207437, 22.022716, 19.104973, 16.278821, 12.206556, 7.615773, 4.123106]","[1.325818, 1.428899, 1.768192, 2.158799, 3.141593, -2.677945, -2.245537, -2.129396, -2.034444, -1.93797, -1.873681, -1.841743, -1.82812, -1.876675, -1.892547, -1.841743, -1.873681, -1.93797, -2.034444, -2.265535, -2.761086, 2.761086, 2.158799, 1.951303, 1.849096, 1.801887, 1.768192, 1.706324, 1.661456, 1.665748, 1.623379, 1.570796, 1.494024, 1.352127, 1.030377, 0.0, -0.588003, -0.851966, -0.982794, -1.012197, -1.00748, -1.016489, -1.004067, -0.972377, -0.950547, -0.902507, -0.881872, -0.822418, -0.741947, -0.610726, -0.404892, 0.244979]"
-55,"[10.29563, 9.848858, 9.486833, 9.486833, 7.071068, 5.0, 3.162278, 2.0, 3.605551, 7.071068, 10.630146, 12.806248, 15.0, 16.401219, 17.804494, 18.439089, 18.439089, 16.278821, 14.21267, 12.206556, 9.848858, 7.0, 6.403124, 7.615773, 10.049876, 12.041595, 7.071068, 17.720045, 18.027756, 18.384776, 17.888544, 16.124515, 13.038405, 10.0, 7.071068, 4.123106, 4.242641, 8.062258, 12.0, 16.0, 20.024984, 23.021729, 25.079872, 27.073973, 27.018512, 26.0, 24.083189, 22.203603, 20.396078, 16.763055, 13.416408, 10.630146]","[1.063698, 1.152572, 1.249046, 1.249046, 1.428899, 1.570796, 1.892547, 3.141593, -2.55359, -2.356194, -2.289626, -2.245537, -2.214297, -2.226492, -2.236766, -2.279423, -2.279423, -2.312744, -2.455863, -2.530867, -2.723368, 3.141593, 2.466852, 1.975688, 1.670465, 1.487655, 1.428899, 1.284745, 1.231504, 1.180189, 1.107149, 1.05165, 1.004067, 0.927295, 0.785398, 0.244979, -0.785398, -1.446441, -1.570796, -1.570796, -1.620755, -1.614247, -1.650626, -1.644735, -1.607816, -1.570796, -1.487655, -1.435269, -1.373401, -1.267911, -1.107149, -0.851966]"
-56,"[8.602325, 8.062258, 8.544004, 7.28011, 7.0, 6.082763, 5.830952, 5.656854, 7.615773, 9.219544, 11.045361, 13.0, 15.033296, 16.0, 16.0, 17.029386, 16.03122, 14.142136, 11.401754, 8.944272, 6.403124, 4.123106, 4.472136, 6.708204, 10.198039, 12.041595, 7.0, 17.262677, 17.464249, 17.720045, 16.155494, 14.317821, 11.661904, 7.81025, 3.605551, 2.828427, 6.0, 10.198039, 13.601471, 18.384776, 21.931712, 24.596748, 25.942244, 27.294688, 27.294688, 25.942244, 24.166092, 21.540659, 18.973666, 16.278821, 13.0, 11.7047]","[2.521343, 2.622447, 2.782822, 2.863293, 3.141593, -2.976444, -2.601173, -2.356194, -1.975688, -1.789465, -1.661456, -1.570796, -1.504228, -1.570796, -1.570796, -1.629552, -1.633215, -1.712693, -1.837048, -2.034444, -2.245537, -2.896614, 2.677945, 2.034444, 1.768192, 1.653938, 1.570796, 1.396124, 1.339706, 1.284745, 1.19029, 1.138389, 1.030377, 0.876058, 0.588003, -0.785398, -1.570796, -1.768192, -1.869295, -1.961403, -1.99365, -2.034444, -2.051684, -2.067219, -2.067219, -2.051684, -1.997424, -1.951303, -1.892547, -1.756144, -1.570796, -1.222025]"
-56,"[7.211103, 6.708204, 4.123106, 3.162278, 3.162278, 4.472136, 7.211103, 9.899495, 12.806248, 15.264338, 17.492856, 19.235384, 21.023796, 21.023796, 21.023796, 19.697716, 17.888544, 13.892444, 11.401754, 8.602325, 6.082763, 7.211103, 10.0, 13.416408, 17.088007, 19.924859, 10.440307, 23.537205, 23.345235, 23.345235, 20.099751, 17.029386, 14.035669, 9.219544, 6.403124, 6.082763, 8.544004, 13.038405, 17.204651, 20.615528, 24.207437, 26.248809, 27.802878, 28.600699, 27.45906, 25.553865, 22.36068, 19.313208, 15.811388, 11.18034, 6.082763, 3.605551]","[0.982794, 1.107149, 1.325818, 1.892547, 2.819842, -2.677945, -2.55359, -2.356194, -2.245537, -2.122451, -2.111216, -2.057696, -2.013171, -2.013171, -2.013171, -1.989021, -2.034444, -2.098871, -2.231839, -2.521343, -2.976444, 2.55359, 2.214297, 2.034444, 1.929567, 1.876675, 1.862253, 1.784857, 1.742987, 1.742987, 1.670465, 1.629552, 1.499489, 1.352127, 0.896055, 0.165149, -0.358771, -0.566729, -0.620249, -0.682317, -0.668289, -0.704494, -0.657889, -0.636508, -0.577902, -0.533708, -0.463648, -0.370891, -0.321751, -0.179853, 0.165149, 0.982794]"
-55,"[9.0, 9.055385, 9.219544, 9.486833, 8.944272, 7.81025, 7.211103, 7.28011, 8.0, 9.219544, 11.18034, 13.892444, 15.264338, 16.643317, 17.492856, 18.35756, 17.0, 15.652476, 13.928388, 10.440307, 8.062258, 4.0, 2.0, 5.0, 8.944272, 11.7047, 7.071068, 18.11077, 19.026298, 19.0, 18.027756, 16.278821, 13.601471, 10.77033, 6.708204, 3.162278, 3.605551, 8.062258, 12.041595, 16.124515, 20.396078, 22.561028, 25.96151, 27.202941, 27.202941, 26.248809, 25.0, 21.84033, 19.416488, 16.03122, 13.152946, 11.18034]","[1.570796, 1.681454, 1.789465, 1.892547, 2.034444, 2.265535, 2.55359, 2.863293, 3.141593, -2.922924, -2.677945, -2.613518, -2.589938, -2.570255, -2.601173, -2.629203, -2.651635, -2.677945, -2.774419, -2.850136, -3.017238, 3.141593, 1.570796, 0.643501, 0.463648, 0.348771, 0.141897, 0.110657, 0.052583, 0.0, -0.055499, -0.185348, -0.298499, -0.380506, -0.463648, -1.249046, -2.55359, -3.017238, 3.058451, 3.017238, 2.944197, 2.918116, 2.868584, 2.843094, 2.843094, 2.83189, 2.857799, 2.863293, 2.934096, 3.079174, -2.988943, -2.677945]"
-58,"[6.403124, 5.830952, 5.385165, 5.0, 4.472136, 5.0, 5.09902, 7.071068, 9.486833, 12.083046, 14.317821, 17.0, 18.35756, 18.35756, 18.35756, 17.888544, 16.552945, 13.928388, 10.440307, 8.0, 5.830952, 5.385165, 8.246211, 11.18034, 15.264338, 17.204651, 9.219544, 21.260292, 21.213203, 20.518285, 18.601075, 15.264338, 12.083046, 8.246211, 5.385165, 6.324555, 10.049876, 14.317821, 18.027756, 22.472205, 26.0, 28.231188, 29.154759, 30.083218, 28.460499, 25.96151, 23.537205, 19.235384, 16.0, 12.165525, 8.062258, 6.708204]","[0.896055, 1.030377, 1.19029, 1.570796, 2.034444, 2.498092, 2.944197, -2.999696, -2.819842, -2.714965, -2.709185, -2.651635, -2.629203, -2.629203, -2.629203, -2.677945, -2.704965, -2.774419, -2.850136, 3.141593, 2.601173, 1.951303, 1.325818, 1.107149, 1.019141, 0.950547, 0.86217, 0.851966, 0.785398, 0.750929, 0.632749, 0.551655, 0.426627, 0.244979, -0.380506, -1.249046, -1.670465, -1.78189, -1.910089, -1.934775, -1.965587, -1.971037, -1.957672, -1.94513, -1.892547, -1.843805, -1.784857, -1.727398, -1.570796, -1.405648, -1.05165, -0.463648]"
-55,"[8.602325, 8.944272, 8.544004, 8.062258, 7.0, 6.324555, 5.656854, 5.385165, 7.071068, 8.544004, 11.661904, 13.601471, 16.401219, 17.029386, 18.439089, 19.104973, 18.384776, 17.029386, 15.620499, 12.206556, 9.848858, 6.082763, 4.472136, 5.385165, 8.062258, 10.440307, 6.708204, 17.888544, 18.35756, 18.867962, 18.601075, 17.029386, 14.866069, 12.041595, 8.602325, 6.082763, 5.0, 7.28011, 11.0, 15.033296, 19.235384, 22.36068, 25.495098, 27.45906, 27.45906, 27.294688, 25.179357, 23.086793, 20.024984, 17.029386, 13.152946, 8.544004]","[0.950547, 1.107149, 1.212026, 1.446441, 1.570796, 1.892547, 2.356194, 2.761086, -2.999696, -2.782822, -2.601173, -2.512796, -2.485897, -2.439336, -2.432966, -2.393215, -2.356194, -2.439336, -2.446854, -2.530867, -2.723368, -2.976444, 2.677945, 1.951303, 1.446441, 1.27934, 1.107149, 1.107149, 1.058407, 1.012197, 0.938047, 0.868539, 0.832981, 0.726642, 0.620249, 0.165149, -0.643501, -1.292497, -1.570796, -1.637364, -1.727398, -1.75065, -1.768192, -1.753907, -1.753907, -1.717875, -1.690225, -1.657535, -1.620755, -1.512041, -1.418147, -1.212026]"
