x,y,point_type,n_samples,tau_rms_mean_ns,tau_rms_std_ns,Bc_mean_MHz,Bc_std_MHz,K_pdp_mean_dB,K_pdp_std_dB,rssi_mean_dBm,rssi_std_dBm
0.0,0.0,training,50,1357.5217525094004,34.7489883402056,6.098505502751377,1.062989150938345,-14.137520027605051,0.3417983737734952,-53.12,0.38544964466377263
0.0,1.0,training,50,1467.250540929363,10.636935782343777,1.858125937968985,0.03178541685690346,-15.076536354261416,0.15230820992532831,-53.92,0.27404751561786966
0.0,2.0,training,50,1451.2835078089338,20.41609454047396,1.59072036018009,0.032664200800761545,-15.099573826057936,0.31133327978143316,-54.44,0.7045044574821687
0.0,4.0,training,50,1482.987791112105,11.387699273812098,1.765163831915958,0.02617136201792321,-15.623904922380104,0.13944053916453691,-58.92,0.565685424949238
0.0,5.0,training,50,1446.2611640423384,13.564083227931658,2.0676494497248625,0.037381916896570756,-14.474276217034264,0.09801083980491665,-59.0,0.0
1.0,0.0,training,50,1489.082798067932,1.6473437566480336,1.5945472736368187,0.011389623383120148,-15.709918156740205,0.1192705145358212,-48.32,0.47121207149916117
1.0,1.0,training,50,1328.3878839756358,23.565198287666682,6.628533016508255,0.10160412287897296,-13.150319329674598,0.05026415913656949,-50.96,0.44994330708638913
1.0,4.0,training,50,1430.0215665346457,11.304976868831089,1.2866401950975488,0.02130133636856686,-16.042341203926465,0.16820229379431112,-59.92,0.27404751561786966
1.0,5.0,training,50,1390.8609589754128,13.202375038828675,6.237231115557779,0.09654262945416628,-13.962840555626679,0.08583337931540698,-57.0,0.0
2.0,0.0,training,50,1418.0889952025434,11.753412940533055,1.7135005002501256,0.03640548402925895,-14.881987189493188,0.08772100861578558,-48.5,0.8630747123996123
2.0,2.0,training,50,1436.058647547399,14.127470333727283,7.45849487243622,0.07649300233422822,-13.167467439711775,0.05181545211967457,-50.94,0.4242640687119285
2.0,3.0,training,50,1455.9824879684347,3.8770547474685477,1.302904577288644,0.021006986292401265,-17.015046128185254,0.1613656666373262,-57.04,0.44994330708638913
2.0,4.0,training,50,1477.9956743623918,3.920678818483608,1.528214107053527,0.021028588581614254,-15.89011478920991,0.2409362981911319,-61.28,0.4535573676110727
2.0,5.0,training,50,1405.261868563049,16.07933902675963,6.905984242121058,0.09668441916627198,-13.202509310151124,0.03842656992294927,-60.36,0.6928203230275509
3.0,0.0,training,50,1489.1350009666498,17.79368129833725,1.6792177338669332,0.1596489648474703,-15.839769867934285,0.5117259372895326,-55.78,1.1301074538037776
3.0,1.0,training,50,1280.4841389237924,13.781173264271347,5.56337543771886,0.7159716927575396,-13.877236504442976,0.12390494928743352,-49.86,0.35050983275386566
