Model,Dataset_Size,Mean_Error_m,Median_Error_m,Std_Error_m,Min_Error_m,Max_Error_m,Accuracy_25cm,Accuracy_50cm,Accuracy_1m,Accuracy_2m,Accuracy_3m,Test_Samples
UltimateHybrid,750,1.6140058199706082,1.4691890765619793,0.9112194312519263,0.03841349130015189,4.106893348769615,2.0607375271149677,8.053145336225596,36.361171366594355,62.635574837310195,90.59110629067246,3688
UltimateHybrid,500,1.699037975911435,1.6143696967155914,1.051365209429266,0.19261718621178933,4.6231070792703495,0.05422993492407809,9.300433839479393,36.659436008676785,64.15401301518439,81.29067245119306,3688
UltimateHybrid,250,1.8755347831615234,2.022726725371431,1.244200589027347,0.025786653223180366,5.343503094936576,2.8199566160520604,7.917570498915401,39.26247288503254,48.77982646420824,76.78958785249458,3688
