model_name,mean_error_m,median_error_m,std_error_m,max_error_m,min_error_m,accuracy_50cm_pct,accuracy_1m_pct,accuracy_2m_pct,predictions,targets,errors,training_time_s,sample_size
Advanced Multi-Scale Attention CNN,1.7291567,1.5112791,1.1708452,3.6609337,0.017767018,10.873101952277658,45.58026030368764,55.09761388286334,"[[ 1.0878202e+00  1.1661932e-02]
 [ 1.0575216e+00  1.5361652e-02]
 [ 1.0595930e+00  1.9019991e-03]
 ...
 [ 4.7296562e+00 -4.0461823e-02]
 [ 4.7681665e+00 -3.8013652e-02]
 [ 4.8377395e+00 -4.6015382e-03]]","[[0.5 0.5]
 [0.5 0.5]
 [0.5 0.5]
 ...
 [5.5 3.5]
 [5.5 3.5]
 [5.5 3.5]]",[0.76420325 0.7387182  0.7491635  ... 3.6232994  3.6129105  3.5666258 ],1289.0620312690735,750
Complex Phase CNN,2.0140948,1.9547254,0.9063392,3.5379558,0.20177667,0.7321041214750542,11.95770065075922,51.22017353579176,"[[1.4219282  0.09884697]
 [1.5434318  0.08331496]
 [1.5372372  0.05247778]
 ...
 [4.171115   0.28720945]
 [4.0978594  0.30422467]
 [3.996123   0.3224452 ]]","[[0.5 0.5]
 [0.5 0.5]
 [0.5 0.5]
 ...
 [5.5 3.5]
 [5.5 3.5]
 [5.5 3.5]]",[1.005423  1.1235552 1.1296624 ... 3.4767742 3.4898393 3.515466 ],2417.1766154766083,750
