rssi,amplitude,phase
-55,"[13.453624, 12.806248, 11.401754, 10.0, 7.211103, 5.385165, 3.162278, 0.0, 2.236068, 5.830952, 8.944272, 12.083046, 13.928388, 16.155494, 18.027756, 18.973666, 19.924859, 19.646883, 18.681542, 16.763055, 14.56022, 12.369317, 9.486833, 5.385165, 1.414214, 1.414214, 3.0, 11.045361, 14.035669, 17.029386, 19.026298, 20.024984, 22.022716, 22.022716, 21.023796, 20.0, 19.0, 16.0, 12.041595, 8.246211, 4.472136, 3.0, 6.403124, 10.0, 13.892444, 17.492856, 20.59126, 23.706539, 24.596748, 25.942244, 25.942244, 24.596748]","[-0.732815, -0.674741, -0.661043, -0.643501, -0.588003, -0.380506, -0.321751, 0.0, 2.677945, 2.601173, 2.677945, 2.714965, 2.774419, 2.761086, 2.8023, 2.819842, 2.835714, 2.884269, 2.870646, 2.838708, 2.863293, 2.896614, 2.819842, 2.761086, 2.356194, 0.785398, 0.0, -0.09066, -0.071307, -0.058756, -0.052583, -0.049958, -0.045423, -0.045423, -0.047583, 0.0, 0.0, 0.0, -0.083141, -0.244979, -0.463648, -1.570796, -2.245537, -2.498092, -2.613518, -2.601173, -2.634494, -2.659079, -2.677945, -2.660705, -2.660705, -2.677945]"
-55,"[12.369317, 12.369317, 10.198039, 9.219544, 7.071068, 5.0, 2.236068, 1.0, 3.162278, 6.082763, 8.0, 11.0, 14.035669, 16.124515, 18.11077, 19.235384, 19.416488, 19.416488, 18.439089, 16.278821, 14.317821, 12.165525, 9.055385, 6.0, 3.605551, 3.0, 3.605551, 11.401754, 13.453624, 17.029386, 19.849433, 20.615528, 22.022716, 22.671568, 21.931712, 20.518285, 18.384776, 15.556349, 12.041595, 8.602325, 5.385165, 3.162278, 5.0, 9.219544, 13.341664, 16.492423, 19.646883, 21.84033, 24.041631, 24.041631, 24.738634, 23.769729]","[1.325818, 1.325818, 1.373401, 1.352127, 1.428899, 1.570796, 2.034444, 3.141593, -1.892547, -1.735945, -1.570796, -1.570796, -1.499489, -1.446441, -1.460139, -1.414194, -1.3633, -1.3633, -1.352127, -1.385448, -1.359703, -1.405648, -1.460139, -1.570796, -2.158799, 3.141593, 2.55359, 2.231839, 2.303611, 2.273053, 2.284887, 2.253113, 2.259721, 2.293776, 2.323948, 2.321725, 2.356194, 2.356194, 2.297439, 2.191046, 1.951303, 1.249046, 0.0, -0.218669, -0.226799, -0.244979, -0.257324, -0.2783, -0.295441, -0.295441, -0.244979, -0.255182]"
-55,"[13.601471, 12.806248, 12.806248, 10.630146, 8.485281, 6.403124, 3.605551, 1.0, 1.414214, 4.472136, 7.211103, 10.29563, 12.529964, 14.764823, 16.552945, 17.464249, 17.464249, 17.088007, 17.088007, 16.155494, 13.928388, 10.77033, 7.615773, 4.472136, 2.0, 2.236068, 4.0, 12.0, 14.0, 17.0, 20.0, 21.0, 23.0, 23.0, 22.022716, 21.023796, 19.026298, 17.029386, 13.0, 10.049876, 6.324555, 4.472136, 5.385165, 10.0, 13.453624, 16.278821, 19.849433, 22.022716, 23.430749, 24.839485, 24.839485, 23.430749]","[-2.512796, -2.466852, -2.466852, -2.422763, -2.356194, -2.245537, -2.158799, -1.570796, 0.785398, 1.107149, 0.982794, 1.063698, 1.07145, 1.076855, 1.134169, 1.158386, 1.158386, 1.212026, 1.212026, 1.19029, 1.203622, 1.19029, 1.165905, 1.107149, 0.0, -1.107149, -1.570796, -1.570796, -1.570796, -1.570796, -1.570796, -1.570796, -1.570796, -1.570796, -1.525373, -1.523213, -1.518213, -1.512041, -1.570796, -1.670465, -1.892547, -2.677945, 2.761086, 2.498092, 2.408778, 2.312744, 2.284887, 2.259721, 2.265535, 2.270689, 2.270689, 2.265535]"
-54,"[15.231546, 14.317821, 14.317821, 12.083046, 10.29563, 8.062258, 5.385165, 4.0, 2.828427, 4.123106, 7.071068, 10.198039, 13.341664, 15.524175, 17.720045, 19.646883, 19.646883, 19.416488, 19.416488, 18.248288, 16.278821, 14.317821, 11.401754, 7.28011, 5.0, 3.162278, 2.828427, 10.29563, 12.529964, 16.124515, 18.35756, 20.59126, 21.954498, 21.954498, 22.472205, 20.808652, 20.0, 17.204651, 13.601471, 10.816654, 6.708204, 4.123106, 4.472136, 8.0, 12.041595, 15.033296, 19.104973, 21.095023, 24.083189, 25.079872, 25.019992, 24.020824]","[-1.165905, -1.138389, -1.138389, -1.144169, -1.063698, -1.05165, -1.19029, -1.570796, -2.356194, -2.896614, 2.999696, 2.944197, 2.914794, 2.88099, 2.855541, 2.884269, 2.884269, 2.934096, 2.934096, 2.976444, 2.956245, 2.930499, 2.875341, 2.863293, 2.498092, 1.892547, 0.785398, 0.507099, 0.499347, 0.519146, 0.512389, 0.507099, 0.524796, 0.524796, 0.563316, 0.614663, 0.643501, 0.620249, 0.628796, 0.588003, 0.463648, -0.244979, -1.107149, -1.570796, -1.653938, -1.637364, -1.675673, -1.665748, -1.653938, -1.650626, -1.610775, -1.612439]"
-54,"[12.727922, 12.041595, 12.041595, 10.816654, 8.602325, 6.403124, 5.0, 2.236068, 1.414214, 4.0, 7.0, 10.0, 13.038405, 15.033296, 18.027756, 19.026298, 20.0, 20.0, 19.0, 18.0, 16.0, 13.0, 10.049876, 7.071068, 3.605551, 3.0, 2.828427, 10.816654, 13.892444, 16.643317, 18.867962, 21.095023, 21.633308, 22.203603, 22.203603, 20.615528, 19.209373, 16.401219, 12.206556, 8.944272, 5.09902, 4.242641, 7.071068, 10.049876, 14.142136, 18.248288, 21.377558, 23.345235, 25.317978, 26.305893, 25.317978, 24.186773]","[-0.785398, -0.726642, -0.726642, -0.588003, -0.620249, -0.674741, -0.643501, -1.107149, -2.356194, 3.141593, 3.141593, 3.141593, 3.064821, 3.075024, 3.086094, 3.08901, 3.141593, 3.141593, 3.141593, 3.141593, 3.141593, 3.141593, 3.041924, 2.999696, 2.55359, 1.570796, 0.785398, 0.588003, 0.528074, 0.571337, 0.558599, 0.548549, 0.588003, 0.625485, 0.625485, 0.682317, 0.674741, 0.655696, 0.610726, 0.463648, 0.197396, -0.785398, -1.428899, -1.670465, -1.712693, -1.735945, -1.759018, -1.742987, -1.729452, -1.723446, -1.729452, -1.695151]"
-55,"[14.142136, 13.152946, 12.165525, 10.198039, 8.544004, 6.708204, 3.605551, 2.236068, 2.236068, 5.0, 8.062258, 10.440307, 13.601471, 15.811388, 17.088007, 18.027756, 18.384776, 18.384776, 17.464249, 16.155494, 13.928388, 10.77033, 8.544004, 5.09902, 1.414214, 2.236068, 4.242641, 12.806248, 15.0, 17.804494, 20.615528, 22.022716, 22.803509, 23.430749, 23.430749, 22.022716, 20.518285, 17.029386, 12.806248, 9.433981, 5.385165, 3.162278, 5.0, 9.486833, 13.0, 16.552945, 19.697716, 22.36068, 23.706539, 24.596748, 24.596748, 23.706539]","[-2.999696, -2.988943, -2.976444, -2.944197, -2.782822, -2.677945, -2.55359, -2.034444, -0.463648, 0.0, 0.124355, 0.291457, 0.298499, 0.321751, 0.358771, 0.339293, 0.390607, 0.390607, 0.41241, 0.380506, 0.367174, 0.380506, 0.358771, 0.197396, -0.785398, -2.034444, -2.356194, -2.466852, -2.498092, -2.475623, -2.459276, -2.452668, -2.480549, -2.446854, -2.446854, -2.452668, -2.390664, -2.439336, -2.466852, -2.582993, -2.761086, 2.819842, 1.570796, 1.249046, 1.176005, 1.134169, 1.152572, 1.107149, 1.088283, 1.107149, 1.107149, 1.088283]"
-55,"[13.453624, 12.806248, 12.041595, 9.899495, 7.071068, 5.656854, 2.828427, 1.0, 3.0, 5.09902, 8.246211, 11.18034, 13.341664, 15.297059, 17.262677, 19.235384, 19.104973, 19.026298, 18.027756, 17.029386, 15.033296, 12.041595, 9.055385, 6.082763, 2.828427, 2.0, 2.236068, 11.18034, 13.416408, 15.652476, 17.888544, 20.124612, 21.470911, 21.470911, 20.59126, 19.723083, 18.027756, 16.124515, 12.529964, 8.944272, 6.082763, 3.605551, 6.082763, 9.219544, 13.341664, 16.763055, 18.973666, 22.135944, 23.086793, 24.041631, 24.041631, 23.086793]","[-0.837981, -0.896055, -0.844154, -0.785398, -0.785398, -0.785398, -0.785398, -1.570796, 3.141593, 2.944197, 2.896614, 2.961739, 2.914794, 2.944197, 2.96692, 2.984991, 3.036716, 3.08901, 3.086094, 3.082837, 3.075024, 3.058451, 3.030935, 2.976444, 2.356194, 1.570796, 0.463648, 0.463648, 0.463648, 0.463648, 0.463648, 0.463648, 0.484478, 0.484478, 0.507099, 0.531724, 0.588003, 0.519146, 0.499347, 0.463648, 0.165149, -0.588003, -1.405648, -1.789465, -1.797595, -1.873681, -1.892547, -1.892547, -1.878849, -1.866237, -1.866237, -1.878849]"
-55,"[10.77033, 10.77033, 9.486833, 8.246211, 7.071068, 5.09902, 4.0, 2.0, 1.0, 3.162278, 5.0, 7.0, 9.0, 11.0, 13.038405, 14.035669, 15.132746, 14.142136, 14.142136, 13.152946, 11.18034, 9.219544, 7.071068, 5.0, 2.828427, 3.0, 3.605551, 9.899495, 12.041595, 14.866069, 16.278821, 17.691806, 19.104973, 19.79899, 19.104973, 17.691806, 16.278821, 14.866069, 11.313708, 9.219544, 5.830952, 4.0, 5.0, 7.28011, 10.049876, 13.038405, 16.0, 18.0, 19.0, 20.0, 20.024984, 19.0]","[2.761086, 2.761086, 2.819842, 2.896614, 2.999696, 2.944197, 3.141593, 3.141593, -1.570796, -0.321751, 0.0, 0.0, 0.0, 0.0, 0.076772, 0.071307, 0.132552, 0.141897, 0.141897, 0.152649, 0.179853, 0.218669, 0.141897, 0.0, -0.785398, -1.570796, -2.158799, -2.356194, -2.41495, -2.403778, -2.399645, -2.396173, -2.393215, -2.356194, -2.319174, -2.316216, -2.312744, -2.308611, -2.356194, -2.432966, -2.601173, 3.141593, 2.214297, 1.849096, 1.670465, 1.647568, 1.570796, 1.570796, 1.570796, 1.570796, 1.620755, 1.570796]"
-54,"[13.0, 13.0, 12.083046, 10.77033, 9.486833, 7.28011, 4.123106, 2.236068, 1.414214, 3.162278, 6.324555, 9.486833, 12.649111, 14.866069, 17.088007, 19.313208, 19.697716, 19.697716, 18.788294, 17.464249, 15.231546, 13.0, 10.77033, 7.071068, 5.09902, 4.242641, 4.0, 11.401754, 14.56022, 17.720045, 19.646883, 20.880613, 22.803509, 23.769729, 22.561028, 22.36068, 20.223748, 18.11077, 15.132746, 11.18034, 7.28011, 5.0, 5.09902, 7.211103, 11.313708, 14.866069, 18.439089, 20.615528, 22.022716, 23.430749, 23.345235, 23.345235]","[1.176005, 1.176005, 1.144169, 1.19029, 1.249046, 1.292497, 1.325818, 1.107149, -0.785398, -1.249046, -1.249046, -1.249046, -1.249046, -1.227772, -1.212026, -1.199905, -1.152572, -1.152572, -1.130954, -1.158386, -1.165905, -1.176005, -1.19029, -1.428899, -1.768192, -2.356194, 3.141593, 2.875341, 2.863293, 2.855541, 2.884269, 2.850136, 2.875341, 2.88641, 2.918116, 2.961739, 2.992703, 3.030935, 3.009041, 2.961739, 2.863293, 2.498092, 1.373401, 0.982794, 0.785398, 0.737815, 0.708626, 0.682317, 0.688924, 0.694738, 0.755104, 0.755104]"
-55,"[14.422205, 13.038405, 11.661904, 10.29563, 7.615773, 5.385165, 3.162278, 1.0, 2.236068, 4.123106, 7.28011, 10.198039, 13.152946, 15.132746, 17.029386, 18.027756, 19.0, 18.0, 17.029386, 16.03122, 14.0, 11.0, 8.0, 5.09902, 2.828427, 3.162278, 4.242641, 12.206556, 14.422205, 18.027756, 19.416488, 20.808652, 22.203603, 23.600847, 22.803509, 22.022716, 19.849433, 17.029386, 14.21267, 10.816654, 7.615773, 4.123106, 4.472136, 8.062258, 12.041595, 15.132746, 18.11077, 20.223748, 22.203603, 23.194827, 23.086793, 22.203603]","[2.55359, 2.574863, 2.601173, 2.634494, 2.736701, 2.761086, 2.819842, 3.141593, -0.463648, -0.244979, -0.2783, -0.197396, -0.152649, -0.132552, -0.058756, -0.055499, 0.0, 0.0, 0.058756, 0.062419, 0.0, 0.0, 0.0, -0.197396, -0.785398, -1.892547, -2.356194, -2.530867, -2.55359, -2.55359, -2.539305, -2.52693, -2.516108, -2.506566, -2.480549, -2.452668, -2.427502, -2.439336, -2.455863, -2.55359, -2.736701, 2.896614, 2.034444, 1.695151, 1.487655, 1.438245, 1.460139, 1.421906, 1.435269, 1.441094, 1.484058, 1.435269]"
