rssi,amplitude,phase
-58,"[19.697716, 21.84033, 25.317978, 27.018512, 27.018512, 25.179357, 23.345235, 20.615528, 16.763055, 13.0, 8.062258, 2.236068, 2.236068, 8.062258, 13.038405, 17.204651, 21.400935, 24.207437, 25.612497, 26.248809, 26.248809, 25.495098, 23.430749, 21.400935, 18.601075, 15.264338, 5.385165, 7.0, 5.830952, 7.28011, 10.0, 13.341664, 16.155494, 19.697716, 21.954498, 23.853721, 24.413111, 25.0, 23.600847, 22.022716, 19.849433, 16.278821, 12.727922, 8.602325, 4.123106, 3.162278, 6.708204, 11.661904, 15.264338, 19.416488, 22.203603, 24.207437]","[1.989021, 1.849096, 1.729452, 1.607816, 1.533776, 1.451367, 1.398606, 1.325818, 1.267911, 1.176005, 1.05165, 1.107149, -2.034444, -2.089942, -2.137526, -2.191046, -2.223643, -2.239086, -2.245537, -2.27529, -2.27529, -2.300696, -2.265535, -2.223643, -2.203545, -2.122451, -1.951303, -1.570796, -1.030377, -0.2783, 0.0, 0.226799, 0.380506, 0.418224, 0.524796, 0.576375, 0.610726, 0.643501, 0.635027, 0.688924, 0.714091, 0.741947, 0.785398, 0.950547, 1.325818, 2.819842, -2.677945, -2.601173, -2.589938, -2.539305, -2.516108, -2.473303]"
-58,"[20.223748, 23.021729, 25.079872, 26.683328, 27.202941, 25.632011, 23.259407, 20.248457, 16.401219, 12.041595, 7.071068, 2.828427, 3.605551, 8.485281, 13.453624, 18.439089, 21.260292, 24.207437, 25.0, 25.806976, 25.806976, 24.413111, 22.803509, 20.615528, 17.691806, 14.866069, 5.830952, 7.0, 6.708204, 7.211103, 10.198039, 13.0, 16.124515, 18.439089, 20.880613, 22.472205, 23.259407, 23.706539, 22.825424, 21.095023, 19.416488, 16.401219, 12.806248, 9.219544, 4.472136, 2.236068, 6.082763, 10.77033, 15.231546, 19.235384, 21.954498, 24.698178]","[1.719686, 1.614247, 1.490966, 1.343997, 1.272297, 1.212026, 1.126377, 0.996491, 0.915101, 0.844154, 0.785398, 0.785398, -2.158799, -2.356194, -2.408778, -2.432966, -2.422763, -2.473303, -2.498092, -2.521343, -2.521343, -2.530867, -2.480549, -2.459276, -2.396173, -2.308611, -2.111216, -1.570796, -1.107149, -0.588003, -0.197396, 0.0, 0.124355, 0.218669, 0.291457, 0.363979, 0.444419, 0.482513, 0.502843, 0.548549, 0.602287, 0.655696, 0.674741, 0.86217, 1.107149, 2.677945, -2.976444, -2.761086, -2.736701, -2.654693, -2.616797, -2.587285]"
-58,"[18.439089, 21.633308, 24.596748, 25.632011, 25.96151, 25.495098, 23.194827, 21.023796, 18.0, 14.035669, 9.055385, 4.0, 1.414214, 5.830952, 10.77033, 15.231546, 18.788294, 21.023796, 22.36068, 23.706539, 23.706539, 22.825424, 21.470911, 19.235384, 16.552945, 13.928388, 5.09902, 6.324555, 5.656854, 6.082763, 9.219544, 12.529964, 15.0, 18.439089, 20.518285, 22.627417, 24.083189, 24.083189, 23.430749, 22.022716, 20.0, 16.401219, 13.038405, 8.944272, 5.09902, 2.828427, 6.324555, 10.29563, 14.422205, 17.804494, 20.615528, 22.671568]","[-2.432966, -2.55359, -2.677945, -2.782822, -2.868584, -2.944197, -3.01189, -3.09401, 3.141593, 3.070285, 3.030935, 3.141593, -0.785398, -0.54042, -0.380506, -0.404892, -0.439843, -0.442374, -0.463648, -0.482513, -0.482513, -0.502843, -0.484478, -0.486899, -0.436627, -0.367174, -0.197396, 0.321751, 0.785398, 1.405648, 1.789465, 2.070143, 2.214297, 2.279423, 2.321725, 2.356194, 2.41495, 2.41495, 2.446854, 2.452668, 2.498092, 2.485897, 2.574863, 2.677945, 2.944197, -2.356194, -1.249046, -1.063698, -0.982794, -0.904827, -0.88848, -0.847817]"
-59,"[20.099751, 23.537205, 26.248809, 27.313001, 27.294688, 26.07681, 23.600847, 21.260292, 17.691806, 14.142136, 9.219544, 5.0, 1.0, 5.656854, 10.630146, 15.620499, 19.209373, 21.400935, 23.600847, 24.413111, 24.413111, 23.600847, 21.400935, 19.209373, 17.029386, 14.142136, 5.0, 5.09902, 4.472136, 5.09902, 8.062258, 11.7047, 14.317821, 17.492856, 20.0, 22.022716, 23.345235, 23.345235, 22.671568, 21.260292, 19.209373, 17.204651, 13.038405, 8.944272, 5.385165, 1.414214, 5.0, 9.899495, 14.21267, 17.804494, 20.808652, 23.853721]","[3.041924, 2.927532, 2.83189, 2.727086, 2.64517, 2.574863, 2.506566, 2.422763, 2.396173, 2.356194, 2.279423, 2.214297, 0.0, -0.785398, -0.851966, -0.876058, -0.896055, -0.91795, -0.93577, -0.96007, -0.96007, -0.93577, -0.91795, -0.896055, -0.868539, -0.785398, -0.643501, -0.197396, 0.463648, 1.373401, 1.695151, 1.919567, 2.003204, 2.111216, 2.214297, 2.259721, 2.325901, 2.386488, 2.418613, 2.422763, 2.466852, 2.521343, 2.574863, 2.677945, 2.761086, -2.356194, -0.927295, -0.785398, -0.68573, -0.665969, -0.614663, -0.576375]"
-58,"[19.209373, 21.633308, 24.596748, 25.632011, 25.0, 24.515301, 22.203603, 19.026298, 16.0, 12.041595, 8.062258, 3.0, 2.236068, 6.324555, 11.7047, 16.155494, 18.384776, 21.023796, 22.36068, 22.36068, 22.36068, 21.470911, 20.124612, 17.464249, 14.866069, 12.369317, 4.0, 5.830952, 5.830952, 7.0, 9.486833, 11.661904, 15.0, 17.691806, 19.104973, 20.615528, 21.400935, 22.203603, 21.633308, 20.248457, 18.35756, 15.652476, 12.083046, 9.486833, 5.0, 3.162278, 5.385165, 10.0, 13.453624, 16.970563, 19.849433, 22.022716]","[-2.466852, -2.55359, -2.677945, -2.782822, -2.857799, -2.936197, -3.006065, -3.08901, 3.141593, 3.058451, 3.017238, 3.141593, -0.463648, -0.321751, -0.348771, -0.380506, -0.390607, -0.442374, -0.463648, -0.463648, -0.463648, -0.484478, -0.463648, -0.41241, -0.343024, -0.244979, 0.0, 0.54042, 1.030377, 1.570796, 1.892547, 2.111216, 2.214297, 2.316216, 2.393215, 2.459276, 2.488746, 2.516108, 2.55359, 2.567288, 2.629203, 2.677945, 2.714965, 2.819842, 3.141593, -1.892547, -1.19029, -0.927295, -0.837981, -0.785398, -0.714091, -0.688924]"
-58,"[17.464249, 19.235384, 22.022716, 24.083189, 24.33105, 23.537205, 21.84033, 19.313208, 16.552945, 12.529964, 8.602325, 5.0, 1.414214, 5.09902, 9.848858, 14.317821, 17.0, 19.723083, 21.095023, 22.472205, 22.472205, 22.472205, 20.248457, 18.35756, 15.652476, 13.928388, 5.09902, 6.324555, 5.656854, 6.082763, 8.246211, 11.18034, 14.422205, 17.029386, 19.104973, 21.260292, 22.803509, 23.600847, 22.203603, 21.633308, 18.867962, 16.124515, 12.529964, 8.944272, 4.472136, 0.0, 5.0, 9.433981, 13.892444, 18.35756, 20.59126, 22.36068]","[0.231091, 0.156602, 0.045423, -0.083141, -0.165149, -0.214061, -0.2783, -0.370891, -0.436627, -0.499347, -0.620249, -0.927295, -2.356194, 2.944197, 2.723368, 2.709185, 2.651635, 2.609869, 2.593043, 2.578276, 2.578276, 2.578276, 2.567288, 2.629203, 2.677945, 2.774419, 2.944197, -2.819842, -2.356194, -1.735945, -1.325818, -1.107149, -0.982794, -0.868539, -0.822418, -0.71883, -0.661043, -0.635027, -0.625485, -0.588003, -0.558599, -0.519146, -0.499347, -0.463648, -0.463648, 0.0, 2.498092, 2.582993, 2.613518, 2.629203, 2.634494, 2.677945]"
-58,"[21.023796, 23.194827, 26.925824, 27.856777, 27.730849, 26.925824, 24.413111, 20.615528, 17.691806, 13.453624, 8.602325, 2.828427, 2.236068, 8.062258, 12.529964, 17.888544, 21.023796, 23.259407, 25.079872, 26.0, 25.632011, 24.698178, 21.931712, 19.697716, 17.0, 13.892444, 5.0, 6.324555, 6.082763, 7.81025, 9.848858, 12.165525, 16.03122, 18.027756, 20.223748, 22.36068, 23.769729, 23.769729, 23.086793, 21.18962, 19.313208, 16.552945, 13.416408, 9.433981, 5.0, 3.605551, 6.082763, 11.0, 15.132746, 19.235384, 22.36068, 24.738634]","[3.09401, 3.01189, 2.878598, 2.774419, 2.694073, 2.594804, 2.530867, 2.459276, 2.396173, 2.303611, 2.191046, 2.356194, -1.107149, -1.05165, -1.07145, -1.107149, -1.128422, -1.126377, -1.160669, -1.176005, -1.212026, -1.197809, -1.147942, -1.152572, -1.080839, -1.042722, -0.927295, -0.321751, 0.165149, 0.876058, 1.152572, 1.405648, 1.508378, 1.626295, 1.719686, 1.75065, 1.825979, 1.825979, 1.878849, 1.907471, 1.941688, 2.007423, 2.034444, 2.129396, 2.498092, -2.55359, -1.735945, -1.570796, -1.438245, -1.414194, -1.390943, -1.325818]"
-58,"[21.023796, 23.4094, 26.683328, 28.160256, 28.017851, 27.073973, 25.179357, 22.561028, 18.681542, 13.928388, 8.944272, 4.242641, 2.0, 7.28011, 12.083046, 17.0, 20.124612, 21.954498, 23.323808, 24.698178, 24.698178, 23.323808, 21.095023, 19.235384, 16.552945, 13.928388, 5.0, 7.211103, 7.211103, 8.0, 10.440307, 14.317821, 17.492856, 20.0, 22.671568, 24.041631, 24.839485, 25.612497, 25.0, 23.021729, 20.248457, 17.492856, 14.764823, 9.848858, 5.09902, 2.828427, 4.472136, 9.899495, 13.453624, 17.804494, 20.808652, 23.021729]","[-1.128422, -1.222025, -1.343997, -1.464061, -1.535097, -1.644735, -1.690225, -1.794273, -1.841743, -1.93797, -2.034444, -2.356194, 1.570796, 1.292497, 1.144169, 1.080839, 1.107149, 1.046001, 1.030377, 1.016489, 1.016489, 1.030377, 1.022247, 1.083897, 1.134169, 1.203622, 1.570796, 2.158799, 2.55359, 3.141593, -2.850136, -2.709185, -2.601173, -2.498092, -2.418613, -2.356194, -2.270689, -2.245537, -2.214297, -2.170847, -2.145101, -2.111216, -2.064738, -1.989021, -1.768192, -0.785398, 0.463648, 0.785398, 0.837981, 0.904827, 0.956133, 0.970746]"
-58,"[18.35756, 20.808652, 24.083189, 25.495098, 25.806976, 24.698178, 22.36068, 19.313208, 16.763055, 12.369317, 8.062258, 4.0, 2.236068, 7.071068, 11.045361, 16.03122, 19.0, 21.0, 22.022716, 23.086793, 23.086793, 22.090722, 20.024984, 17.0, 15.033296, 13.152946, 4.472136, 7.211103, 7.071068, 8.246211, 10.816654, 12.727922, 15.620499, 18.027756, 20.59126, 22.36068, 22.847319, 23.4094, 22.135944, 21.18962, 18.681542, 16.492423, 13.341664, 9.055385, 5.0, 2.236068, 4.242641, 8.602325, 12.529964, 16.552945, 19.697716, 21.540659]","[-0.512389, -0.614663, -0.726642, -0.840897, -0.950547, -1.016489, -1.107149, -1.199905, -1.267911, -1.325818, -1.446441, -1.570796, 2.034444, 1.712693, 1.661456, 1.633215, 1.570796, 1.570796, 1.525373, 1.484058, 1.484058, 1.480136, 1.520838, 1.570796, 1.637364, 1.723446, 2.034444, 2.55359, 2.999696, -2.896614, -2.55359, -2.356194, -2.265535, -2.158799, -2.077895, -2.034444, -1.975688, -1.919567, -1.892547, -1.907471, -1.841743, -1.815775, -1.797595, -1.681454, -1.570796, -0.463648, 0.785398, 0.950547, 1.07145, 1.134169, 1.152572, 1.19029]"
-59,"[20.615528, 22.627417, 25.612497, 27.45906, 27.294688, 26.400758, 24.351591, 21.84033, 18.439089, 14.142136, 10.0, 5.09902, 2.0, 5.830952, 10.440307, 15.524175, 18.439089, 21.377558, 23.194827, 24.186773, 24.083189, 23.194827, 21.213203, 19.416488, 16.492423, 13.601471, 5.0, 5.385165, 5.0, 6.403124, 9.433981, 12.649111, 15.524175, 18.11077, 20.024984, 22.022716, 23.194827, 24.33105, 23.537205, 21.587033, 19.646883, 16.763055, 13.601471, 9.848858, 5.385165, 1.0, 4.123106, 9.486833, 13.928388, 17.464249, 21.023796, 23.259407]","[-0.682317, -0.785398, -0.896055, -0.992894, -1.074374, -1.141034, -1.236059, -1.292497, -1.352127, -1.428899, -1.570796, -1.768192, 3.141593, 2.111216, 1.862253, 1.831399, 1.789465, 1.759018, 1.700499, 1.695151, 1.653938, 1.700499, 1.712693, 1.778293, 1.815775, 1.869295, 2.214297, 2.761086, 3.141593, -2.466852, -2.129396, -1.892547, -1.831399, -1.681454, -1.620755, -1.525373, -1.441094, -1.405648, -1.356736, -1.337053, -1.313473, -1.267911, -1.272297, -1.152572, -1.19029, 0.0, 1.815775, 1.892547, 1.93797, 1.983207, 2.013171, 2.015216]"
