rssi,amplitude,phase
-60,"[13.928388, 11.18034, 7.81025, 5.0, 5.656854, 8.544004, 11.18034, 14.035669, 15.0, 15.0, 15.0, 15.0, 13.038405, 11.045361, 8.246211, 4.472136, 3.0, 5.0, 8.602325, 13.038405, 15.264338, 18.35756, 19.235384, 21.023796, 21.023796, 20.615528, 8.544004, 13.341664, 10.198039, 7.071068, 5.830952, 8.062258, 12.649111, 17.888544, 21.954498, 25.238859, 28.017851, 29.410882, 28.84441, 27.45906, 25.238859, 21.095023, 16.643317, 10.816654, 5.0, 2.236068, 9.219544, 16.492423, 22.561028, 28.635642, 33.54102, 37.336309]","[-0.367174, -0.463648, -0.876058, -1.570796, -2.356194, -2.782822, -2.961739, -3.070285, 3.141593, 3.141593, 3.141593, 3.141593, -3.064821, -3.050933, -2.896614, -2.677945, -1.570796, -0.927295, -0.620249, -0.566729, -0.551655, -0.512389, -0.486899, -0.442374, -0.442374, -0.398522, -0.358771, -0.226799, -0.197396, 0.141897, 1.030377, 1.695151, 1.892547, 2.034444, 2.095592, 2.158799, 2.178598, 2.187093, 2.158799, 2.148698, 2.158799, 2.119346, 2.142134, 2.158799, 2.214297, -2.034444, -1.352127, -1.325818, -1.34732, -1.359703, -1.390943, -1.436475]"
-60,"[14.0, 11.045361, 6.708204, 3.605551, 4.242641, 7.615773, 10.198039, 12.041595, 14.0, 14.0, 14.035669, 14.0, 12.0, 10.0, 7.071068, 4.472136, 4.0, 5.830952, 9.899495, 13.453624, 16.278821, 18.439089, 20.615528, 20.615528, 22.022716, 20.615528, 9.433981, 14.764823, 11.7047, 10.0, 9.433981, 11.661904, 15.811388, 19.416488, 23.194827, 27.073973, 29.068884, 31.144823, 30.265492, 28.284271, 26.305893, 22.36068, 17.262677, 12.165525, 6.0, 3.162278, 9.219544, 16.401219, 22.803509, 28.425341, 33.24154, 36.796739]","[3.141593, 3.050933, 2.677945, 2.158799, 0.785398, 0.404892, 0.197396, 0.083141, 0.0, 0.0, -0.071307, 0.0, 0.0, 0.0, 0.141897, 0.463648, 1.570796, 2.111216, 2.356194, 2.408778, 2.399645, 2.432966, 2.459276, 2.459276, 2.452668, 2.459276, 2.582993, 2.647651, 2.792822, 3.141593, -2.582993, -2.111216, -1.892547, -1.778293, -1.700499, -1.644735, -1.639653, -1.66727, -1.703348, -1.712693, -1.723446, -1.75065, -1.745469, -1.735945, -1.570796, 0.321751, 0.86217, 0.915101, 0.909753, 0.885067, 0.806672, 0.746956]"
-60,"[13.152946, 11.0, 7.28011, 5.0, 5.09902, 7.81025, 10.0, 11.661904, 13.416408, 13.0, 13.0, 13.0, 12.083046, 9.433981, 7.211103, 3.605551, 3.162278, 5.385165, 8.246211, 12.165525, 15.132746, 17.117243, 19.104973, 20.099751, 20.099751, 20.099751, 9.0, 14.035669, 11.18034, 7.615773, 5.385165, 7.28011, 11.661904, 15.620499, 19.104973, 21.931712, 24.839485, 26.248809, 26.172505, 24.758837, 22.671568, 19.104973, 14.866069, 10.630146, 4.472136, 3.0, 8.944272, 14.764823, 20.124612, 26.400758, 30.463092, 34.176015]","[-1.418147, -1.570796, -1.849096, -2.498092, 2.944197, 2.446854, 2.214297, 2.111216, 2.034444, 1.965587, 1.965587, 1.965587, 1.997424, 2.129396, 2.158799, 2.55359, -2.819842, -1.951303, -1.815775, -1.735945, -1.703348, -1.687905, -1.675673, -1.670465, -1.670465, -1.670465, -1.570796, -1.499489, -1.390943, -1.165905, -0.380506, 0.2783, 0.54042, 0.694738, 0.748378, 0.817645, 0.870903, 0.866302, 0.812419, 0.813962, 0.847817, 0.822418, 0.832981, 0.851966, 1.107149, 3.141593, -2.677945, -2.647651, -2.677945, -2.71183, -2.736701, -2.782822]"
-60,"[13.928388, 11.18034, 7.81025, 5.0, 5.656854, 8.246211, 11.045361, 13.0, 15.033296, 16.03122, 16.124515, 15.132746, 14.142136, 11.045361, 8.0, 5.385165, 3.162278, 5.385165, 9.219544, 12.727922, 16.278821, 18.439089, 20.615528, 22.022716, 22.022716, 20.615528, 8.602325, 13.892444, 11.18034, 8.062258, 6.403124, 8.544004, 13.0, 18.11077, 21.377558, 25.495098, 27.658633, 29.614186, 29.427878, 27.45906, 25.317978, 22.203603, 17.262677, 11.401754, 5.385165, 2.828427, 9.486833, 16.492423, 22.803509, 29.410882, 33.837849, 37.696154]","[-0.367174, -0.463648, -0.876058, -1.570796, -2.356194, -2.896614, -3.050933, 3.141593, 3.075024, 3.079174, 3.017238, 3.009041, 2.999696, 3.050933, 3.141593, -2.761086, -1.892547, -1.19029, -0.86217, -0.785398, -0.741947, -0.708626, -0.682317, -0.688924, -0.688924, -0.682317, -0.620249, -0.528074, -0.463648, -0.124355, 0.674741, 1.212026, 1.570796, 1.681454, 1.759018, 1.768192, 1.789465, 1.774814, 1.741532, 1.753907, 1.729452, 1.706324, 1.745469, 1.837048, 1.951303, -2.356194, -1.892547, -1.815775, -1.837048, -1.881795, -1.901892, -1.951303]"
-60,"[13.341664, 11.045361, 7.071068, 3.605551, 5.385165, 7.81025, 10.816654, 13.416408, 15.231546, 15.231546, 16.155494, 14.866069, 13.928388, 10.77033, 7.615773, 5.0, 2.0, 4.123106, 8.0, 12.041595, 15.033296, 18.11077, 20.099751, 21.095023, 21.095023, 20.099751, 8.246211, 13.601471, 10.77033, 7.071068, 7.0, 9.433981, 13.453624, 18.601075, 22.472205, 26.41969, 29.529646, 30.88689, 30.88689, 28.653098, 26.41969, 22.825424, 18.35756, 12.529964, 6.708204, 1.414214, 7.071068, 14.866069, 20.518285, 26.870058, 31.890437, 35.468296]","[1.797595, 1.661456, 1.428899, 0.588003, -0.380506, -0.876058, -0.982794, -1.107149, -1.165905, -1.165905, -1.19029, -1.227772, -1.203622, -1.19029, -1.165905, -0.927295, 0.0, 1.325818, 1.570796, 1.653938, 1.637364, 1.681454, 1.670465, 1.665748, 1.665748, 1.670465, 1.815775, 1.869295, 1.951303, 2.356194, 3.141593, -2.582993, -2.303611, -2.203545, -2.134113, -2.085248, -2.064738, -2.077895, -2.077895, -2.081285, -2.085248, -2.07364, -2.083186, -2.070143, -2.034444, -0.785398, 0.785398, 0.832981, 0.819867, 0.785398, 0.71883, 0.705568]"
-60,"[14.035669, 12.165525, 7.615773, 5.830952, 6.0, 7.071068, 9.486833, 11.401754, 13.341664, 14.317821, 14.142136, 13.152946, 12.165525, 9.219544, 6.324555, 3.605551, 2.236068, 5.385165, 9.055385, 13.038405, 16.124515, 18.11077, 20.099751, 21.023796, 21.023796, 20.024984, 9.055385, 14.142136, 11.401754, 7.81025, 7.071068, 8.544004, 12.806248, 17.691806, 21.260292, 25.0, 27.202941, 28.600699, 28.600699, 27.802878, 25.0, 21.400935, 16.401219, 11.401754, 5.0, 1.414214, 8.485281, 15.556349, 21.931712, 27.658633, 32.015621, 35.805028]","[3.070285, 2.976444, 2.736701, 2.111216, 1.570796, 0.785398, 0.321751, 0.266252, 0.226799, 0.211093, 0.141897, 0.152649, 0.165149, 0.218669, 0.321751, 0.588003, 2.034444, 2.761086, 3.030935, 3.064821, 3.017238, 3.030935, 3.041924, 3.09401, 3.09401, 3.091634, -3.030935, -2.999696, -2.875341, -2.446854, -1.712693, -1.212026, -0.896055, -0.745419, -0.71883, -0.643501, -0.628796, -0.636508, -0.636508, -0.657889, -0.643501, -0.652847, -0.655696, -0.661043, -0.643501, 2.356194, 2.356194, 2.356194, 2.323948, 2.279423, 2.245537, 2.197539]"
-60,"[12.529964, 10.0, 5.830952, 3.162278, 5.09902, 8.062258, 11.401754, 13.0, 14.317821, 15.231546, 15.652476, 14.317821, 13.0, 10.77033, 7.28011, 5.09902, 4.472136, 6.0, 9.486833, 13.0, 15.652476, 17.888544, 19.235384, 20.124612, 20.124612, 19.235384, 8.062258, 12.806248, 10.0, 8.246211, 7.615773, 10.630146, 14.764823, 19.697716, 23.4094, 26.248809, 29.410882, 30.675723, 30.083218, 28.231188, 25.079872, 21.540659, 16.155494, 10.440307, 5.0, 4.123106, 10.630146, 17.691806, 24.083189, 29.832868, 34.409301, 37.735925]","[1.07145, 0.927295, 0.54042, -0.321751, -1.373401, -1.695151, -1.837048, -1.965587, -2.003204, -1.975688, -2.034444, -2.003204, -1.965587, -1.951303, -1.849096, -1.373401, -0.463648, 0.0, 0.321751, 0.394791, 0.463648, 0.463648, 0.486899, 0.463648, 0.463648, 0.486899, 0.519146, 0.674741, 0.927295, 1.325818, 1.975688, 2.422763, 2.647651, 2.723368, 2.792822, 2.83189, 2.830594, 2.809533, 2.767259, 2.741352, 2.731465, 2.761086, 2.761086, 2.850136, 3.141593, -1.325818, -0.851966, -0.825377, -0.844154, -0.88035, -0.950547, -1.012197]"
-60,"[13.601471, 10.630146, 6.708204, 4.123106, 5.385165, 8.0, 11.18034, 13.601471, 14.866069, 15.811388, 16.155494, 15.231546, 13.928388, 10.77033, 8.544004, 5.09902, 2.828427, 4.472136, 7.81025, 12.041595, 15.556349, 17.691806, 19.104973, 20.518285, 20.518285, 20.518285, 7.81025, 13.038405, 10.77033, 7.0, 7.071068, 9.219544, 14.0, 19.104973, 23.345235, 26.476405, 28.635642, 30.594117, 30.594117, 28.442925, 26.476405, 22.36068, 18.439089, 12.369317, 6.324555, 2.236068, 8.246211, 15.132746, 22.203603, 27.45906, 32.756679, 36.400549]","[0.942, 0.851966, 0.463648, -0.244979, -1.19029, -1.570796, -1.75065, -1.869295, -1.91382, -1.892547, -1.951303, -1.975688, -1.93797, -1.951303, -1.929567, -1.768192, -0.785398, 0.463648, 0.694738, 0.726642, 0.785398, 0.825377, 0.822418, 0.819867, 0.819867, 0.819867, 0.876058, 1.004067, 1.19029, 1.570796, 2.356194, 2.922924, 3.141593, -3.036716, -2.969402, -2.951604, -2.930499, -2.944197, -2.944197, -2.964884, -2.951604, -2.961739, -2.922924, -2.896614, -2.819842, -1.107149, -0.244979, -0.132552, -0.135528, -0.183111, -0.215358, -0.2783]"
-60,"[14.142136, 11.401754, 7.615773, 4.123106, 4.123106, 7.28011, 10.29563, 13.038405, 13.601471, 14.21267, 14.21267, 13.601471, 12.206556, 9.433981, 6.708204, 4.0, 3.605551, 7.0, 10.049876, 14.142136, 17.262677, 19.416488, 20.615528, 21.84033, 21.84033, 20.880613, 9.486833, 14.317821, 12.206556, 8.602325, 8.0, 11.18034, 14.21267, 19.104973, 22.803509, 26.400758, 29.410882, 29.410882, 30.0, 27.802878, 25.612497, 21.260292, 17.029386, 10.630146, 4.242641, 3.162278, 10.0, 16.643317, 24.186773, 29.068884, 34.014703, 37.336309]","[-2.356194, -2.480549, -2.736701, 2.896614, 1.815775, 1.292497, 1.063698, 1.004067, 0.942, 0.885067, 0.885067, 0.942, 0.96007, 1.012197, 1.107149, 1.570796, 2.55359, 3.141593, -3.041924, -2.999696, -2.96692, -2.934096, -2.896614, -2.863293, -2.863293, -2.850136, -2.819842, -2.709185, -2.530867, -2.191046, -1.570796, -1.107149, -0.885067, -0.748378, -0.661043, -0.651077, -0.616297, -0.616297, -0.643501, -0.657889, -0.674741, -0.71883, -0.702257, -0.71883, -0.785398, 1.892547, 2.214297, 2.142134, 2.089942, 2.034444, 1.994991, 1.926432]"
-59,"[14.142136, 10.816654, 7.071068, 5.830952, 7.615773, 11.045361, 13.038405, 15.297059, 15.524175, 15.811388, 15.811388, 14.866069, 11.7047, 8.544004, 5.09902, 1.0, 3.605551, 8.062258, 12.529964, 16.124515, 19.723083, 21.954498, 23.323808, 24.186773, 24.186773, 22.825424, 9.848858, 14.866069, 11.18034, 8.246211, 7.211103, 10.0, 14.56022, 19.697716, 24.596748, 27.784888, 30.528675, 31.906112, 31.38471, 30.528675, 27.45906, 23.853721, 18.027756, 12.206556, 5.0, 2.0, 9.848858, 16.552945, 22.847319, 29.154759, 34.785054, 38.600518]","[2.356194, 2.158799, 1.712693, 1.030377, 0.404892, 0.09066, -0.076772, -0.197396, -0.260602, -0.321751, -0.321751, -0.343024, -0.348771, -0.358771, -0.197396, 0.0, 2.55359, 2.622447, 2.642246, 2.622447, 2.609869, 2.616797, 2.601173, 2.622447, 2.622447, 2.638749, 2.723368, 2.798569, 2.961739, -2.896614, -2.158799, -1.570796, -1.292497, -1.152572, -1.107149, -1.042722, -1.019141, -1.008875, -1.035841, -1.019141, -0.992894, -0.994421, -0.982794, -0.96007, -0.927295, 1.570796, 1.989021, 2.007423, 1.975688, 1.957672, 1.892547, 1.859772]"
