rssi,amplitude,phase
-49,"[3.605551, 6.708204, 10.049876, 14.035669, 16.278821, 18.973666, 19.697716, 20.59126, 19.416488, 18.439089, 16.278821, 13.601471, 9.433981, 5.385165, 1.414214, 4.242641, 8.944272, 13.0, 16.763055, 19.416488, 22.203603, 23.086793, 23.086793, 23.021729, 23.0, 21.0, 9.055385, 13.038405, 11.18034, 8.062258, 6.324555, 8.246211, 12.083046, 16.643317, 20.0, 23.600847, 26.400758, 27.802878, 28.017851, 28.017851, 27.202941, 25.0, 22.803509, 19.849433, 16.278821, 13.038405, 10.198039, 9.486833, 12.041595, 15.0, 18.35756, 22.36068]","[0.982794, 0.463648, 0.099669, -0.071307, -0.185348, -0.321751, -0.418224, -0.507099, -0.602287, -0.708626, -0.828849, -0.942, -1.012197, -1.19029, -2.356194, 2.356194, 2.034444, 1.965587, 1.873681, 1.778293, 1.706324, 1.657535, 1.657535, 1.614247, 1.570796, 1.570796, 1.681454, 1.647568, 1.75065, 2.089942, 2.819842, -2.896614, -2.714965, -2.570255, -2.498092, -2.506566, -2.490516, -2.483704, -2.533791, -2.533791, -2.512796, -2.498092, -2.480549, -2.427502, -2.312744, -2.137526, -1.768192, -1.249046, -0.844154, -0.643501, -0.512389, -0.463648]"
-48,"[5.09902, 8.062258, 11.401754, 14.764823, 17.088007, 18.439089, 19.104973, 20.0, 19.104973, 17.464249, 14.866069, 11.18034, 7.211103, 3.605551, 2.0, 6.708204, 10.816654, 14.866069, 17.691806, 20.615528, 23.021729, 23.323808, 24.186773, 23.706539, 22.36068, 20.124612, 8.062258, 12.529964, 10.0, 7.615773, 7.28011, 10.0, 14.21267, 17.804494, 21.633308, 25.238859, 27.45906, 28.84441, 28.600699, 28.600699, 27.202941, 24.413111, 22.472205, 19.235384, 15.231546, 12.041595, 10.440307, 10.630146, 13.416408, 16.763055, 19.924859, 25.70992]","[1.373401, 1.05165, 0.661043, 0.493941, 0.358771, 0.218669, 0.104877, 0.0, -0.104877, -0.231091, -0.343024, -0.463648, -0.588003, -0.982794, 3.141593, 2.677945, 2.55359, 2.403778, 2.316216, 2.253113, 2.170847, 2.111216, 2.089942, 2.05331, 2.034444, 2.034444, 2.089942, 2.070143, 2.214297, 2.736701, -2.863293, -2.498092, -2.256526, -2.236766, -2.158799, -2.158799, -2.148698, -2.158799, -2.207305, -2.207305, -2.199593, -2.181522, -2.134113, -2.057696, -1.975688, -1.653938, -1.27934, -0.851966, -0.463648, -0.302885, -0.305879, -0.235545]"
-49,"[6.0, 8.544004, 12.206556, 15.556349, 17.204651, 19.235384, 20.615528, 19.646883, 19.235384, 18.027756, 15.033296, 12.041595, 8.062258, 3.162278, 1.414214, 5.830952, 10.0, 13.601471, 17.029386, 19.79899, 22.022716, 22.803509, 23.600847, 23.021729, 21.954498, 21.095023, 8.062258, 13.038405, 9.899495, 6.708204, 6.082763, 8.485281, 12.206556, 16.124515, 19.235384, 22.36068, 24.596748, 26.41969, 26.41969, 26.41969, 25.059928, 22.825424, 21.023796, 17.088007, 14.317821, 11.045361, 10.29563, 11.401754, 14.317821, 17.720045, 21.377558, 24.186773]","[-1.570796, -1.929567, -2.181522, -2.356194, -2.521343, -2.654693, -2.74307, -2.884269, -2.984991, -3.086094, 3.075024, 3.058451, 3.017238, 2.819842, -0.785398, -0.54042, -0.643501, -0.628796, -0.702257, -0.785398, -0.881872, -0.909753, -0.93577, -0.970746, -1.046001, -1.022247, -1.05165, -1.004067, -0.785398, -0.463648, 0.165149, 0.785398, 0.96007, 1.05165, 1.083897, 1.107149, 1.107149, 1.056345, 1.056345, 1.056345, 1.07145, 1.067953, 1.128422, 1.212026, 1.359703, 1.661456, 2.077895, 2.480549, 2.709185, 2.855541, 2.953371, 3.017238]"
-49,"[5.385165, 7.81025, 10.77033, 14.142136, 17.029386, 18.11077, 19.416488, 18.973666, 18.788294, 17.492856, 15.0, 11.313708, 7.211103, 3.162278, 2.0, 5.656854, 10.0, 13.892444, 17.888544, 20.248457, 22.135944, 22.803509, 23.537205, 22.36068, 21.213203, 20.223748, 8.246211, 12.369317, 9.848858, 6.403124, 7.0, 9.848858, 14.422205, 17.804494, 22.022716, 24.083189, 26.907248, 27.658633, 28.425341, 27.018512, 26.248809, 24.083189, 21.931712, 19.104973, 15.811388, 12.649111, 10.049876, 11.18034, 13.453624, 17.204651, 20.59126, 23.259407]","[1.19029, 0.694738, 0.380506, 0.141897, 0.058756, -0.110657, -0.207496, -0.321751, -0.439843, -0.54042, -0.643501, -0.785398, -0.982794, -1.249046, 3.141593, 2.356194, 2.214297, 2.098871, 2.034444, 1.923787, 1.892547, 1.837048, 1.784857, 1.75065, 1.712693, 1.719686, 1.815775, 1.815775, 1.989021, 2.466852, 3.141593, -2.723368, -2.55359, -2.475623, -2.452668, -2.41495, -2.408778, -2.432966, -2.455863, -2.461071, -2.437099, -2.41495, -2.388441, -2.319174, -2.176341, -1.892547, -1.471128, -1.107149, -0.732815, -0.620249, -0.507099, -0.444419]"
-49,"[5.0, 6.708204, 10.630146, 13.601471, 16.124515, 17.088007, 18.439089, 18.11077, 18.0, 16.03122, 14.317821, 10.77033, 6.708204, 2.828427, 2.236068, 6.324555, 10.29563, 13.601471, 17.029386, 19.79899, 21.260292, 22.803509, 22.203603, 21.633308, 21.095023, 19.723083, 7.81025, 11.401754, 9.219544, 7.28011, 7.28011, 9.219544, 13.601471, 16.643317, 20.59126, 22.825424, 26.41969, 26.925824, 26.925824, 26.925824, 25.553865, 24.186773, 21.470911, 18.384776, 15.524175, 12.0, 10.440307, 10.630146, 12.529964, 16.763055, 19.646883, 22.36068]","[1.570796, 1.107149, 0.851966, 0.628796, 0.519146, 0.358771, 0.218669, 0.110657, 0.0, -0.062419, -0.211093, -0.380506, -0.463648, -0.785398, -2.677945, 2.819842, 2.634494, 2.512796, 2.439336, 2.356194, 2.289626, 2.231839, 2.196281, 2.158799, 2.119346, 2.10252, 2.265535, 2.231839, 2.432966, 2.863293, -2.863293, -2.432966, -2.199593, -2.142134, -2.077895, -2.07364, -2.085248, -2.117585, -2.117585, -2.117585, -2.104505, -2.089942, -2.055274, -1.961403, -1.831399, -1.570796, -1.27934, -0.851966, -0.499347, -0.302885, -0.257324, -0.179853]"
-48,"[4.0, 6.708204, 9.899495, 13.038405, 16.552945, 18.973666, 19.416488, 20.099751, 19.0, 18.11077, 16.278821, 12.649111, 8.544004, 4.472136, 1.0, 4.472136, 9.433981, 12.806248, 16.970563, 19.849433, 22.803509, 23.021729, 23.853721, 23.323808, 22.825424, 21.954498, 8.602325, 14.422205, 11.401754, 8.062258, 7.0, 8.602325, 12.041595, 16.643317, 21.095023, 24.186773, 26.41969, 27.784888, 28.653098, 27.784888, 27.784888, 25.059928, 22.825424, 20.124612, 16.763055, 13.152946, 10.198039, 10.0, 12.529964, 15.524175, 19.235384, 22.090722]","[1.570796, 1.107149, 0.785398, 0.566729, 0.436627, 0.321751, 0.207496, 0.099669, 0.0, -0.110657, -0.185348, -0.321751, -0.358771, -0.463648, -1.570796, 2.677945, 2.582993, 2.466852, 2.356194, 2.284887, 2.231839, 2.170847, 2.147172, 2.111216, 2.07364, 2.095592, 2.191046, 2.158799, 2.231839, 2.622447, 3.141593, -2.521343, -2.297439, -2.142134, -2.119346, -2.089942, -2.085248, -2.098871, -2.081285, -2.098871, -2.098871, -2.070143, -2.07364, -2.034444, -1.873681, -1.723446, -1.373401, -0.927295, -0.499347, -0.260602, -0.156602, -0.09066]"
-48,"[7.071068, 8.944272, 12.165525, 15.0, 18.248288, 19.924859, 20.615528, 20.59126, 19.416488, 17.029386, 14.866069, 11.401754, 7.211103, 2.828427, 2.236068, 6.708204, 10.77033, 14.56022, 18.439089, 21.213203, 23.086793, 24.020824, 24.0, 24.020824, 23.021729, 22.022716, 9.0, 13.0, 10.198039, 6.708204, 6.324555, 8.246211, 12.529964, 16.643317, 20.808652, 23.600847, 25.806976, 27.202941, 27.45906, 26.627054, 25.806976, 22.803509, 21.260292, 17.691806, 13.601471, 10.440307, 9.219544, 10.0, 13.601471, 17.888544, 21.931712, 24.698178]","[-2.356194, -2.677945, -2.976444, 3.141593, 2.976444, 2.835714, 2.74307, 2.634494, 2.539305, 2.439336, 2.308611, 2.231839, 2.158799, 2.356194, -1.107149, -1.107149, -1.19029, -1.292497, -1.352127, -1.428899, -1.484058, -1.529154, -1.570796, -1.612439, -1.614247, -1.61622, -1.570796, -1.570796, -1.373401, -1.107149, -0.321751, 0.244979, 0.499347, 0.571337, 0.614663, 0.635027, 0.620249, 0.628796, 0.577902, 0.598419, 0.620249, 0.661043, 0.71883, 0.825377, 0.942, 1.27934, 1.789465, 2.214297, 2.512796, 2.677945, 2.718739, 2.768605]"
-49,"[6.082763, 8.246211, 12.529964, 16.401219, 19.104973, 21.400935, 22.472205, 23.259407, 22.472205, 20.880613, 18.248288, 15.132746, 10.0, 6.0, 0.0, 5.09902, 10.440307, 13.928388, 18.384776, 21.023796, 24.186773, 24.698178, 25.238859, 25.806976, 25.0, 23.600847, 10.0, 15.0, 11.661904, 8.246211, 5.385165, 7.615773, 11.045361, 16.0, 20.024984, 24.083189, 27.166155, 29.068884, 29.068884, 29.068884, 28.071338, 26.172505, 24.186773, 20.396078, 16.763055, 12.529964, 10.0, 10.049876, 13.601471, 17.0, 21.633308, 25.0]","[-1.405648, -1.815775, -2.070143, -2.226492, -2.393215, -2.488746, -2.578276, -2.697173, -2.777614, -2.850136, -2.976444, -3.009041, 3.141593, 3.141593, 0.0, -0.197396, -0.291457, -0.367174, -0.390607, -0.442374, -0.519146, -0.554307, -0.588003, -0.620249, -0.643501, -0.635027, -0.643501, -0.643501, -0.54042, -0.244979, 0.380506, 1.165905, 1.480136, 1.570796, 1.620755, 1.653938, 1.681454, 1.639653, 1.639653, 1.639653, 1.642104, 1.685673, 1.695151, 1.768192, 1.873681, 2.070143, 2.498092, 3.041924, -2.843094, -2.651635, -2.55359, -2.498092]"
-49,"[5.656854, 8.544004, 12.041595, 16.124515, 18.681542, 20.615528, 21.470911, 21.633308, 21.400935, 19.79899, 17.029386, 13.601471, 9.433981, 4.472136, 0.0, 5.385165, 10.198039, 15.132746, 18.11077, 22.022716, 24.020824, 25.079872, 26.07681, 26.172505, 25.317978, 23.194827, 10.198039, 15.132746, 12.0, 8.246211, 6.403124, 8.0, 11.401754, 15.231546, 20.124612, 22.825424, 26.41969, 27.784888, 28.653098, 28.653098, 27.294688, 25.553865, 23.323808, 19.416488, 15.620499, 11.401754, 9.219544, 9.486833, 12.727922, 17.204651, 20.59126, 24.596748]","[-2.356194, -2.782822, -3.058451, 3.017238, 2.870646, 2.74307, 2.657115, 2.55359, 2.488746, 2.356194, 2.273053, 2.199593, 2.129396, 2.034444, 0.0, -1.19029, -1.373401, -1.438245, -1.460139, -1.525373, -1.612439, -1.650626, -1.647568, -1.685673, -1.729452, -1.700499, -1.768192, -1.703348, -1.570796, -1.325818, -0.674741, 0.0, 0.266252, 0.404892, 0.463648, 0.502843, 0.514451, 0.528074, 0.510488, 0.510488, 0.496423, 0.533708, 0.54042, 0.602287, 0.694738, 0.909753, 1.352127, 1.892547, 2.356194, 2.521343, 2.634494, 2.677945]"
-48,"[4.123106, 6.324555, 10.29563, 14.21267, 16.970563, 18.601075, 19.723083, 21.023796, 20.248457, 19.646883, 17.117243, 14.035669, 10.0, 6.082763, 1.414214, 4.0, 8.246211, 12.649111, 16.552945, 19.235384, 21.633308, 23.021729, 23.600847, 23.430749, 22.671568, 21.260292, 9.219544, 14.21267, 10.816654, 7.28011, 6.324555, 8.062258, 11.7047, 16.278821, 20.223748, 23.086793, 26.07681, 28.160256, 28.284271, 28.284271, 27.294688, 25.179357, 23.086793, 20.0, 17.117243, 13.601471, 10.816654, 10.29563, 13.038405, 16.124515, 20.615528, 23.769729]","[0.244979, -0.321751, -0.507099, -0.68573, -0.785398, -0.938047, -1.039072, -1.128422, -1.217806, -1.313473, -1.453688, -1.499489, -1.570796, -1.735945, -2.356194, 1.570796, 1.325818, 1.249046, 1.134169, 1.083897, 0.982794, 0.970746, 0.93577, 0.876058, 0.847817, 0.851966, 0.86217, 0.885067, 0.982794, 1.292497, 1.892547, 2.622447, 2.792822, 2.956245, 2.992703, 3.054854, 3.064821, 3.034857, 2.999696, 2.999696, 2.994514, 3.022164, 3.054854, 3.141593, -3.024484, -2.843094, -2.55359, -2.077895, -1.647568, -1.446441, -1.325818, -1.315614]"
