rssi,amplitude_0,amplitude_1,amplitude_2,amplitude_3,amplitude_4,amplitude_5,amplitude_6,amplitude_7,amplitude_8,amplitude_9,amplitude_10,amplitude_11,amplitude_12,amplitude_13,amplitude_14,amplitude_15,amplitude_16,amplitude_17,amplitude_18,amplitude_19,amplitude_20,amplitude_21,amplitude_22,amplitude_23,amplitude_24,amplitude_25,amplitude_26,amplitude_27,amplitude_28,amplitude_29,amplitude_30,amplitude_31,amplitude_32,amplitude_33,amplitude_34,amplitude_35,amplitude_36,amplitude_37,amplitude_38,amplitude_39,amplitude_40,amplitude_41,amplitude_42,amplitude_43,amplitude_44,amplitude_45,amplitude_46,amplitude_47,amplitude_48,amplitude_49,amplitude_50,amplitude_51,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_16,phase_17,phase_18,phase_19,phase_20,phase_21,phase_22,phase_23,phase_24,phase_25,phase_26,phase_27,phase_28,phase_29,phase_30,phase_31,phase_32,phase_33,phase_34,phase_35,phase_36,phase_37,phase_38,phase_39,phase_40,phase_41,phase_42,phase_43,phase_44,phase_45,phase_46,phase_47,phase_48,phase_49,phase_50,phase_51
-59,9.219544,10.630146,11.401754,10.816654,10.29563,9.848858,8.944272,7.615773,6.708204,5.0,4.472136,5.09902,6.0,7.071068,8.246211,10.198039,10.198039,11.18034,11.18034,11.18034,11.18034,10.198039,9.055385,8.246211,6.324555,5.830952,2.236068,7.0,9.055385,11.18034,14.317821,16.124515,19.104973,20.024984,21.023796,22.090722,21.213203,19.235384,17.262677,14.142136,13.038405,11.7047,12.206556,14.142136,17.204651,20.248457,22.472205,25.238859,27.202941,27.802878,28.425341,26.907248,-0.86217,-0.851966,-0.909753,-0.982794,-1.063698,-1.152572,-1.107149,-1.165905,-1.107149,-0.927295,-0.463648,-0.197396,0.0,0.141897,0.244979,0.197396,0.197396,0.179853,0.179853,0.179853,0.179853,0.197396,0.110657,0.244979,0.321751,0.54042,1.107149,1.570796,1.681454,1.75065,1.78189,1.695151,1.675673,1.620755,1.523213,1.480136,1.428899,1.414194,1.396124,1.428899,1.647568,1.919567,2.181522,2.356194,2.521343,2.567288,2.578276,2.55359,2.512796,2.483704,2.455863,2.408778
-59,9.219544,10.0,10.816654,11.18034,9.848858,9.848858,8.544004,6.708204,5.830952,5.656854,5.385165,6.082763,7.0,9.055385,10.049876,11.045361,12.041595,12.041595,12.041595,13.0,12.0,11.0,10.0,9.055385,8.246211,7.28011,4.242641,8.544004,10.198039,12.041595,15.033296,17.117243,20.223748,21.377558,22.803509,23.086793,22.472205,20.615528,18.384776,15.811388,13.341664,12.0,12.649111,13.892444,17.029386,20.518285,22.627417,24.758837,26.248809,27.802878,28.017851,27.45906,2.279423,2.214297,2.158799,2.034444,1.989021,1.989021,1.929567,2.034444,2.111216,2.356194,2.761086,2.976444,3.141593,-3.030935,-3.041924,-3.050933,-3.058451,-3.058451,-3.058451,3.141593,3.141593,3.141593,3.141593,-3.030935,-2.896614,-2.863293,-2.356194,-1.929567,-1.768192,-1.653938,-1.637364,-1.687905,-1.719686,-1.759018,-1.837048,-1.878849,-1.934775,-1.969319,-1.961403,-1.892547,-1.797595,-1.570796,-1.249046,-1.042722,-0.868539,-0.819867,-0.785398,-0.813962,-0.866302,-0.912908,-0.962994,-0.992894
-60,9.219544,10.0,10.816654,10.29563,10.29563,8.944272,7.615773,6.708204,5.830952,5.0,5.385165,6.082763,7.0,8.062258,10.049876,11.18034,11.18034,12.041595,12.041595,12.041595,12.041595,11.045361,10.049876,9.219544,8.246211,7.615773,3.605551,8.246211,10.049876,12.041595,15.0,17.029386,19.104973,21.213203,22.36068,21.587033,21.84033,20.248457,18.027756,15.524175,13.152946,12.041595,12.083046,13.601471,16.278821,19.104973,21.931712,24.758837,25.455844,26.907248,26.907248,26.248809,2.279423,2.214297,2.158799,2.077895,2.077895,2.034444,1.975688,2.034444,2.111216,2.498092,2.761086,2.976444,3.141593,-3.017238,-3.041924,-2.961739,-2.961739,-3.058451,-3.058451,-3.058451,-3.058451,-3.050933,-3.041924,-2.922924,-2.896614,-2.736701,-2.158799,-1.815775,-1.670465,-1.653938,-1.570796,-1.629552,-1.675673,-1.712693,-1.75065,-1.80454,-1.849096,-1.923787,-1.910089,-1.831399,-1.723446,-1.487655,-1.144169,-0.942,-0.828849,-0.748378,-0.753151,-0.756835,-0.785398,-0.837981,-0.837981,-0.866302
-59,9.433981,10.29563,11.18034,11.18034,10.77033,10.440307,9.486833,7.28011,6.324555,5.0,5.0,5.385165,6.082763,7.0,9.0,10.0,11.045361,11.045361,11.0,11.0,11.0,10.0,9.0,8.0,6.082763,6.324555,2.828427,7.28011,9.055385,11.0,14.0,16.0,19.026298,20.099751,21.213203,21.587033,20.880613,18.973666,16.763055,14.317821,12.041595,11.18034,12.083046,14.21267,16.970563,19.849433,22.671568,25.495098,26.172505,27.586228,27.586228,26.907248,-1.012197,-1.063698,-1.107149,-1.107149,-1.19029,-1.27934,-1.249046,-1.292497,-1.249046,-0.927295,-0.643501,-0.380506,-0.165149,0.0,0.0,0.0,0.09066,0.09066,0.0,0.0,0.0,0.0,0.0,0.0,0.165149,0.321751,0.785398,1.292497,1.460139,1.570796,1.570796,1.570796,1.518213,1.471128,1.428899,1.337053,1.27934,1.249046,1.267911,1.359703,1.487655,1.75065,1.997424,2.256526,2.356194,2.427502,2.418613,2.411693,2.383215,2.330559,2.330559,2.303611
-59,9.219544,9.219544,10.198039,11.045361,10.0,9.0,8.0,7.0,6.082763,4.472136,4.242641,5.0,6.324555,7.28011,9.219544,10.198039,10.198039,11.401754,11.401754,11.401754,10.440307,10.440307,9.486833,8.246211,7.071068,6.082763,2.828427,8.062258,9.848858,11.7047,14.866069,17.464249,20.124612,21.470911,22.472205,22.203603,21.400935,19.849433,17.029386,15.0,13.416408,12.165525,13.038405,15.524175,17.088007,21.023796,23.259407,26.0,26.925824,28.460499,28.160256,27.892651,0.218669,0.218669,0.197396,0.09066,0.0,0.0,0.0,0.0,0.165149,0.463648,0.785398,0.927295,1.249046,1.292497,1.352127,1.373401,1.373401,1.304544,1.304544,1.304544,1.27934,1.27934,1.249046,1.325818,1.428899,1.735945,2.356194,2.622447,2.723368,2.792822,2.798569,2.729182,2.677945,2.657115,2.578276,2.516108,2.488746,2.427502,2.439336,2.498092,2.677945,2.976444,-3.064821,-2.88099,-2.782822,-2.699218,-2.697173,-2.746802,-2.761086,-2.819842,-2.853537,-2.887919
-59,8.062258,9.055385,9.219544,9.486833,9.486833,8.544004,7.615773,6.324555,5.385165,4.0,4.123106,5.0,5.656854,6.403124,7.81025,8.602325,10.0,10.0,10.0,10.0,9.219544,8.602325,7.81025,7.211103,5.385165,5.09902,2.236068,7.071068,8.485281,10.630146,12.806248,15.620499,16.278821,18.384776,19.209373,20.0,19.416488,17.492856,15.264338,12.806248,10.630146,11.18034,12.165525,14.0,16.124515,19.235384,21.377558,23.194827,25.079872,25.019992,25.019992,25.0,-0.124355,-0.110657,-0.218669,-0.321751,-0.321751,-0.358771,-0.404892,-0.321751,-0.380506,0.0,0.244979,0.643501,0.785398,0.896055,0.876058,0.950547,0.927295,0.927295,0.927295,0.927295,0.86217,0.950547,0.876058,0.982794,1.19029,1.373401,2.034444,2.356194,2.356194,2.422763,2.466852,2.446854,2.399645,2.356194,2.245537,2.214297,2.173084,2.111216,2.122451,2.245537,2.422763,2.677945,2.976444,3.141593,-3.017238,-2.984991,-2.953371,-3.01189,-3.061763,-3.101614,-3.101614,3.141593
-59,9.055385,10.198039,10.440307,10.440307,10.77033,9.848858,8.544004,6.708204,6.324555,5.0,4.123106,5.0,5.656854,7.81025,8.602325,10.0,10.0,11.401754,11.401754,10.630146,10.630146,10.0,9.219544,7.81025,6.708204,6.324555,3.162278,7.211103,9.219544,12.041595,14.866069,16.970563,19.104973,20.615528,21.400935,21.633308,21.095023,19.235384,17.0,14.422205,12.806248,12.206556,12.649111,15.132746,18.0,21.023796,24.020824,26.019224,27.0,28.017851,28.071338,27.166155,-0.110657,-0.197396,-0.291457,-0.291457,-0.380506,-0.418224,-0.358771,-0.463648,-0.321751,0.0,0.244979,0.643501,0.785398,0.876058,0.950547,0.927295,0.927295,0.909753,0.909753,0.851966,0.851966,0.927295,0.86217,0.876058,1.107149,1.249046,1.892547,2.158799,2.279423,2.41495,2.403778,2.356194,2.319174,2.253113,2.223643,2.158799,2.119346,2.057696,2.060754,2.158799,2.245537,2.530867,2.819842,3.009041,3.141593,-3.09401,-3.09995,-3.10315,3.141593,3.105894,3.070285,3.030935
-59,10.29563,10.77033,11.7047,11.401754,11.401754,10.198039,9.219544,8.246211,6.324555,5.830952,6.403124,6.708204,7.28011,9.219544,10.198039,11.18034,12.165525,12.165525,12.165525,12.165525,11.401754,11.18034,10.198039,9.055385,8.0,7.071068,3.162278,6.708204,8.544004,11.401754,14.317821,16.492423,18.681542,19.924859,20.615528,21.023796,20.59126,19.723083,17.0,14.317821,12.369317,11.0,11.401754,13.038405,16.401219,19.849433,22.022716,24.207437,25.0,26.627054,26.627054,26.07681,-2.634494,-2.761086,-2.792822,-2.875341,-2.875341,-2.944197,-2.922924,-2.896614,-2.819842,-2.601173,-2.245537,-2.034444,-1.849096,-1.789465,-1.768192,-1.75065,-1.735945,-1.735945,-1.735945,-1.735945,-1.837048,-1.75065,-1.768192,-1.681454,-1.570796,-1.428899,-1.249046,-0.463648,-0.358771,-0.266252,-0.211093,-0.244979,-0.270947,-0.305879,-0.398522,-0.442374,-0.507099,-0.531724,-0.489957,-0.432408,-0.244979,0.0,0.266252,0.566729,0.655696,0.714091,0.688924,0.668289,0.643501,0.598419,0.598419,0.566729
-59,9.486833,9.848858,11.18034,11.661904,10.816654,10.0,8.602325,7.211103,5.830952,4.123106,4.0,5.385165,5.830952,7.81025,8.602325,10.0,10.630146,10.630146,11.401754,10.816654,10.0,10.0,8.602325,7.81025,6.403124,5.830952,2.0,7.211103,9.433981,11.401754,13.601471,15.811388,18.867962,20.59126,21.023796,20.615528,20.248457,18.973666,15.811388,14.317821,12.206556,12.041595,12.083046,14.56022,17.262677,20.099751,23.086793,25.179357,26.305893,27.45906,27.658633,26.925824,-0.321751,-0.418224,-0.463648,-0.54042,-0.588003,-0.643501,-0.620249,-0.588003,-0.54042,-0.244979,0.0,0.380506,0.54042,0.694738,0.620249,0.643501,0.71883,0.71883,0.661043,0.588003,0.643501,0.643501,0.620249,0.694738,0.896055,1.030377,1.570796,2.158799,2.129396,2.231839,2.199593,2.176341,2.129396,2.077895,2.013171,1.969319,1.923787,1.892547,1.892547,2.003204,2.181522,2.41495,2.714965,2.863293,2.96692,3.041924,3.054854,3.022164,2.988943,2.958482,2.922924,2.878598
-59,10.440307,11.18034,12.165525,12.041595,11.0,10.0,9.0,8.0,7.071068,6.324555,6.403124,6.403124,8.062258,8.944272,9.848858,11.18034,12.083046,12.083046,12.083046,12.083046,12.083046,11.18034,9.848858,8.544004,7.28011,7.071068,3.162278,7.81025,9.219544,11.661904,13.892444,16.643317,19.416488,20.615528,21.260292,21.931712,21.213203,19.849433,17.029386,14.142136,12.206556,10.77033,12.041595,14.142136,16.492423,18.973666,22.135944,24.041631,25.96151,26.683328,27.658633,26.305893,-2.850136,-2.961739,-2.976444,-3.058451,3.141593,3.141593,3.141593,3.141593,-2.999696,-2.819842,-2.466852,-2.245537,-2.089942,-2.034444,-1.989021,-2.034444,-1.997424,-1.997424,-1.997424,-1.997424,-1.997424,-2.034444,-1.989021,-1.929567,-1.849096,-1.712693,-1.249046,-0.876058,-0.708626,-0.54042,-0.528074,-0.571337,-0.602287,-0.682317,-0.71883,-0.753151,-0.785398,-0.856706,-0.868539,-0.785398,-0.610726,-0.380506,-0.083141,0.141897,0.244979,0.321751,0.321751,0.295441,0.273009,0.226799,0.218669,0.152649
