rssi,amplitude_0,amplitude_1,amplitude_2,amplitude_3,amplitude_4,amplitude_5,amplitude_6,amplitude_7,amplitude_8,amplitude_9,amplitude_10,amplitude_11,amplitude_12,amplitude_13,amplitude_14,amplitude_15,amplitude_16,amplitude_17,amplitude_18,amplitude_19,amplitude_20,amplitude_21,amplitude_22,amplitude_23,amplitude_24,amplitude_25,amplitude_26,amplitude_27,amplitude_28,amplitude_29,amplitude_30,amplitude_31,amplitude_32,amplitude_33,amplitude_34,amplitude_35,amplitude_36,amplitude_37,amplitude_38,amplitude_39,amplitude_40,amplitude_41,amplitude_42,amplitude_43,amplitude_44,amplitude_45,amplitude_46,amplitude_47,amplitude_48,amplitude_49,amplitude_50,amplitude_51,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_16,phase_17,phase_18,phase_19,phase_20,phase_21,phase_22,phase_23,phase_24,phase_25,phase_26,phase_27,phase_28,phase_29,phase_30,phase_31,phase_32,phase_33,phase_34,phase_35,phase_36,phase_37,phase_38,phase_39,phase_40,phase_41,phase_42,phase_43,phase_44,phase_45,phase_46,phase_47,phase_48,phase_49,phase_50,phase_51
-63,11.661904,13.038405,14.764823,15.652476,15.652476,15.231546,14.866069,13.601471,12.369317,11.18034,9.055385,7.0,5.09902,2.236068,1.414214,4.472136,6.324555,8.544004,10.440307,11.401754,13.341664,14.56022,15.811388,16.763055,16.763055,16.763055,7.28011,14.317821,12.165525,9.055385,5.0,1.414214,4.242641,9.433981,13.416408,17.888544,21.023796,25.079872,27.313001,28.635642,29.546573,29.546573,28.635642,26.400758,22.36068,18.867962,14.422205,9.219544,4.472136,3.162278,8.246211,13.928388,-2.601173,-2.574863,-2.647651,-2.677945,-2.677945,-2.736701,-2.798569,-2.843094,-2.896614,-2.961739,-3.030935,3.141593,2.944197,2.677945,0.785398,0.463648,0.321751,0.358771,0.291457,0.266252,0.226799,0.2783,0.321751,0.302885,0.302885,0.302885,0.2783,0.211093,0.165149,0.110657,0.0,-0.785398,-2.356194,-2.582993,-2.677945,-2.677945,-2.699218,-2.731465,-2.727086,-2.709185,-2.723368,-2.723368,-2.709185,-2.71183,-2.677945,-2.582993,-2.55359,-2.432966,-2.034444,-0.321751,0.244979,0.367174
-63,10.440307,11.7047,13.341664,14.317821,14.142136,14.035669,14.035669,13.0,11.0,10.049876,8.062258,6.324555,3.605551,2.236068,2.828427,5.385165,7.28011,9.055385,11.045361,13.152946,14.142136,16.124515,17.262677,18.248288,18.248288,18.439089,9.055385,15.132746,13.038405,10.0,7.071068,3.605551,4.472136,7.81025,11.661904,16.124515,20.59126,23.706539,25.495098,26.832816,28.178006,28.653098,27.784888,25.553865,21.633308,17.804494,13.453624,8.485281,3.162278,4.0,8.944272,14.764823,1.862253,1.919567,1.797595,1.78189,1.712693,1.642104,1.642104,1.570796,1.570796,1.471128,1.446441,1.249046,0.982794,0.463648,-0.785398,-1.19029,-1.292497,-1.460139,-1.480136,-1.418147,-1.428899,-1.446441,-1.396124,-1.405648,-1.405648,-1.352127,-1.460139,-1.438245,-1.494024,-1.570796,-1.712693,-2.158799,2.677945,2.265535,2.111216,2.089942,2.077895,2.05331,2.016902,2.034444,2.050316,2.081285,2.098871,2.104505,2.158799,2.236766,2.303611,2.356194,2.819842,-1.570796,-1.107149,-1.076855
-63,11.401754,12.649111,13.928388,15.231546,15.652476,14.764823,14.422205,13.601471,12.806248,10.630146,9.899495,7.81025,5.830952,3.162278,2.828427,4.0,5.385165,7.615773,10.29563,11.18034,13.416408,14.317821,15.231546,16.552945,17.464249,17.088007,7.615773,14.764823,12.529964,9.433981,5.656854,2.0,4.0,8.062258,13.341664,17.464249,21.587033,24.738634,26.925824,28.861739,29.832868,29.832868,27.658633,25.70992,22.36068,18.11077,13.038405,8.0,3.162278,2.236068,8.246211,13.152946,-1.837048,-1.892547,-1.93797,-1.975688,-2.034444,-2.064738,-2.158799,-2.199593,-2.245537,-2.289626,-2.356194,-2.446854,-2.601173,-2.819842,2.356194,1.570796,1.19029,1.165905,1.063698,1.107149,1.107149,1.138389,1.165905,1.134169,1.158386,1.212026,1.165905,1.076855,1.07145,1.012197,0.785398,0.0,-1.570796,-1.695151,-1.797595,-1.801887,-1.80454,-1.815775,-1.833791,-1.815775,-1.807645,-1.807645,-1.789465,-1.806341,-1.75065,-1.681454,-1.647568,-1.570796,-1.249046,1.107149,1.325818,1.418147
-63,10.198039,12.165525,13.038405,14.0,14.035669,14.035669,13.152946,12.165525,11.18034,9.486833,8.544004,5.830952,4.242641,2.0,3.605551,5.09902,7.0,9.0,11.0,13.0,14.0,16.0,18.027756,18.027756,19.026298,19.026298,9.0,16.0,14.0,11.045361,7.28011,3.605551,4.472136,8.602325,12.529964,16.552945,20.615528,24.698178,26.570661,27.856777,29.154759,28.231188,27.313001,25.495098,21.470911,17.492856,13.601471,8.485281,3.162278,4.0,9.486833,14.764823,1.768192,1.735945,1.647568,1.570796,1.499489,1.499489,1.418147,1.405648,1.390943,1.249046,1.212026,1.030377,0.785398,0.0,-0.982794,-1.373401,-1.570796,-1.570796,-1.570796,-1.570796,-1.570796,-1.570796,-1.515298,-1.515298,-1.518213,-1.518213,-1.570796,-1.570796,-1.570796,-1.661456,-1.849096,-2.55359,2.677945,2.191046,2.070143,2.007423,1.969319,1.943784,1.916352,1.93797,1.957672,1.971037,1.985303,2.016902,2.055274,2.111216,2.199593,2.356194,2.819842,-1.570796,-1.249046,-1.076855
-63,10.816654,12.529964,14.317821,15.231546,14.866069,14.56022,14.56022,13.341664,12.165525,11.045361,9.0,8.062258,5.385165,3.605551,3.0,4.242641,6.403124,8.062258,10.29563,12.083046,13.416408,14.764823,16.124515,17.0,17.492856,18.35756,8.062258,14.764823,12.083046,9.486833,6.082763,2.236068,3.605551,7.81025,12.806248,16.401219,20.808652,24.413111,26.400758,28.600699,28.600699,29.206164,27.018512,24.839485,21.931712,17.691806,13.453624,7.81025,3.162278,3.605551,8.485281,14.142136,-0.982794,-1.07145,-1.138389,-1.165905,-1.227772,-1.292497,-1.292497,-1.343997,-1.405648,-1.480136,-1.570796,-1.695151,-1.951303,-2.55359,3.141593,2.356194,2.245537,2.089942,2.077895,1.997424,2.034444,2.064738,2.089942,2.060754,2.111216,2.083186,2.089942,2.064738,1.997424,1.892547,1.735945,1.107149,-0.588003,-0.876058,-0.896055,-0.915101,-0.956133,-0.96007,-0.91972,-0.934288,-0.934288,-0.90675,-0.890275,-0.870903,-0.817645,-0.825377,-0.732815,-0.694738,-0.321751,2.158799,2.356194,2.356194
-63,9.219544,10.630146,12.041595,12.727922,13.453624,12.806248,12.806248,12.206556,10.29563,9.848858,8.544004,6.324555,5.0,3.162278,3.162278,4.123106,5.830952,7.81025,9.899495,11.313708,12.041595,13.453624,14.21267,15.620499,15.620499,15.620499,7.81025,13.453624,11.313708,8.485281,5.0,1.0,3.162278,7.211103,10.816654,14.422205,18.027756,21.633308,24.413111,25.238859,26.07681,25.238859,24.698178,22.472205,19.235384,15.652476,12.083046,7.28011,2.0,2.828427,8.062258,13.416408,-0.708626,-0.71883,-0.726642,-0.785398,-0.837981,-0.896055,-0.896055,-0.96007,-1.063698,-1.152572,-1.212026,-1.249046,-1.570796,-1.892547,-2.819842,2.896614,2.601173,2.446854,2.356194,2.356194,2.41495,2.408778,2.455863,2.446854,2.446854,2.446854,2.446854,2.408778,2.356194,2.356194,2.214297,1.570796,-0.321751,-0.588003,-0.588003,-0.588003,-0.588003,-0.588003,-0.610726,-0.588003,-0.566729,-0.588003,-0.554307,-0.563316,-0.486899,-0.463648,-0.426627,-0.2783,0.0,2.356194,2.622447,2.677945
-63,10.29563,10.816654,12.806248,13.453624,14.142136,13.453624,12.806248,12.206556,10.816654,9.433981,7.615773,6.324555,4.0,2.236068,3.0,5.385165,7.211103,9.219544,11.313708,12.727922,14.142136,16.278821,17.029386,18.439089,18.439089,19.209373,9.219544,15.556349,12.727922,10.630146,7.211103,3.0,3.0,7.28011,12.083046,16.552945,20.124612,23.706539,25.942244,28.178006,29.068884,27.730849,27.730849,25.079872,21.540659,16.763055,12.369317,7.071068,3.162278,4.242641,9.433981,15.231546,1.063698,0.982794,0.896055,0.837981,0.785398,0.732815,0.674741,0.610726,0.588003,0.558599,0.404892,0.321751,0.0,-0.463648,-1.570796,-1.951303,-2.158799,-2.279423,-2.356194,-2.356194,-2.356194,-2.312744,-2.273053,-2.279423,-2.279423,-2.245537,-2.279423,-2.356194,-2.356194,-2.422763,-2.55359,3.141593,1.570796,1.292497,1.144169,1.134169,1.107149,1.088283,1.089909,1.091277,1.107149,1.123276,1.123276,1.160669,1.19029,1.267911,1.325818,1.428899,1.892547,-2.356194,-2.129396,-1.975688
-63,10.77033,12.083046,12.649111,13.601471,14.317821,14.142136,13.038405,12.041595,11.0,10.049876,8.062258,6.324555,3.605551,2.236068,2.828427,5.385165,7.071068,9.055385,11.045361,12.041595,14.035669,16.124515,17.262677,18.248288,18.439089,18.439089,9.055385,15.132746,14.035669,10.0,6.082763,2.828427,3.605551,7.211103,11.661904,16.124515,20.124612,24.166092,26.400758,28.231188,28.635642,28.635642,27.730849,25.059928,21.954498,18.027756,12.806248,8.485281,3.162278,4.0,9.486833,14.317821,1.951303,1.997424,1.892547,1.869295,1.78189,1.712693,1.647568,1.653938,1.570796,1.471128,1.446441,1.249046,0.982794,0.463648,-0.785398,-1.19029,-1.428899,-1.460139,-1.480136,-1.487655,-1.499489,-1.446441,-1.396124,-1.405648,-1.352127,-1.352127,-1.460139,-1.438245,-1.499489,-1.570796,-1.735945,-2.356194,2.55359,2.158799,2.111216,2.089942,2.034444,1.997424,2.000559,1.971037,2.003204,2.003204,2.018316,2.070143,2.095592,2.158799,2.245537,2.356194,2.819842,-1.570796,-1.249046,-1.138389
-62,10.0,12.041595,13.038405,14.142136,14.317821,14.56022,13.601471,13.0,12.083046,10.29563,8.602325,7.071068,5.0,3.0,4.242641,5.385165,7.071068,10.0,12.0,13.0,14.035669,16.0,17.0,18.027756,19.026298,19.026298,9.055385,16.0,14.035669,11.045361,7.071068,3.605551,2.828427,7.615773,11.7047,16.763055,20.880613,23.769729,25.96151,28.160256,29.12044,28.160256,27.202941,25.298221,21.540659,16.552945,12.529964,7.211103,2.236068,4.123106,9.848858,14.764823,0.0,-0.083141,-0.076772,-0.141897,-0.211093,-0.2783,-0.298499,-0.394791,-0.426627,-0.507099,-0.620249,-0.785398,-0.927295,-1.570796,-2.356194,-2.761086,-2.999696,3.141593,3.141593,3.141593,3.070285,3.141593,3.141593,-3.086094,-3.08901,-3.08901,-3.030935,3.141593,3.070285,3.050933,2.999696,2.55359,0.785398,0.404892,0.348771,0.302885,0.291457,0.255182,0.273009,0.288055,0.2783,0.288055,0.298499,0.321751,0.380506,0.436627,0.499347,0.588003,1.107149,-2.896614,-2.723368,-2.647651
-62,11.401754,12.369317,14.317821,15.297059,15.132746,15.033296,14.0,13.038405,12.165525,11.18034,9.486833,6.324555,4.472136,2.828427,1.414214,4.123106,6.0,8.062258,10.049876,12.041595,13.038405,15.033296,16.03122,17.029386,18.027756,18.027756,8.062258,15.033296,12.041595,9.219544,5.385165,2.236068,4.472136,8.246211,13.152946,17.262677,22.203603,25.179357,27.166155,29.154759,30.149627,29.274562,28.284271,26.305893,23.537205,18.681542,13.928388,8.944272,4.242641,3.605551,8.062258,14.035669,-2.875341,-2.896614,-2.930499,-2.944197,-3.009041,-3.075024,3.141593,3.064821,2.976444,2.961739,2.819842,2.819842,2.677945,2.356194,0.785398,0.244979,0.0,-0.124355,-0.099669,-0.083141,-0.076772,-0.066568,-0.062419,-0.058756,-0.055499,-0.055499,-0.124355,-0.066568,-0.083141,-0.218669,-0.380506,-1.107149,-2.677945,-2.896614,-2.988943,-2.96692,-3.006065,-3.022164,-3.030935,-3.038511,-3.041924,-3.004526,-2.999696,-2.988943,-2.927532,-2.870646,-2.774419,-2.677945,-2.356194,-0.588003,-0.124355,0.071307
