rssi,amplitude_0,amplitude_1,amplitude_2,amplitude_3,amplitude_4,amplitude_5,amplitude_6,amplitude_7,amplitude_8,amplitude_9,amplitude_10,amplitude_11,amplitude_12,amplitude_13,amplitude_14,amplitude_15,amplitude_16,amplitude_17,amplitude_18,amplitude_19,amplitude_20,amplitude_21,amplitude_22,amplitude_23,amplitude_24,amplitude_25,amplitude_26,amplitude_27,amplitude_28,amplitude_29,amplitude_30,amplitude_31,amplitude_32,amplitude_33,amplitude_34,amplitude_35,amplitude_36,amplitude_37,amplitude_38,amplitude_39,amplitude_40,amplitude_41,amplitude_42,amplitude_43,amplitude_44,amplitude_45,amplitude_46,amplitude_47,amplitude_48,amplitude_49,amplitude_50,amplitude_51,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_16,phase_17,phase_18,phase_19,phase_20,phase_21,phase_22,phase_23,phase_24,phase_25,phase_26,phase_27,phase_28,phase_29,phase_30,phase_31,phase_32,phase_33,phase_34,phase_35,phase_36,phase_37,phase_38,phase_39,phase_40,phase_41,phase_42,phase_43,phase_44,phase_45,phase_46,phase_47,phase_48,phase_49,phase_50,phase_51
-58,8.944272,9.219544,10.0,12.165525,14.317821,16.492423,18.681542,19.646883,20.615528,21.587033,21.587033,20.615528,19.646883,16.763055,15.231546,13.601471,12.806248,13.0,15.297059,18.027756,20.0,22.022716,24.083189,26.172505,27.166155,28.160256,13.038405,25.179357,24.186773,21.213203,18.248288,14.56022,11.18034,9.219544,9.219544,12.165525,16.155494,20.124612,24.166092,27.313001,30.083218,30.675723,31.048349,30.594117,28.160256,25.0,20.099751,14.56022,8.062258,4.0,6.082763,12.165525,-2.034444,-1.789465,-1.570796,-1.405648,-1.359703,-1.325818,-1.299849,-1.313473,-1.325818,-1.337053,-1.337053,-1.325818,-1.313473,-1.267911,-1.165905,-0.942,-0.674741,-0.394791,-0.197396,-0.055499,0.0,0.045423,0.083141,0.114877,0.110657,0.106736,0.076772,0.119429,0.124355,0.141897,0.165149,0.2783,0.463648,0.86217,1.352127,1.735945,1.951303,2.034444,1.997424,1.985303,1.94513,1.902856,1.831399,1.768192,1.677532,1.570796,1.471128,1.292497,1.05165,0.0,-1.405648,-1.735945
-58,8.062258,9.055385,10.440307,12.529964,14.422205,15.811388,18.601075,20.0,20.808652,21.633308,21.095023,20.248457,19.416488,16.401219,14.866069,13.038405,12.649111,13.038405,15.132746,17.720045,19.313208,21.931712,24.596748,25.495098,26.832816,28.178006,13.416408,25.942244,23.706539,21.470911,18.35756,15.0,11.313708,9.486833,9.219544,12.529964,16.278821,21.213203,24.041631,27.586228,30.479501,32.015621,32.202484,31.38471,29.068884,24.698178,20.615528,15.033296,8.246211,3.162278,6.708204,12.165525,-1.695151,-1.460139,-1.27934,-1.07145,-0.982794,-0.965252,-0.938047,-0.927295,-0.956133,-0.982794,-1.022247,-0.996491,-0.968509,-0.915101,-0.832981,-0.566729,-0.321751,-0.076772,0.132552,0.286051,0.370891,0.422854,0.463648,0.446106,0.463648,0.479519,0.463648,0.480887,0.482513,0.484478,0.512389,0.643501,0.785398,1.249046,1.789465,2.070143,2.312744,2.356194,2.356194,2.330559,2.28654,2.245537,2.201876,2.105751,2.034444,1.943784,1.815775,1.637364,1.325818,0.321751,-1.107149,-1.405648
-58,9.219544,8.944272,10.440307,12.165525,15.033296,17.0,19.0,20.024984,21.023796,22.090722,22.090722,21.095023,20.024984,17.0,15.132746,13.601471,13.038405,13.453624,15.264338,17.888544,20.615528,23.086793,24.041631,25.96151,28.160256,29.12044,13.601471,26.248809,25.0,21.84033,18.681542,15.297059,12.0,9.486833,9.219544,12.369317,16.03122,20.024984,24.020824,28.017851,30.149627,31.256999,31.780497,30.364453,28.231188,24.596748,19.416488,14.142136,8.062258,3.605551,6.324555,11.401754,-2.279423,-2.034444,-1.862253,-1.735945,-1.637364,-1.570796,-1.570796,-1.620755,-1.618379,-1.661456,-1.661456,-1.665748,-1.620755,-1.570796,-1.438245,-1.272297,-1.004067,-0.732815,-0.551655,-0.463648,-0.398522,-0.308053,-0.295441,-0.273009,-0.288055,-0.2783,-0.298499,-0.309703,-0.283794,-0.2783,-0.270947,-0.197396,0.0,0.321751,0.86217,1.325818,1.508378,1.520838,1.529154,1.535097,1.471128,1.442473,1.348714,1.269876,1.170556,1.107149,0.968509,0.785398,0.519146,-0.588003,-1.892547,-2.231839
-58,8.544004,8.062258,10.049876,12.369317,14.56022,16.763055,18.973666,19.924859,20.880613,21.84033,21.84033,21.84033,19.924859,17.088007,15.652476,14.21267,13.601471,14.317821,16.278821,18.11077,21.0,23.021729,25.079872,27.073973,28.071338,29.154759,14.035669,27.073973,25.079872,22.203603,19.235384,15.297059,13.0,9.219544,9.486833,12.041595,15.811388,20.615528,23.769729,27.856777,29.732137,31.32092,31.780497,30.265492,28.017851,25.079872,20.396078,15.231546,9.219544,5.0,6.324555,12.041595,2.782822,3.017238,-3.041924,-2.896614,-2.863293,-2.838708,-2.819842,-2.835714,-2.850136,-2.863293,-2.863293,-2.863293,-2.835714,-2.782822,-2.677945,-2.455863,-2.199593,-2.003204,-1.756144,-1.681454,-1.570796,-1.527345,-1.490966,-1.496857,-1.499489,-1.467715,-1.499489,-1.496857,-1.490966,-1.435269,-1.414194,-1.373401,-1.176005,-0.86217,-0.321751,0.083141,0.321751,0.398522,0.388319,0.367174,0.343024,0.291457,0.222082,0.132552,0.035699,-0.07983,-0.197396,-0.404892,-0.708626,-1.570796,-2.819842,3.058451
-58,8.246211,9.0,10.198039,11.7047,14.317821,16.124515,18.35756,19.235384,20.124612,21.023796,21.931712,20.615528,18.788294,17.0,15.0,13.453624,12.083046,13.152946,15.0,17.262677,19.416488,21.84033,24.041631,25.96151,26.925824,28.160256,13.601471,25.96151,24.041631,22.135944,18.384776,14.317821,11.401754,9.433981,10.0,12.649111,16.643317,20.808652,23.853721,27.45906,30.528675,31.76476,31.780497,31.016125,28.861739,24.33105,20.024984,14.142136,8.544004,3.162278,6.324555,12.041595,-1.815775,-1.570796,-1.373401,-1.222025,-1.138389,-1.05165,-1.058407,-1.083897,-1.107149,-1.128422,-1.147942,-1.172274,-1.130954,-1.080839,-0.927295,-0.732815,-0.426627,-0.152649,0.0,0.174672,0.207496,0.2783,0.295441,0.273009,0.262995,0.288055,0.298499,0.273009,0.295441,0.321751,0.390607,0.432408,0.661043,1.012197,1.570796,1.892547,2.142134,2.185459,2.147172,2.148698,2.122451,2.062606,1.992216,1.933341,1.815775,1.735945,1.620755,1.428899,1.212026,0.321751,-1.249046,-1.653938
-58,7.615773,7.81025,10.0,11.661904,13.0,16.155494,18.027756,19.313208,20.615528,21.023796,21.023796,20.124612,18.788294,16.155494,14.317821,13.0,12.369317,13.892444,15.620499,17.691806,20.615528,23.600847,25.806976,27.202941,28.600699,29.410882,14.422205,27.202941,25.238859,23.021729,19.723083,15.652476,13.341664,11.045361,11.661904,14.21267,18.35756,21.931712,26.0,28.635642,31.304952,33.12099,33.286634,32.802439,30.413813,26.907248,21.633308,16.552945,9.219544,4.472136,5.0,10.29563,0.404892,0.694738,0.927295,1.030377,1.176005,1.19029,1.231504,1.199905,1.172274,1.128422,1.128422,1.107149,1.130954,1.19029,1.359703,1.570796,1.815775,2.098871,2.265535,2.396173,2.459276,2.506566,2.521343,2.512796,2.505084,2.525296,2.55359,2.512796,2.55359,2.541542,2.609869,2.677945,2.914794,-3.050933,-2.601173,-2.256526,-2.083186,-1.99365,-1.965587,-2.003204,-2.034444,-2.074962,-2.142134,-2.226492,-2.332943,-2.408778,-2.55359,-2.704965,-2.922924,2.677945,0.927295,0.507099
-58,8.062258,8.544004,10.0,12.727922,14.21267,16.401219,18.439089,19.849433,21.260292,21.260292,21.260292,20.518285,19.849433,16.401219,15.264338,13.601471,13.038405,13.341664,15.231546,17.492856,20.248457,22.203603,24.207437,25.612497,27.802878,28.425341,13.601471,26.400758,24.207437,22.022716,18.439089,15.556349,11.661904,9.219544,9.486833,12.806248,17.029386,21.400935,25.0,28.425341,30.479501,31.827661,32.557641,31.400637,28.84441,25.059928,20.248457,14.317821,8.0,2.828427,5.830952,12.165525,-1.446441,-1.212026,-0.927295,-0.785398,-0.68573,-0.655696,-0.708626,-0.714091,-0.71883,-0.71883,-0.71883,-0.750929,-0.714091,-0.655696,-0.551655,-0.298499,-0.076772,0.226799,0.404892,0.54042,0.574305,0.625485,0.668289,0.674741,0.657889,0.68573,0.628796,0.651077,0.668289,0.688924,0.708626,0.785398,1.030377,1.352127,1.892547,2.245537,2.439336,2.488746,2.498092,2.455863,2.425849,2.378413,2.312744,2.220667,2.158799,2.070143,1.923787,1.78189,1.570796,0.785398,-1.030377,-1.405648
-58,8.246211,9.0,10.198039,13.0,14.764823,16.124515,18.35756,20.59126,21.470911,21.023796,21.931712,21.023796,18.788294,17.0,15.0,13.453624,12.529964,13.341664,15.0,17.117243,19.416488,21.587033,24.041631,25.96151,26.925824,28.160256,13.601471,25.0,24.041631,22.135944,18.027756,14.317821,11.401754,9.433981,9.055385,11.7047,16.124515,20.248457,24.698178,28.301943,30.016662,31.304952,31.38471,30.675723,28.861739,24.186773,20.0,14.142136,8.544004,3.162278,6.324555,12.041595,-1.815775,-1.570796,-1.373401,-1.176005,-1.076855,-1.05165,-1.058407,-1.063698,-1.086318,-1.128422,-1.147942,-1.128422,-1.130954,-1.080839,-0.927295,-0.732815,-0.499347,-0.226799,0.0,0.117109,0.207496,0.233743,0.295441,0.273009,0.262995,0.288055,0.298499,0.283794,0.295441,0.321751,0.339293,0.432408,0.661043,1.012197,1.460139,1.919567,2.089942,2.145101,2.125104,2.129396,2.094075,2.034444,1.963136,1.902856,1.815775,1.695151,1.570796,1.428899,1.212026,0.321751,-1.249046,-1.653938
-58,8.062258,8.246211,9.0,11.045361,13.341664,15.524175,17.720045,18.681542,19.646883,20.396078,20.396078,19.416488,18.439089,15.811388,14.317821,12.206556,12.206556,12.649111,15.132746,17.029386,20.024984,22.090722,24.186773,26.172505,27.166155,28.160256,13.152946,26.172505,24.186773,21.213203,18.439089,14.56022,12.529964,10.0,10.198039,13.152946,17.088007,21.540659,24.698178,27.856777,30.675723,32.280025,32.756679,31.400637,29.068884,26.0,21.213203,15.524175,8.944272,3.162278,6.082763,11.401754,-0.519146,-0.244979,0.0,0.09066,0.226799,0.260602,0.286051,0.270947,0.257324,0.197396,0.197396,0.207496,0.218669,0.321751,0.432408,0.610726,0.96007,1.249046,1.438245,1.512041,1.620755,1.661456,1.695151,1.685673,1.681454,1.677532,1.723446,1.685673,1.695151,1.712693,1.789465,1.849096,2.070143,2.498092,2.944197,-2.988943,-2.782822,-2.761086,-2.768605,-2.774419,-2.809533,-2.859038,-2.926235,-2.98168,-3.072736,3.141593,2.999696,2.88099,2.677945,1.892547,0.165149,-0.266252
-58,8.246211,8.062258,9.899495,11.401754,13.892444,15.652476,17.888544,19.235384,19.723083,20.59126,21.095023,20.59126,18.35756,16.552945,13.601471,13.038405,12.165525,13.0,15.0,16.970563,19.849433,21.400935,23.600847,25.806976,27.202941,28.017851,13.601471,25.806976,24.413111,21.633308,18.35756,14.764823,11.401754,9.055385,10.0,12.529964,17.088007,20.880613,25.0,28.460499,31.016125,31.780497,32.649655,31.38471,29.410882,24.839485,20.518285,14.422205,8.544004,3.605551,5.830952,11.401754,-1.325818,-1.05165,-0.785398,-0.661043,-0.528074,-0.463648,-0.463648,-0.486899,-0.531724,-0.507099,-0.548549,-0.507099,-0.512389,-0.436627,-0.298499,-0.076772,0.165149,0.394791,0.643501,0.785398,0.856706,0.91795,0.93577,0.950547,0.942,0.962994,0.942,0.950547,0.96007,0.982794,1.058407,1.076855,1.304544,1.681454,2.214297,2.642246,2.782822,2.850136,2.857799,2.819842,2.779048,2.720173,2.664247,2.606638,2.525296,2.4417,2.321725,2.158799,1.929567,0.982794,-0.54042,-0.909753
