rssi,amplitude_0,amplitude_1,amplitude_2,amplitude_3,amplitude_4,amplitude_5,amplitude_6,amplitude_7,amplitude_8,amplitude_9,amplitude_10,amplitude_11,amplitude_12,amplitude_13,amplitude_14,amplitude_15,amplitude_16,amplitude_17,amplitude_18,amplitude_19,amplitude_20,amplitude_21,amplitude_22,amplitude_23,amplitude_24,amplitude_25,amplitude_26,amplitude_27,amplitude_28,amplitude_29,amplitude_30,amplitude_31,amplitude_32,amplitude_33,amplitude_34,amplitude_35,amplitude_36,amplitude_37,amplitude_38,amplitude_39,amplitude_40,amplitude_41,amplitude_42,amplitude_43,amplitude_44,amplitude_45,amplitude_46,amplitude_47,amplitude_48,amplitude_49,amplitude_50,amplitude_51,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_16,phase_17,phase_18,phase_19,phase_20,phase_21,phase_22,phase_23,phase_24,phase_25,phase_26,phase_27,phase_28,phase_29,phase_30,phase_31,phase_32,phase_33,phase_34,phase_35,phase_36,phase_37,phase_38,phase_39,phase_40,phase_41,phase_42,phase_43,phase_44,phase_45,phase_46,phase_47,phase_48,phase_49,phase_50,phase_51
-48,15.811388,17.804494,21.213203,23.430749,23.600847,23.853721,23.323808,20.59126,18.788294,15.231546,11.7047,8.246211,4.0,2.236068,6.403124,11.661904,14.764823,17.888544,21.023796,22.847319,23.769729,24.698178,23.769729,22.472205,21.18962,19.313208,7.28011,9.486833,5.385165,1.0,4.123106,8.246211,12.649111,16.763055,18.681542,21.18962,22.472205,22.472205,21.540659,20.615528,18.788294,16.124515,12.806248,10.630146,7.615773,7.071068,7.81025,10.29563,12.649111,15.132746,16.03122,18.0,2.536048,2.475623,2.356194,2.265535,2.205823,2.147172,2.111216,2.077895,2.010639,1.975688,1.919567,1.815775,1.570796,-0.463648,-0.896055,-1.030377,-1.076855,-1.107149,-1.128422,-1.165905,-1.182478,-1.197809,-1.182478,-1.206817,-1.234122,-1.199905,-1.292497,-1.249046,-1.19029,-1.570796,1.815775,1.815775,1.892547,1.873681,1.841743,1.907471,1.934775,1.934775,1.951303,1.969319,2.010639,2.089942,2.245537,2.422763,2.736701,-2.999696,-2.446854,-2.077895,-1.892547,-1.703348,-1.633215,-1.570796
-48,15.264338,17.804494,20.518285,22.671568,23.430749,23.600847,22.203603,20.248457,18.35756,15.652476,12.083046,8.246211,4.0,3.0,6.403124,11.313708,14.866069,17.029386,20.0,22.203603,23.600847,23.600847,23.021729,22.203603,20.248457,18.027756,7.211103,8.602325,5.830952,1.0,4.242641,9.219544,12.806248,15.620499,19.209373,21.260292,21.931712,21.931712,21.213203,20.518285,18.439089,15.811388,13.416408,10.198039,7.071068,6.403124,7.28011,9.0,11.401754,13.928388,15.652476,16.643317,2.589938,2.475623,2.390664,2.293776,2.265535,2.205823,2.196281,2.145101,2.083186,2.034444,1.997424,1.815775,1.570796,0.0,-0.674741,-0.785398,-0.832981,-0.868539,-0.927295,-0.945311,-0.93577,-0.93577,-0.970746,-0.945311,-0.996491,-0.982794,-0.982794,-0.950547,-1.030377,-1.570796,2.356194,2.279423,2.245537,2.265535,2.245537,2.289626,2.323948,2.323948,2.356194,2.390664,2.432966,2.536048,2.677945,2.944197,-2.999696,-2.466852,-1.849096,-1.570796,-1.304544,-1.203622,-1.107149,-0.999459
-48,14.866069,17.464249,20.223748,22.090722,23.021729,23.0,22.022716,20.099751,17.117243,15.297059,11.401754,7.615773,4.242641,2.828427,7.28011,11.045361,15.033296,18.0,21.0,22.0,24.020824,24.020824,23.021729,22.022716,21.095023,19.026298,8.062258,9.055385,6.082763,1.0,4.0,8.0,12.0,15.0,18.0,20.0,22.022716,22.022716,21.023796,20.099751,18.248288,15.524175,12.083046,10.0,7.211103,6.0,7.211103,10.0,12.083046,14.56022,16.278821,17.117243,1.91382,1.801887,1.719686,1.661456,1.614247,1.570796,1.525373,1.471128,1.453688,1.373401,1.304544,1.165905,0.785398,-0.785398,-1.292497,-1.480136,-1.504228,-1.570796,-1.570796,-1.570796,-1.612439,-1.612439,-1.614247,-1.61622,-1.665748,-1.623379,-1.695151,-1.681454,-1.735945,-1.570796,1.570796,1.570796,1.570796,1.570796,1.570796,1.570796,1.61622,1.61622,1.618379,1.670465,1.735945,1.831399,1.997424,2.214297,2.55359,3.141593,-2.55359,-2.214297,-1.997424,-1.849096,-1.756144,-1.687905
-48,14.317821,17.262677,21.023796,23.021729,23.086793,23.194827,22.36068,20.615528,18.681542,15.811388,12.083046,8.062258,3.605551,3.605551,7.071068,11.0,15.033296,18.11077,21.377558,23.537205,24.738634,24.738634,23.769729,22.561028,20.615528,19.646883,7.071068,9.219544,6.0,1.414214,5.0,8.602325,12.529964,16.124515,18.788294,21.023796,22.847319,22.847319,21.540659,20.248457,18.681542,15.297059,13.038405,10.049876,6.708204,5.385165,7.071068,8.944272,11.401754,14.142136,16.401219,16.643317,0.211093,0.174672,0.047583,-0.043451,-0.086738,-0.129703,-0.179853,-0.244979,-0.270947,-0.321751,-0.426627,-0.519146,-0.982794,-2.158799,-2.999696,3.141593,3.075024,3.030935,2.953371,2.927532,2.896614,2.896614,2.88641,2.918116,2.896614,2.884269,2.999696,2.922924,3.141593,-2.356194,-0.643501,-0.620249,-0.499347,-0.519146,-0.439843,-0.442374,-0.404892,-0.404892,-0.380506,-0.35299,-0.270947,-0.197396,-0.076772,0.099669,0.463648,1.19029,1.712693,2.034444,2.231839,2.356194,2.485897,2.570255
-48,15.811388,18.439089,21.213203,24.083189,25.0,25.019992,24.083189,22.090722,19.235384,16.492423,13.601471,8.944272,5.656854,4.123106,6.708204,10.440307,14.142136,17.117243,20.024984,22.022716,23.0,24.0,23.0,22.0,20.0,18.0,7.0,8.0,5.0,1.0,5.09902,9.055385,13.038405,17.029386,20.024984,22.022716,23.0,24.0,23.021729,21.023796,19.104973,16.278821,13.601471,9.848858,7.071068,5.09902,5.830952,8.602325,10.77033,13.341664,15.132746,16.03122,-1.249046,-1.352127,-1.428899,-1.487655,-1.570796,-1.610775,-1.653938,-1.661456,-1.727398,-1.815775,-1.869295,-2.034444,-2.356194,2.896614,2.034444,1.862253,1.712693,1.687905,1.620755,1.61622,1.570796,1.570796,1.570796,1.570796,1.570796,1.570796,1.570796,1.570796,1.570796,3.141593,-1.768192,-1.681454,-1.647568,-1.629552,-1.620755,-1.61622,-1.570796,-1.570796,-1.527345,-1.523213,-1.465919,-1.385448,-1.272297,-1.152572,-0.785398,-0.197396,0.54042,0.950547,1.19029,1.343997,1.438245,1.508378
-48,17.464249,20.223748,24.020824,26.019224,27.073973,27.166155,26.305893,24.515301,21.587033,17.720045,14.866069,10.29563,5.656854,4.123106,6.708204,11.18034,16.03122,19.026298,22.0,24.020824,26.07681,26.07681,26.07681,24.083189,22.090722,20.024984,7.0,9.055385,6.0,1.0,5.09902,10.198039,14.142136,19.235384,22.203603,24.083189,26.019224,26.019224,25.0,23.0,21.023796,18.248288,14.56022,11.18034,7.81025,6.082763,6.708204,9.219544,12.529964,14.866069,16.278821,18.11077,-1.339706,-1.421906,-1.529154,-1.609239,-1.644735,-1.681454,-1.723446,-1.776192,-1.80454,-1.856848,-1.91382,-2.077895,-2.356194,2.896614,2.034444,1.75065,1.633215,1.623379,1.570796,1.529154,1.494024,1.494024,1.494024,1.487655,1.480136,1.520838,1.570796,1.460139,1.570796,3.141593,-1.768192,-1.768192,-1.712693,-1.727398,-1.706324,-1.653938,-1.609239,-1.609239,-1.570796,-1.570796,-1.523213,-1.405648,-1.292497,-1.107149,-0.876058,-0.165149,0.463648,0.86217,1.07145,1.227772,1.385448,1.460139
-48,14.56022,17.088007,20.124612,21.954498,23.021729,23.600847,22.022716,20.518285,18.384776,15.620499,12.206556,8.062258,5.09902,3.605551,7.071068,10.77033,14.317821,17.492856,20.248457,22.472205,23.600847,23.600847,23.021729,21.633308,20.808652,18.601075,7.211103,8.602325,5.830952,1.0,4.242641,8.485281,12.727922,16.278821,19.104973,21.260292,22.022716,22.203603,21.400935,20.248457,18.027756,15.652476,12.083046,9.219544,6.082763,5.0,6.0,8.544004,11.18034,13.601471,14.866069,16.278821,-0.2783,-0.358771,-0.463648,-0.524796,-0.60005,-0.635027,-0.688924,-0.750929,-0.785398,-0.876058,-0.96007,-1.05165,-1.373401,-2.55359,2.999696,2.761086,2.709185,2.601173,2.567288,2.578276,2.506566,2.506566,2.541542,2.55359,2.52693,2.508844,2.55359,2.521343,2.601173,3.141593,-0.785398,-0.785398,-0.785398,-0.741947,-0.748378,-0.71883,-0.688924,-0.625485,-0.652847,-0.574305,-0.588003,-0.463648,-0.426627,-0.218669,0.165149,0.927295,1.570796,1.929567,2.034444,2.199593,2.308611,2.399645
-48,15.033296,18.11077,20.396078,23.086793,23.4094,23.769729,23.259407,21.470911,18.867962,15.811388,12.806248,8.485281,4.472136,4.242641,7.071068,11.045361,15.297059,18.681542,20.880613,23.4094,24.698178,24.698178,23.4094,22.472205,21.18962,19.313208,7.28011,9.486833,5.385165,1.414214,4.242641,8.602325,12.529964,16.124515,19.235384,21.023796,22.847319,22.472205,22.472205,20.248457,18.681542,15.297059,13.038405,9.055385,5.830952,5.385165,6.324555,9.433981,11.313708,13.601471,16.124515,17.0,-0.066568,-0.110657,-0.197396,-0.308053,-0.348771,-0.388319,-0.444419,-0.484478,-0.558599,-0.605545,-0.674741,-0.785398,-1.107149,-2.356194,-2.999696,3.050933,2.944197,2.870646,2.850136,2.792822,2.768605,2.768605,2.792822,2.777614,2.804918,2.770701,2.863293,2.819842,2.761086,-2.356194,-0.785398,-0.620249,-0.499347,-0.519146,-0.486899,-0.442374,-0.404892,-0.363979,-0.363979,-0.35299,-0.270947,-0.197396,-0.076772,0.110657,0.54042,1.19029,1.892547,2.129396,2.356194,2.512796,2.622447,2.651635
-48,14.866069,17.464249,20.59126,22.203603,22.803509,23.430749,21.931712,19.79899,17.691806,15.0,12.206556,7.615773,4.0,4.123106,7.28011,12.083046,15.264338,18.027756,20.808652,22.803509,24.207437,24.207437,24.207437,22.803509,21.400935,19.209373,7.81025,9.219544,5.656854,1.414214,3.605551,7.81025,12.206556,15.0,18.601075,20.808652,21.633308,21.954498,20.59126,19.235384,17.464249,14.866069,12.165525,9.0,6.708204,5.385165,7.071068,9.848858,12.206556,14.142136,16.278821,17.204651,1.227772,1.158386,1.063698,0.945311,0.909753,0.876058,0.817645,0.785398,0.745419,0.643501,0.610726,0.404892,0.0,-1.325818,-1.849096,-1.997424,-2.122451,-2.158799,-2.185459,-2.231839,-2.239086,-2.239086,-2.239086,-2.231839,-2.223643,-2.245537,-2.265535,-2.279423,-2.356194,-2.356194,0.982794,0.876058,0.96007,0.927295,0.938047,0.956133,0.982794,1.046001,1.063698,1.083897,1.158386,1.227772,1.405648,1.570796,2.034444,2.761086,-2.999696,-2.723368,-2.530867,-2.356194,-2.312744,-2.191046
-48,15.0,17.691806,20.518285,22.803509,23.600847,23.853721,21.954498,20.124612,18.788294,16.155494,12.369317,9.055385,5.09902,3.162278,6.708204,9.899495,14.21267,17.204651,19.416488,21.633308,23.323808,23.323808,21.954498,21.095023,19.723083,17.492856,6.403124,8.062258,5.0,1.0,4.123106,8.544004,12.649111,15.811388,19.313208,21.540659,21.931712,22.36068,21.470911,20.124612,18.35756,15.811388,12.806248,9.219544,6.324555,5.09902,5.830952,8.246211,11.045361,13.038405,14.317821,15.811388,-0.643501,-0.745419,-0.819867,-0.909753,-0.93577,-0.994421,-1.046001,-1.107149,-1.130954,-1.19029,-1.325818,-1.460139,-1.768192,-2.819842,2.677945,2.356194,2.256526,2.191046,2.173084,2.158799,2.111216,2.111216,2.095592,2.119346,2.10252,2.111216,2.245537,2.089942,2.214297,3.141593,-1.325818,-1.212026,-1.249046,-1.249046,-1.199905,-1.19029,-1.147942,-1.107149,-1.086318,-1.107149,-1.058407,-0.965252,-0.896055,-0.708626,-0.321751,0.197396,1.030377,1.325818,1.480136,1.647568,1.78189,1.892547
