rssi,amplitude,phase
-63,"[6.403124, 7.071068, 10.0, 10.816654, 11.18034, 12.083046, 10.77033, 9.486833, 7.28011, 6.324555, 4.123106, 1.0, 2.0, 5.0, 9.055385, 12.165525, 14.317821, 15.524175, 16.763055, 18.027756, 17.088007, 16.155494, 14.317821, 12.529964, 9.433981, 7.211103, 2.0, 3.0, 5.385165, 8.944272, 12.083046, 14.317821, 17.088007, 18.973666, 20.880613, 22.561028, 22.36068, 22.36068, 21.377558, 20.396078, 17.464249, 14.56022, 11.7047, 8.602325, 6.403124, 5.0, 6.403124, 9.219544, 11.18034, 13.0, 15.524175, 17.262677]","[0.674741, 0.785398, 0.927295, 0.982794, 1.107149, 1.144169, 1.19029, 1.249046, 1.292497, 1.249046, 1.325818, 1.570796, -1.570796, -1.570796, -1.460139, -1.405648, -1.359703, -1.310194, -1.267911, -1.231504, -1.212026, -1.19029, -1.138389, -1.07145, -1.012197, -0.982794, -1.570796, 3.141593, 2.761086, 2.677945, 2.714965, 2.709185, 2.782822, 2.819842, 2.850136, 2.918116, 2.961739, 2.961739, 2.953371, 2.944197, 2.910502, 2.863293, 2.792822, 2.521343, 2.245537, 1.570796, 0.896055, 0.708626, 0.463648, 0.394791, 0.260602, 0.174672]"
-63,"[6.708204, 8.602325, 10.630146, 12.041595, 12.727922, 12.806248, 12.206556, 10.816654, 9.433981, 6.708204, 4.123106, 2.0, 1.414214, 4.472136, 8.544004, 11.401754, 13.341664, 15.297059, 16.278821, 17.117243, 17.117243, 16.03122, 14.0, 12.0, 9.0, 7.071068, 1.0, 2.236068, 5.385165, 8.944272, 11.661904, 14.764823, 17.492856, 20.248457, 21.400935, 23.430749, 23.430749, 23.430749, 22.022716, 20.615528, 17.804494, 15.811388, 12.529964, 9.486833, 7.071068, 5.656854, 7.28011, 9.0, 11.401754, 13.928388, 15.652476, 17.204651]","[2.034444, 2.191046, 2.289626, 2.297439, 2.356194, 2.466852, 2.530867, 2.55359, 2.582993, 2.677945, 2.896614, 3.141593, -0.785398, -0.463648, -0.358771, -0.266252, -0.226799, -0.197396, -0.185348, -0.117109, -0.117109, -0.062419, 0.0, 0.0, 0.0, 0.141897, 0.0, -2.677945, -2.761086, -2.677945, -2.601173, -2.647651, -2.601173, -2.567288, -2.488746, -2.446854, -2.446854, -2.446854, -2.452668, -2.459276, -2.475623, -2.536048, -2.642246, -2.819842, 2.999696, 2.356194, 1.849096, 1.570796, 1.304544, 1.203622, 1.107149, 0.950547]"
-62,"[8.544004, 9.219544, 11.18034, 12.041595, 13.0, 13.0, 12.0, 11.045361, 9.055385, 6.082763, 4.0, 1.0, 2.236068, 5.656854, 8.602325, 11.401754, 13.453624, 14.866069, 15.556349, 16.278821, 15.620499, 15.0, 13.601471, 11.661904, 8.944272, 6.708204, 1.0, 1.414214, 4.123106, 8.246211, 11.18034, 13.152946, 16.03122, 18.0, 19.026298, 21.095023, 21.213203, 20.223748, 19.235384, 17.117243, 15.033296, 13.0, 10.198039, 7.615773, 6.403124, 6.0, 8.246211, 10.29563, 12.806248, 14.866069, 16.401219, 18.027756]","[-1.929567, -1.789465, -1.75065, -1.653938, -1.570796, -1.570796, -1.570796, -1.480136, -1.460139, -1.405648, -1.570796, -1.570796, 2.677945, 2.356194, 2.191046, 2.231839, 2.303611, 2.308611, 2.356194, 2.399645, 2.446854, 2.498092, 2.512796, 2.601173, 2.677945, 2.677945, 3.141593, -0.785398, -0.244979, -0.244979, -0.179853, -0.152649, -0.062419, 0.0, 0.052583, 0.094952, 0.141897, 0.14889, 0.156602, 0.117109, 0.066568, 0.0, -0.197396, -0.404892, -0.896055, -1.570796, -1.815775, -2.077895, -2.245537, -2.403778, -2.485897, -2.55359]"
-63,"[7.071068, 9.0, 11.045361, 12.165525, 12.369317, 12.649111, 12.649111, 10.77033, 8.944272, 6.708204, 3.162278, 1.0, 2.236068, 5.830952, 8.062258, 11.661904, 13.892444, 15.652476, 16.552945, 17.464249, 17.088007, 15.811388, 14.56022, 12.369317, 10.198039, 7.071068, 2.0, 1.0, 4.0, 7.071068, 10.198039, 13.341664, 15.811388, 18.027756, 19.697716, 21.023796, 21.470911, 21.470911, 20.124612, 18.788294, 16.552945, 13.928388, 10.198039, 8.0, 5.830952, 6.324555, 8.0, 10.440307, 13.0, 14.764823, 17.204651, 18.439089]","[-1.712693, -1.570796, -1.480136, -1.405648, -1.325818, -1.249046, -1.249046, -1.19029, -1.107149, -1.107149, -1.249046, -1.570796, 2.677945, 2.601173, 2.622447, 2.601173, 2.613518, 2.677945, 2.704965, 2.729182, 2.782822, 2.819842, 2.863293, 2.896614, 2.944197, 2.999696, 3.141593, 0.0, 0.0, 0.141897, 0.197396, 0.226799, 0.321751, 0.339293, 0.418224, 0.442374, 0.484478, 0.484478, 0.463648, 0.439843, 0.436627, 0.367174, 0.197396, 0.0, -0.54042, -1.249046, -1.570796, -1.862253, -1.965587, -2.064738, -2.191046, -2.279423]"
-63,"[8.062258, 9.433981, 11.401754, 13.453624, 14.142136, 14.142136, 13.453624, 11.401754, 10.0, 7.81025, 5.0, 2.236068, 1.0, 5.0, 8.0, 11.0, 14.0, 16.03122, 16.03122, 17.117243, 16.278821, 15.297059, 14.56022, 12.649111, 9.486833, 6.708204, 1.414214, 2.828427, 5.0, 8.485281, 12.041595, 14.142136, 17.029386, 19.209373, 20.808652, 22.472205, 22.825424, 22.825424, 20.59126, 19.723083, 16.643317, 13.601471, 11.313708, 9.433981, 7.071068, 6.708204, 8.485281, 10.29563, 12.649111, 15.132746, 17.029386, 18.0]","[-2.622447, -2.582993, -2.480549, -2.408778, -2.356194, -2.356194, -2.303611, -2.231839, -2.214297, -2.265535, -2.214297, -2.677945, 1.570796, 1.570796, 1.570796, 1.570796, 1.570796, 1.633215, 1.633215, 1.687905, 1.756144, 1.768192, 1.849096, 1.892547, 1.892547, 2.034444, 2.356194, -0.785398, -0.927295, -0.785398, -0.844154, -0.785398, -0.702257, -0.674741, -0.614663, -0.563316, -0.502843, -0.502843, -0.507099, -0.531724, -0.571337, -0.628796, -0.785398, -1.012197, -1.428899, -2.034444, -2.356194, -2.634494, -2.819842, -3.009041, -3.082837, 3.141593]"
-62,"[8.602325, 10.0, 12.041595, 13.453624, 13.453624, 12.806248, 12.206556, 10.816654, 8.062258, 5.830952, 2.236068, 0.0, 3.162278, 6.324555, 10.198039, 13.152946, 15.132746, 17.117243, 18.11077, 18.027756, 18.0, 17.0, 15.033296, 13.152946, 10.198039, 7.28011, 1.414214, 2.236068, 5.0, 8.246211, 11.7047, 13.928388, 16.552945, 19.235384, 20.59126, 21.633308, 21.633308, 20.808652, 20.248457, 18.027756, 16.124515, 12.083046, 9.219544, 7.0, 5.0, 6.082763, 9.219544, 11.7047, 14.764823, 16.643317, 17.804494, 19.104973]","[-0.950547, -0.927295, -0.844154, -0.732815, -0.732815, -0.674741, -0.610726, -0.588003, -0.519146, -0.54042, -0.463648, 0.0, 2.819842, 2.819842, 2.944197, 2.988943, 3.009041, 3.024484, 3.030935, 3.086094, 3.141593, 3.141593, -3.075024, -2.988943, -2.944197, -2.863293, -2.356194, -0.463648, 0.0, 0.244979, 0.348771, 0.367174, 0.436627, 0.486899, 0.507099, 0.588003, 0.588003, 0.614663, 0.574305, 0.588003, 0.519146, 0.426627, 0.218669, 0.0, -0.643501, -1.405648, -1.789465, -1.919567, -2.064738, -2.142134, -2.236766, -2.319174]"
-63,"[6.708204, 8.062258, 10.0, 11.313708, 12.041595, 12.041595, 11.401754, 10.0, 8.602325, 5.830952, 3.162278, 1.0, 2.236068, 4.123106, 8.062258, 11.045361, 13.038405, 14.035669, 15.0, 16.0, 16.03122, 14.142136, 13.152946, 10.198039, 8.246211, 6.082763, 1.0, 2.828427, 5.656854, 9.219544, 12.041595, 14.866069, 17.029386, 18.601075, 20.808652, 21.954498, 22.825424, 22.36068, 21.470911, 19.235384, 17.0, 14.422205, 12.041595, 8.602325, 7.28011, 6.324555, 7.81025, 9.433981, 11.7047, 13.341664, 15.132746, 17.0]","[2.034444, 2.089942, 2.214297, 2.356194, 2.41495, 2.41495, 2.480549, 2.498092, 2.521343, 2.601173, 2.819842, 3.141593, -0.463648, -0.244979, -0.124355, -0.09066, -0.076772, -0.071307, 0.0, 0.0, 0.062419, 0.141897, 0.152649, 0.197396, 0.244979, 0.165149, 0.0, -2.356194, -2.356194, -2.432966, -2.297439, -2.308611, -2.273053, -2.203545, -2.185459, -2.095592, -2.07364, -2.034444, -2.055274, -2.057696, -2.060754, -2.158799, -2.297439, -2.521343, -2.863293, 2.819842, 2.446854, 2.129396, 1.919567, 1.797595, 1.703348, 1.570796]"
-63,"[5.830952, 8.062258, 10.0, 12.041595, 12.041595, 12.806248, 11.401754, 10.816654, 8.944272, 6.708204, 4.123106, 1.0, 2.0, 5.09902, 8.062258, 11.045361, 13.0, 15.0, 16.03122, 16.03122, 16.124515, 15.132746, 12.369317, 10.440307, 8.246211, 5.385165, 0.0, 2.828427, 5.656854, 8.485281, 12.041595, 14.866069, 17.029386, 18.601075, 20.248457, 21.954498, 22.36068, 22.36068, 21.470911, 19.235384, 17.0, 14.422205, 12.041595, 10.0, 7.28011, 6.082763, 7.071068, 9.433981, 11.7047, 13.341664, 15.033296, 17.0]","[2.111216, 2.089942, 2.214297, 2.297439, 2.41495, 2.466852, 2.480549, 2.55359, 2.677945, 2.677945, 2.896614, 3.141593, 0.0, -0.197396, -0.124355, -0.09066, 0.0, 0.0, 0.062419, 0.062419, 0.124355, 0.132552, 0.244979, 0.291457, 0.244979, 0.380506, 0.0, -2.356194, -2.356194, -2.356194, -2.297439, -2.308611, -2.273053, -2.203545, -2.145101, -2.095592, -2.034444, -2.034444, -2.055274, -2.057696, -2.060754, -2.158799, -2.297439, -2.498092, -2.863293, 2.976444, 2.356194, 2.129396, 1.919567, 1.797595, 1.637364, 1.570796]"
-63,"[6.403124, 7.81025, 10.630146, 12.206556, 12.206556, 12.529964, 12.083046, 10.77033, 8.544004, 7.28011, 4.123106, 2.0, 1.0, 5.09902, 8.0, 11.0, 14.035669, 15.132746, 16.278821, 16.278821, 16.492423, 14.866069, 12.649111, 10.77033, 8.544004, 5.385165, 1.0, 3.605551, 5.656854, 9.219544, 12.206556, 14.422205, 17.492856, 19.235384, 21.023796, 22.847319, 23.769729, 22.847319, 21.540659, 19.313208, 17.464249, 14.764823, 12.206556, 9.219544, 7.615773, 6.082763, 7.211103, 9.219544, 12.083046, 13.601471, 16.278821, 17.029386]","[2.245537, 2.265535, 2.422763, 2.530867, 2.530867, 2.642246, 2.714965, 2.761086, 2.782822, 2.863293, 2.896614, 3.141593, 0.0, -0.197396, 0.0, 0.0, 0.071307, 0.132552, 0.185348, 0.185348, 0.244979, 0.343024, 0.321751, 0.380506, 0.358771, 0.380506, 0.0, -2.158799, -2.356194, -2.279423, -2.181522, -2.158799, -2.111216, -2.057696, -2.013171, -1.975688, -1.959115, -1.975688, -1.951303, -1.941688, -1.983207, -2.064738, -2.181522, -2.432966, -2.736701, 2.976444, 2.55359, 2.279423, 1.997424, 1.869295, 1.756144, 1.629552]"
-63,"[7.0, 8.062258, 9.219544, 10.440307, 11.7047, 11.18034, 11.18034, 9.433981, 8.062258, 5.830952, 3.605551, 1.0, 2.0, 4.123106, 7.615773, 10.77033, 12.649111, 13.601471, 15.524175, 15.297059, 15.297059, 15.132746, 13.038405, 12.0, 9.0, 7.0, 2.0, 1.0, 3.162278, 6.708204, 8.944272, 11.661904, 14.422205, 15.811388, 17.804494, 18.439089, 19.104973, 19.104973, 17.691806, 16.278821, 14.866069, 11.401754, 9.433981, 7.28011, 5.09902, 5.656854, 6.324555, 9.055385, 11.045361, 13.341664, 14.866069, 16.155494]","[-1.570796, -1.446441, -1.352127, -1.27934, -1.222025, -1.107149, -1.107149, -1.012197, -1.05165, -1.030377, -0.982794, -1.570796, 3.141593, 2.896614, 2.736701, 2.761086, 2.819842, 2.843094, 2.88099, 2.944197, 2.944197, 3.009041, 3.064821, 3.141593, 3.141593, 3.141593, 3.141593, 0.0, 0.321751, 0.463648, 0.463648, 0.54042, 0.588003, 0.605545, 0.665969, 0.708626, 0.748378, 0.748378, 0.745419, 0.741947, 0.737815, 0.661043, 0.558599, 0.2783, -0.197396, -0.785398, -1.249046, -1.460139, -1.661456, -1.797595, -1.91382, -1.951303]"
