rssi,amplitude,phase
-49,"[6.324555, 9.055385, 12.649111, 17.0, 19.209373, 21.213203, 22.203603, 21.954498, 21.023796, 18.973666, 16.492423, 13.152946, 9.055385, 4.0, 1.0, 6.082763, 10.440307, 14.56022, 18.384776, 21.470911, 23.323808, 25.238859, 24.413111, 25.0, 23.430749, 22.022716, 9.219544, 13.601471, 10.29563, 7.071068, 6.403124, 8.944272, 13.341664, 17.262677, 21.213203, 24.083189, 27.073973, 28.160256, 29.274562, 28.284271, 27.166155, 25.079872, 22.022716, 19.026298, 15.297059, 12.529964, 12.041595, 12.649111, 15.0, 19.235384, 23.537205, 26.925824]","[-1.249046, -1.681454, -1.892547, -2.060754, -2.245537, -2.356194, -2.516108, -2.616797, -2.699218, -2.819842, -2.896614, -2.988943, -3.030935, 3.141593, 0.0, -0.165149, -0.291457, -0.2783, -0.390607, -0.484478, -0.54042, -0.588003, -0.610726, -0.643501, -0.694738, -0.688924, -0.708626, -0.628796, -0.507099, -0.141897, 0.674741, 1.107149, 1.343997, 1.396124, 1.428899, 1.487655, 1.496857, 1.464061, 1.43373, 1.428899, 1.460139, 1.490966, 1.525373, 1.623379, 1.768192, 2.070143, 2.41495, 2.819842, 3.141593, -2.984991, -2.927532, -2.878598]"
-49,"[4.123106, 5.830952, 10.0, 13.416408, 15.811388, 18.439089, 19.104973, 20.0, 19.104973, 18.439089, 15.811388, 13.416408, 9.433981, 5.0, 1.0, 4.472136, 8.602325, 12.806248, 16.970563, 19.849433, 22.203603, 23.021729, 23.853721, 23.323808, 22.825424, 21.470911, 8.602325, 14.422205, 11.401754, 8.062258, 6.0, 8.602325, 11.401754, 16.124515, 20.124612, 23.259407, 26.400758, 28.178006, 28.178006, 28.178006, 26.832816, 25.495098, 22.847319, 19.313208, 15.524175, 13.038405, 10.440307, 9.899495, 11.7047, 15.132746, 19.0, 22.022716]","[1.325818, 1.030377, 0.643501, 0.463648, 0.321751, 0.218669, 0.104877, 0.0, -0.104877, -0.218669, -0.321751, -0.463648, -0.558599, -0.643501, -1.570796, 2.677945, 2.521343, 2.466852, 2.356194, 2.284887, 2.196281, 2.170847, 2.147172, 2.111216, 2.07364, 2.055274, 2.191046, 2.158799, 2.231839, 2.622447, 3.141593, -2.521343, -2.231839, -2.089942, -2.034444, -2.015216, -2.000559, -2.050316, -2.050316, -2.050316, -2.034444, -2.016902, -1.975688, -1.941688, -1.831399, -1.647568, -1.27934, -0.785398, -0.348771, -0.132552, 0.0, 0.045423]"
-49,"[5.830952, 8.062258, 11.401754, 14.317821, 16.643317, 17.691806, 19.209373, 18.867962, 17.888544, 17.088007, 14.317821, 11.045361, 7.0, 2.236068, 2.236068, 7.0, 11.045361, 14.317821, 17.720045, 20.615528, 22.825424, 23.323808, 23.853721, 23.021729, 22.203603, 20.808652, 8.062258, 12.529964, 10.77033, 8.0, 7.81025, 10.29563, 13.928388, 17.720045, 21.587033, 24.515301, 26.476405, 28.635642, 27.658633, 27.658633, 25.70992, 24.515301, 21.377558, 19.104973, 16.0, 12.369317, 10.816654, 11.661904, 13.341664, 17.029386, 21.023796, 23.086793]","[2.111216, 1.695151, 1.304544, 1.138389, 0.999459, 0.825377, 0.674741, 0.558599, 0.463648, 0.358771, 0.211093, 0.09066, 0.0, -0.463648, -2.677945, 3.141593, 3.050933, 2.930499, 2.855541, 2.74307, 2.638749, 2.601173, 2.565217, 2.541542, 2.516108, 2.52693, 2.622447, 2.642246, 2.761086, 3.141593, -2.446854, -2.077895, -1.93797, -1.856848, -1.80454, -1.776192, -1.760785, -1.78189, -1.789465, -1.789465, -1.806341, -1.776192, -1.759018, -1.675673, -1.570796, -1.325818, -0.982794, -0.54042, -0.226799, -0.058756, 0.047583, 0.086738]"
-48,"[3.162278, 5.656854, 10.29563, 13.601471, 16.124515, 18.0, 19.104973, 20.396078, 19.924859, 18.384776, 16.124515, 13.038405, 9.219544, 5.0, 1.0, 4.242641, 9.219544, 13.601471, 16.643317, 20.124612, 22.472205, 23.4094, 24.041631, 23.769729, 22.561028, 21.587033, 8.246211, 13.601471, 11.7047, 7.81025, 6.324555, 8.544004, 12.206556, 16.401219, 20.518285, 23.345235, 26.870058, 28.284271, 28.319605, 28.319605, 27.586228, 25.495098, 23.345235, 20.518285, 16.401219, 13.416408, 10.049876, 9.486833, 12.041595, 15.811388, 19.235384, 22.847319]","[1.249046, 0.785398, 0.507099, 0.298499, 0.124355, 0.0, -0.104877, -0.197396, -0.305879, -0.390607, -0.519146, -0.566729, -0.708626, -0.927295, -1.570796, 2.356194, 2.279423, 2.199593, 2.142134, 2.034444, 1.934775, 1.919567, 1.866237, 1.825979, 1.794273, 1.80454, 1.815775, 1.869295, 1.919567, 2.265535, 2.819842, -2.782822, -2.530867, -2.485897, -2.390664, -2.386488, -2.356194, -2.356194, -2.406153, -2.406153, -2.38183, -2.411693, -2.386488, -2.321725, -2.226492, -2.034444, -1.670465, -1.249046, -0.844154, -0.605545, -0.486899, -0.404892]"
-48,"[5.385165, 7.81025, 11.661904, 15.231546, 17.464249, 19.104973, 21.0, 21.095023, 20.396078, 18.681542, 17.088007, 13.416408, 9.848858, 5.830952, 1.0, 5.0, 9.433981, 13.038405, 17.0, 19.697716, 22.472205, 24.351591, 24.041631, 25.0, 23.769729, 22.561028, 9.219544, 14.56022, 11.7047, 8.602325, 6.324555, 7.28011, 10.816654, 14.866069, 19.104973, 22.671568, 25.495098, 26.907248, 27.586228, 27.586228, 26.172505, 24.758837, 22.022716, 19.209373, 15.264338, 11.7047, 9.0, 9.433981, 12.206556, 16.552945, 20.248457, 22.803509]","[-1.951303, -2.265535, -2.601173, -2.736701, -2.910502, -3.036716, 3.141593, 3.046641, 2.944197, 2.870646, 2.782822, 2.677945, 2.723368, 2.601173, 3.141593, -0.927295, -1.012197, -1.004067, -1.080839, -1.152572, -1.206817, -1.236059, -1.275355, -1.287002, -1.315614, -1.34732, -1.352127, -1.292497, -1.222025, -0.950547, -0.321751, 0.2783, 0.588003, 0.737815, 0.822418, 0.847817, 0.840897, 0.837981, 0.811034, 0.811034, 0.812419, 0.813962, 0.881872, 0.896055, 1.019141, 1.222025, 1.570796, 2.129396, 2.530867, 2.704965, 2.788602, 2.875341]"
-49,"[5.09902, 8.062258, 12.083046, 15.0, 18.384776, 20.0, 20.59126, 20.615528, 19.924859, 18.248288, 15.033296, 12.041595, 8.062258, 3.162278, 2.0, 7.071068, 11.401754, 15.231546, 19.235384, 22.472205, 24.413111, 25.612497, 25.495098, 24.758837, 24.041631, 22.627417, 9.219544, 14.21267, 11.661904, 8.062258, 7.615773, 10.630146, 14.764823, 19.313208, 23.4094, 26.248809, 28.460499, 30.675723, 31.016125, 30.083218, 28.79236, 26.570661, 24.041631, 20.615528, 17.117243, 14.142136, 12.529964, 12.206556, 14.866069, 18.248288, 22.090722, 26.0]","[1.768192, 1.446441, 1.144169, 0.927295, 0.785398, 0.643501, 0.507099, 0.398522, 0.305879, 0.165149, 0.066568, -0.083141, -0.124355, -0.321751, 3.141593, 2.999696, 2.875341, 2.736701, 2.654693, 2.578276, 2.530867, 2.466852, 2.411693, 2.384758, 2.356194, 2.356194, 2.432966, 2.455863, 2.601173, 3.017238, -2.736701, -2.289626, -2.064738, -1.941688, -1.919567, -1.880499, -1.892547, -1.902856, -1.933341, -1.94513, -1.925502, -1.916352, -1.866237, -1.815775, -1.687905, -1.428899, -1.07145, -0.610726, -0.343024, -0.165149, -0.09066, 0.0]"
-48,"[5.0, 8.246211, 11.661904, 14.866069, 17.804494, 19.723083, 21.023796, 21.18962, 20.615528, 19.235384, 17.117243, 14.0, 10.049876, 5.09902, 1.0, 4.123106, 8.544004, 13.0, 16.552945, 19.723083, 22.203603, 23.600847, 24.207437, 24.207437, 23.430749, 22.022716, 9.219544, 14.21267, 10.816654, 7.28011, 4.472136, 6.708204, 11.045361, 15.0, 19.026298, 22.090722, 25.079872, 27.073973, 27.073973, 27.073973, 26.07681, 24.083189, 22.090722, 18.248288, 14.866069, 11.661904, 8.602325, 9.055385, 12.649111, 16.124515, 20.0, 23.430749]","[-1.570796, -1.815775, -2.111216, -2.308611, -2.475623, -2.609869, -2.699218, -2.804918, -2.896614, -2.984991, -3.024484, 3.141593, 3.041924, 2.944197, 3.141593, -0.244979, -0.358771, -0.394791, -0.436627, -0.531724, -0.625485, -0.635027, -0.668289, -0.668289, -0.694738, -0.688924, -0.708626, -0.68573, -0.588003, -0.2783, 0.463648, 1.107149, 1.480136, 1.570796, 1.623379, 1.661456, 1.650626, 1.644735, 1.644735, 1.644735, 1.647568, 1.653938, 1.661456, 1.735945, 1.91382, 2.111216, 2.521343, 3.030935, -2.819842, -2.622447, -2.498092, -2.446854]"
-49,"[5.09902, 8.246211, 12.529964, 16.278821, 19.104973, 20.808652, 22.825424, 22.847319, 22.135944, 20.396078, 18.11077, 15.033296, 10.0, 5.0, 0.0, 5.09902, 9.486833, 14.317821, 17.888544, 21.095023, 23.853721, 25.806976, 25.612497, 25.612497, 24.839485, 22.671568, 9.219544, 15.0, 11.661904, 8.246211, 6.324555, 7.211103, 11.18034, 16.03122, 20.0, 24.020824, 27.018512, 29.0, 29.0, 29.0, 28.017851, 26.019224, 24.083189, 20.223748, 16.492423, 12.529964, 10.0, 10.198039, 13.341664, 17.464249, 21.954498, 25.238859]","[-1.373401, -1.815775, -2.070143, -2.312744, -2.393215, -2.52693, -2.638749, -2.736701, -2.819842, -2.944197, -3.030935, -3.075024, 3.141593, 3.141593, 0.0, -0.197396, -0.321751, -0.432408, -0.463648, -0.548549, -0.576375, -0.620249, -0.674741, -0.674741, -0.699893, -0.722979, -0.708626, -0.643501, -0.54042, -0.244979, 0.321751, 0.982794, 1.390943, 1.508378, 1.570796, 1.612439, 1.607816, 1.570796, 1.570796, 1.570796, 1.606495, 1.609239, 1.653938, 1.719686, 1.815775, 2.070143, 2.498092, 2.944197, -2.914794, -2.729182, -2.616797, -2.55359]"
-49,"[4.123106, 6.324555, 10.0, 13.453624, 16.401219, 18.35756, 19.697716, 19.924859, 19.416488, 18.11077, 16.0, 13.038405, 9.219544, 4.472136, 1.0, 5.09902, 9.486833, 13.0, 17.0, 20.248457, 22.203603, 23.430749, 23.430749, 23.345235, 22.627417, 21.213203, 9.219544, 14.21267, 11.401754, 8.544004, 6.324555, 7.81025, 12.083046, 15.524175, 19.416488, 22.36068, 25.317978, 27.45906, 27.658633, 27.658633, 26.476405, 25.495098, 22.36068, 20.099751, 16.0, 12.165525, 9.433981, 9.433981, 11.045361, 15.132746, 18.681542, 22.135944]","[1.815775, 1.249046, 0.927295, 0.732815, 0.655696, 0.512389, 0.418224, 0.305879, 0.207496, 0.110657, 0.0, -0.076772, -0.218669, -0.463648, -1.570796, 2.944197, 2.819842, 2.746802, 2.651635, 2.567288, 2.516108, 2.446854, 2.446854, 2.386488, 2.356194, 2.356194, 2.432966, 2.455863, 2.480549, 2.782822, -2.819842, -2.265535, -1.997424, -1.831399, -1.778293, -1.75065, -1.729452, -1.753907, -1.789465, -1.789465, -1.760785, -1.768192, -1.75065, -1.670465, -1.570796, -1.405648, -1.012197, -0.558599, -0.09066, 0.132552, 0.270947, 0.321751]"
-48,"[6.708204, 9.055385, 12.165525, 15.811388, 17.888544, 20.248457, 21.260292, 21.213203, 19.209373, 18.027756, 15.652476, 12.083046, 7.615773, 3.162278, 2.0, 6.0, 11.0, 15.033296, 19.104973, 21.377558, 23.769729, 25.0, 25.298221, 24.698178, 23.769729, 22.847319, 9.848858, 13.601471, 11.18034, 7.071068, 6.403124, 8.246211, 12.041595, 17.262677, 20.396078, 23.769729, 25.70992, 27.658633, 27.658633, 26.683328, 25.70992, 23.769729, 20.880613, 18.384776, 13.892444, 11.313708, 9.486833, 10.198039, 13.892444, 17.804494, 21.260292, 24.758837]","[-2.677945, -3.030935, 2.976444, 2.819842, 2.677945, 2.567288, 2.422763, 2.356194, 2.245537, 2.158799, 2.034444, 1.997424, 1.975688, 1.892547, -1.570796, -1.570796, -1.570796, -1.637364, -1.675673, -1.759018, -1.825979, -1.85459, -1.892547, -1.943784, -1.959115, -1.975688, -1.989021, -1.869295, -1.75065, -1.428899, -0.674741, -0.244979, 0.083141, 0.174672, 0.197396, 0.255182, 0.235545, 0.218669, 0.218669, 0.226799, 0.235545, 0.255182, 0.291457, 0.390607, 0.528074, 0.785398, 1.249046, 1.768192, 2.098871, 2.236766, 2.289626, 2.327631]"
