rssi,amplitude,phase
-59,"[4.0, 6.0, 10.0, 13.038405, 16.124515, 18.439089, 20.880613, 22.472205, 22.36068, 21.954498, 21.633308, 18.601075, 15.0, 11.401754, 6.708204, 3.605551, 7.28011, 12.165525, 17.262677, 22.561028, 25.96151, 28.460499, 29.154759, 29.546573, 29.068884, 27.784888, 11.661904, 17.204651, 13.892444, 8.544004, 6.324555, 7.615773, 12.165525, 17.117243, 21.095023, 24.186773, 26.172505, 27.294688, 26.476405, 23.537205, 20.396078, 17.117243, 14.0, 11.401754, 10.630146, 11.661904, 13.928388, 15.524175, 16.278821, 16.03122, 15.0, 14.317821]","[0.0, 0.0, 0.0, -0.076772, -0.124355, -0.218669, -0.291457, -0.363979, -0.463648, -0.524796, -0.588003, -0.632749, -0.643501, -0.661043, -0.463648, 0.588003, 1.292497, 1.405648, 1.396124, 1.34732, 1.297788, 1.249046, 1.183921, 1.152572, 1.107149, 1.042722, 1.030377, 0.950547, 1.042722, 1.212026, 1.892547, 2.736701, 2.976444, 3.024484, 3.046641, 3.017238, 3.026716, 2.994514, 2.951604, 2.927532, 2.944197, 3.024484, 3.141593, -2.875341, -2.422763, -2.111216, -1.93797, -1.831399, -1.756144, -1.633215, -1.570796, -1.359703]"
-59,"[4.0, 7.071068, 10.049876, 14.317821, 16.492423, 18.973666, 21.540659, 22.36068, 23.323808, 23.021729, 22.022716, 19.849433, 14.866069, 11.313708, 7.211103, 4.472136, 7.28011, 12.165525, 17.464249, 22.561028, 26.248809, 28.79236, 29.546573, 30.413813, 29.154759, 28.301943, 11.661904, 18.027756, 13.892444, 9.486833, 6.324555, 8.062258, 12.165525, 17.117243, 22.022716, 25.079872, 27.166155, 27.294688, 26.476405, 24.515301, 21.377558, 17.117243, 14.035669, 11.7047, 11.313708, 12.083046, 14.56022, 16.124515, 17.029386, 17.0, 16.03122, 14.317821]","[0.0, -0.141897, -0.099669, -0.211093, -0.244979, -0.321751, -0.380506, -0.463648, -0.54042, -0.60005, -0.688924, -0.714091, -0.737815, -0.785398, -0.588003, 0.463648, 1.292497, 1.405648, 1.339706, 1.34732, 1.261093, 1.216091, 1.152572, 1.092444, 1.030377, 1.012197, 1.030377, 0.982794, 1.042722, 1.249046, 1.892547, 2.622447, 2.976444, 3.024484, 3.096169, 3.061763, 3.030935, 2.994514, 2.951604, 2.936197, 2.953371, 3.024484, -3.070285, -2.792822, -2.356194, -1.997424, -1.849096, -1.695151, -1.629552, -1.570796, -1.508378, -1.359703]"
-60,"[4.123106, 6.324555, 9.486833, 12.529964, 15.264338, 18.601075, 20.518285, 21.931712, 22.022716, 21.633308, 19.723083, 18.35756, 14.764823, 10.29563, 6.403124, 4.123106, 7.81025, 13.038405, 18.027756, 22.203603, 26.248809, 28.319605, 29.698485, 29.732137, 29.206164, 27.802878, 11.401754, 17.204651, 13.601471, 9.219544, 6.0, 8.602325, 12.206556, 17.492856, 21.470911, 24.186773, 26.41969, 26.925824, 25.806976, 23.600847, 20.808652, 16.643317, 13.0, 11.045361, 9.486833, 11.401754, 13.453624, 14.422205, 16.124515, 15.231546, 14.866069, 13.152946]","[1.325818, 1.249046, 1.249046, 1.07145, 1.019141, 0.938047, 0.819867, 0.753151, 0.688924, 0.588003, 0.531724, 0.512389, 0.493941, 0.507099, 0.674741, 1.815775, 2.446854, 2.574863, 2.55359, 2.516108, 2.437099, 2.406153, 2.356194, 2.308611, 2.234842, 2.228685, 2.231839, 2.191046, 2.199593, 2.432966, 3.141593, -2.521343, -2.181522, -2.111216, -2.055274, -2.089942, -2.085248, -2.117585, -2.191046, -2.205823, -2.185459, -2.142134, -1.965587, -1.661456, -1.249046, -0.909753, -0.732815, -0.588003, -0.519146, -0.404892, -0.343024, -0.152649]"
-59,"[5.0, 8.062258, 11.18034, 13.928388, 16.763055, 19.646883, 21.377558, 23.086793, 23.021729, 23.021729, 21.213203, 19.235384, 16.124515, 12.041595, 8.062258, 5.656854, 9.0, 13.341664, 18.439089, 22.36068, 26.305893, 29.068884, 30.016662, 30.016662, 30.066593, 28.160256, 12.165525, 19.235384, 15.132746, 10.0, 6.708204, 7.071068, 11.18034, 15.524175, 19.924859, 23.086793, 25.0, 25.70992, 24.515301, 22.36068, 19.416488, 15.524175, 13.0, 9.899495, 9.486833, 11.0, 12.369317, 14.866069, 15.231546, 15.652476, 14.422205, 13.453624]","[-2.498092, -2.622447, -2.677945, -2.774419, -2.838708, -2.884269, -2.953371, -3.054854, -3.098142, 3.098142, 2.999696, 2.984991, 3.017238, 3.058451, -3.017238, -2.356194, -1.570796, -1.343997, -1.352127, -1.390943, -1.418147, -1.50194, -1.537475, -1.604117, -1.637364, -1.677532, -1.735945, -1.727398, -1.703348, -1.570796, -1.107149, -0.141897, 0.179853, 0.260602, 0.305879, 0.308053, 0.283794, 0.235545, 0.205395, 0.179853, 0.207496, 0.260602, 0.394791, 0.785398, 1.249046, 1.570796, 1.815775, 1.91382, 1.975688, 2.034444, 2.158799, 2.303611]"
-60,"[5.385165, 7.615773, 11.661904, 15.0, 18.439089, 20.518285, 22.671568, 23.600847, 24.698178, 24.596748, 22.847319, 20.248457, 16.155494, 12.083046, 7.81025, 6.0, 10.0, 14.866069, 19.79899, 24.758837, 29.068884, 31.400637, 32.449961, 33.615473, 32.649655, 31.304952, 13.416408, 20.615528, 16.552945, 10.816654, 6.708204, 8.544004, 12.806248, 17.691806, 22.671568, 25.495098, 27.586228, 29.0, 26.907248, 25.495098, 22.671568, 18.384776, 15.0, 11.7047, 10.049876, 11.18034, 14.21267, 15.556349, 16.278821, 15.811388, 15.652476, 14.56022]","[2.761086, 2.736701, 2.601173, 2.498092, 2.432966, 2.390664, 2.293776, 2.205823, 2.125104, 2.034444, 1.975688, 1.923787, 1.951303, 1.997424, 2.265535, 3.141593, -2.498092, -2.403778, -2.356194, -2.384758, -2.429235, -2.491722, -2.55359, -2.611377, -2.664247, -2.677945, -2.677945, -2.74307, -2.704965, -2.55359, -2.034444, -1.212026, -0.896055, -0.745419, -0.722979, -0.7299, -0.759763, -0.809784, -0.837981, -0.840897, -0.847817, -0.785398, -0.643501, -0.348771, 0.099669, 0.463648, 0.68573, 0.785398, 0.828849, 0.965252, 1.107149, 1.292497]"
-60,"[4.472136, 7.28011, 11.401754, 14.317821, 16.124515, 19.026298, 21.0, 22.090722, 22.36068, 22.561028, 20.880613, 18.973666, 14.866069, 10.77033, 7.071068, 4.242641, 7.0, 12.165525, 17.262677, 22.203603, 25.079872, 27.018512, 29.017236, 29.068884, 28.284271, 27.294688, 11.18034, 17.464249, 13.341664, 9.0, 5.0, 7.0, 11.7047, 16.155494, 19.697716, 22.847319, 24.698178, 25.632011, 24.041631, 21.84033, 18.973666, 16.155494, 13.038405, 10.0, 10.198039, 11.18034, 13.601471, 15.231546, 16.552945, 16.124515, 15.0, 13.453624]","[-1.107149, -1.292497, -1.304544, -1.359703, -1.446441, -1.518213, -1.570796, -1.661456, -1.75065, -1.794273, -1.862253, -1.892547, -1.91382, -1.951303, -1.712693, -0.785398, 0.0, 0.165149, 0.174672, 0.135528, 0.07983, 0.03702, -0.034469, -0.068856, -0.141897, -0.147078, -0.179853, -0.231091, -0.226799, 0.0, 0.643501, 1.570796, 1.919567, 1.951303, 1.989021, 1.975688, 1.943784, 1.929567, 1.866237, 1.849096, 1.892547, 1.951303, 2.137526, 2.498092, 2.944197, -2.961739, -2.843094, -2.736701, -2.704965, -2.622447, -2.498092, -2.303611]"
-59,"[4.0, 6.0, 10.049876, 13.152946, 16.492423, 18.681542, 21.18962, 22.36068, 22.825424, 21.633308, 21.400935, 19.104973, 14.866069, 10.630146, 6.708204, 4.472136, 7.615773, 13.341664, 17.464249, 21.84033, 25.298221, 27.856777, 28.635642, 29.529646, 29.154759, 27.45906, 10.816654, 17.204651, 13.892444, 8.544004, 6.324555, 8.062258, 12.369317, 17.117243, 21.095023, 24.186773, 26.305893, 26.476405, 25.70992, 23.769729, 20.615528, 17.262677, 14.0, 11.7047, 10.630146, 12.529964, 14.56022, 16.278821, 17.262677, 17.117243, 16.0, 14.142136]","[0.0, 0.0, -0.099669, -0.152649, -0.244979, -0.270947, -0.336675, -0.463648, -0.502843, -0.588003, -0.652847, -0.748378, -0.737815, -0.71883, -0.463648, 0.463648, 1.165905, 1.343997, 1.339706, 1.292497, 1.249046, 1.203622, 1.138389, 1.076855, 1.030377, 0.992894, 0.982794, 0.950547, 1.042722, 1.212026, 1.892547, 2.622447, 2.896614, 3.024484, 3.046641, 3.017238, 2.988943, 2.951604, 2.906048, 2.88641, 2.896614, 2.96692, 3.141593, -2.792822, -2.422763, -2.070143, -1.849096, -1.756144, -1.745469, -1.687905, -1.570796, -1.428899]"
-59,"[4.242641, 7.211103, 9.848858, 13.928388, 16.492423, 18.439089, 20.099751, 22.022716, 22.022716, 22.090722, 20.396078, 18.439089, 14.317821, 10.198039, 6.082763, 4.472136, 9.055385, 13.601471, 18.681542, 23.769729, 26.476405, 29.274562, 30.066593, 31.016125, 30.016662, 28.017851, 12.041595, 18.027756, 15.0, 10.198039, 7.071068, 8.062258, 12.369317, 17.088007, 20.615528, 23.769729, 26.0, 26.570661, 25.298221, 23.086793, 19.924859, 16.155494, 13.038405, 9.899495, 9.486833, 11.045361, 12.649111, 14.317821, 15.652476, 15.264338, 14.21267, 12.806248]","[2.356194, 2.158799, 1.989021, 1.93797, 1.815775, 1.789465, 1.670465, 1.61622, 1.525373, 1.480136, 1.373401, 1.352127, 1.359703, 1.373401, 1.735945, 2.677945, -3.030935, -2.843094, -2.870646, -2.88641, -2.951604, -3.004526, -3.075024, -3.109346, 3.108272, 3.105894, 3.058451, 3.086094, 3.141593, -2.944197, -2.356194, -1.695151, -1.325818, -1.212026, -1.172274, -1.182478, -1.176005, -1.225241, -1.249046, -1.262744, -1.264917, -1.19029, -1.004067, -0.785398, -0.321751, 0.09066, 0.321751, 0.432408, 0.463648, 0.551655, 0.68573, 0.896055]"
-59,"[5.0, 7.81025, 12.041595, 14.142136, 17.029386, 20.0, 21.954498, 23.259407, 23.769729, 23.086793, 22.561028, 19.416488, 16.278821, 12.369317, 7.615773, 6.324555, 8.544004, 13.892444, 18.867962, 23.323808, 26.832816, 29.546573, 31.016125, 31.32092, 29.832868, 28.635642, 12.165525, 18.248288, 15.297059, 9.848858, 6.403124, 7.071068, 11.661904, 16.401219, 20.0, 23.600847, 25.806976, 26.07681, 25.553865, 22.825424, 19.723083, 15.811388, 12.727922, 10.29563, 10.0, 11.7047, 13.038405, 15.0, 15.620499, 16.278821, 15.620499, 13.892444]","[-2.214297, -2.265535, -2.297439, -2.356194, -2.439336, -2.498092, -2.616797, -2.697173, -2.753274, -2.83354, -2.918116, -2.934096, -2.956245, -2.896614, -2.736701, -1.892547, -1.212026, -1.042722, -1.012197, -1.030377, -1.107149, -1.152572, -1.208252, -1.27934, -1.333948, -1.359703, -1.405648, -1.405648, -1.373401, -1.152572, -0.674741, 0.141897, 0.54042, 0.655696, 0.643501, 0.635027, 0.620249, 0.566729, 0.533708, 0.502843, 0.531724, 0.605545, 0.785398, 1.063698, 1.570796, 1.919567, 2.137526, 2.214297, 2.265535, 2.312744, 2.446854, 2.613518]"
-59,"[5.0, 8.062258, 11.18034, 13.928388, 17.088007, 19.646883, 22.36068, 23.194827, 24.020824, 23.021729, 22.090722, 19.235384, 16.124515, 12.041595, 8.062258, 6.403124, 9.0, 14.317821, 19.416488, 23.345235, 27.166155, 30.066593, 31.016125, 31.016125, 31.144823, 29.274562, 12.165525, 19.416488, 15.132746, 10.0, 6.708204, 7.28011, 11.18034, 16.492423, 19.924859, 24.041631, 25.96151, 26.683328, 25.317978, 23.345235, 20.223748, 16.492423, 13.0, 10.630146, 9.848858, 11.045361, 13.152946, 14.317821, 15.811388, 16.155494, 15.264338, 14.21267]","[-2.498092, -2.622447, -2.677945, -2.774419, -2.782822, -2.884269, -2.961739, -3.01189, -3.09995, 3.098142, 3.050933, 2.984991, 3.017238, 3.058451, -3.017238, -2.245537, -1.570796, -1.359703, -1.3633, -1.398606, -1.460139, -1.504228, -1.538549, -1.603043, -1.66727, -1.707863, -1.735945, -1.778293, -1.703348, -1.570796, -1.107149, -0.2783, 0.179853, 0.244979, 0.305879, 0.295441, 0.273009, 0.226799, 0.158655, 0.172191, 0.14889, 0.244979, 0.394791, 0.71883, 1.152572, 1.480136, 1.723446, 1.78189, 1.892547, 1.951303, 2.122451, 2.256526]"
