rssi,amplitude,phase
-48,"[17.0, 20.099751, 22.36068, 24.738634, 25.298221, 25.632011, 24.698178, 22.847319, 20.124612, 17.0, 13.601471, 9.219544, 5.385165, 4.242641, 8.062258, 13.0, 17.117243, 20.223748, 23.345235, 25.495098, 26.476405, 26.683328, 25.70992, 24.738634, 22.803509, 20.615528, 8.246211, 9.486833, 5.385165, 1.0, 5.09902, 10.0, 14.035669, 17.029386, 20.024984, 22.022716, 23.0, 24.0, 23.021729, 21.095023, 19.416488, 16.763055, 14.317821, 11.401754, 8.602325, 7.0, 8.062258, 10.0, 12.083046, 14.56022, 17.117243, 18.0]","[1.570796, 1.471128, 1.390943, 1.325818, 1.249046, 1.212026, 1.197809, 1.165905, 1.107149, 1.080839, 0.942, 0.86217, 0.380506, -0.785398, -1.446441, -1.570796, -1.687905, -1.719686, -1.742987, -1.768192, -1.760785, -1.797595, -1.806341, -1.815775, -1.837048, -1.815775, -1.815775, -1.892547, -1.951303, 3.141593, 1.768192, 1.570796, 1.499489, 1.512041, 1.520838, 1.525373, 1.570796, 1.570796, 1.614247, 1.665748, 1.778293, 1.873681, 2.003204, 2.231839, 2.521343, 3.141593, -2.622447, -2.214297, -1.997424, -1.849096, -1.687905, -1.570796]"
-48,"[16.278821, 19.026298, 22.0, 24.083189, 24.33105, 24.515301, 23.769729, 21.84033, 19.313208, 16.155494, 13.416408, 8.062258, 4.242641, 2.828427, 6.0, 10.198039, 14.317821, 17.720045, 19.924859, 22.135944, 23.4094, 24.351591, 23.4094, 22.472205, 20.615528, 18.384776, 6.708204, 8.544004, 5.385165, 0.0, 4.472136, 8.944272, 13.0, 17.464249, 19.697716, 21.540659, 23.4094, 23.4094, 22.135944, 20.880613, 19.646883, 16.278821, 14.0, 11.18034, 8.062258, 6.708204, 8.0, 9.486833, 11.661904, 14.21267, 16.278821, 16.401219]","[-2.956245, -3.08901, 3.141593, 3.058451, 2.976444, 2.936197, 2.88641, 2.863293, 2.770701, 2.761086, 2.677945, 2.622447, 2.356194, 0.785398, 0.0, -0.197396, -0.211093, -0.286051, -0.305879, -0.321751, -0.348771, -0.334737, -0.348771, -0.363979, -0.398522, -0.390607, -0.463648, -0.358771, -0.380506, 0.0, 2.677945, 2.677945, 2.746802, 2.729182, 2.723368, 2.761086, 2.792822, 2.792822, 2.819842, 2.850136, 2.884269, 2.956245, 3.141593, -2.961739, -2.622447, -2.034444, -1.570796, -1.249046, -1.030377, -0.885067, -0.741947, -0.655696]"
-48,"[16.03122, 19.026298, 22.203603, 24.515301, 24.738634, 25.298221, 23.4094, 21.931712, 20.124612, 17.0, 13.038405, 9.219544, 5.0, 3.605551, 6.082763, 10.049876, 14.317821, 17.720045, 19.924859, 22.472205, 23.769729, 23.769729, 22.847319, 21.931712, 20.615528, 18.384776, 6.324555, 8.544004, 4.472136, 1.0, 5.0, 9.433981, 13.601471, 17.492856, 19.723083, 21.954498, 23.706539, 23.706539, 23.259407, 21.931712, 19.313208, 16.763055, 14.317821, 11.0, 8.246211, 6.403124, 7.071068, 8.246211, 11.18034, 12.806248, 15.556349, 16.401219]","[-1.508378, -1.623379, -1.706324, -1.776192, -1.815775, -1.892547, -1.919567, -1.99365, -2.034444, -2.060754, -2.137526, -2.279423, -2.498092, 2.55359, 1.735945, 1.471128, 1.359703, 1.284745, 1.264917, 1.206817, 1.182478, 1.182478, 1.165905, 1.147942, 1.172274, 1.180189, 1.249046, 1.212026, 1.107149, 3.141593, -2.214297, -2.129396, -2.199593, -2.111216, -2.10252, -2.095592, -2.05331, -2.05331, -2.015216, -1.99365, -1.941688, -1.873681, -1.78189, -1.570796, -1.325818, -0.674741, -0.141897, 0.244979, 0.463648, 0.674741, 0.785398, 0.915101]"
-48,"[14.866069, 17.691806, 20.808652, 22.825424, 23.259407, 22.847319, 22.472205, 20.880613, 18.681542, 15.297059, 12.041595, 8.0, 4.123106, 2.236068, 6.708204, 11.7047, 14.56022, 18.439089, 21.377558, 23.194827, 24.186773, 24.083189, 24.083189, 23.086793, 21.023796, 19.026298, 7.0, 9.055385, 5.09902, 1.414214, 4.123106, 8.062258, 12.041595, 15.033296, 18.027756, 20.024984, 21.0, 21.0, 21.023796, 19.026298, 18.11077, 15.297059, 13.928388, 10.816654, 9.219544, 7.28011, 8.246211, 9.433981, 11.313708, 13.601471, 15.652476, 16.155494]","[2.403778, 2.316216, 2.185459, 2.07364, 2.015216, 1.975688, 1.934775, 1.862253, 1.841743, 1.768192, 1.653938, 1.570796, 1.325818, -0.463648, -1.107149, -1.222025, -1.292497, -1.352127, -1.382575, -1.441094, -1.446441, -1.487655, -1.487655, -1.484058, -1.523213, -1.518213, -1.570796, -1.460139, -1.373401, -0.785398, 1.325818, 1.446441, 1.487655, 1.504228, 1.515298, 1.520838, 1.570796, 1.570796, 1.618379, 1.623379, 1.681454, 1.768192, 1.93797, 2.158799, 2.432966, 2.863293, -2.896614, -2.582993, -2.356194, -2.199593, -2.034444, -1.951303]"
-49,"[17.088007, 20.615528, 24.33105, 26.172505, 27.073973, 26.0, 25.019992, 24.083189, 21.213203, 18.248288, 14.317821, 9.486833, 4.472136, 2.236068, 6.082763, 11.045361, 15.0, 18.027756, 21.023796, 23.086793, 25.179357, 25.179357, 25.179357, 23.194827, 21.213203, 19.235384, 7.071068, 9.055385, 5.09902, 1.0, 4.123106, 9.219544, 14.317821, 17.262677, 20.223748, 23.194827, 24.083189, 24.083189, 24.020824, 22.022716, 20.024984, 18.11077, 15.524175, 12.083046, 9.219544, 7.615773, 7.071068, 9.433981, 11.313708, 14.422205, 15.652476, 17.088007]","[-2.782822, -2.896614, -2.976444, -3.026716, -3.067654, 3.141593, 3.101614, 3.058451, 2.999696, 2.976444, 2.930499, 2.819842, 2.677945, 1.107149, 0.165149, 0.09066, 0.0, -0.055499, -0.047583, -0.086738, -0.119429, -0.119429, -0.119429, -0.129703, -0.141897, -0.156602, -0.141897, -0.110657, -0.197396, 0.0, 2.896614, 2.922924, 2.930499, 2.96692, 2.992703, 3.01189, 3.058451, 3.058451, 3.09995, 3.096169, -3.091634, -3.030935, -2.88099, -2.714965, -2.432966, -1.975688, -1.428899, -1.012197, -0.785398, -0.588003, -0.463648, -0.358771]"
-49,"[17.720045, 20.396078, 23.194827, 26.07681, 27.018512, 27.0, 26.019224, 24.083189, 21.213203, 18.439089, 14.56022, 9.848858, 5.656854, 3.162278, 6.708204, 11.401754, 15.297059, 18.11077, 21.095023, 23.021729, 25.019992, 25.019992, 25.019992, 23.021729, 21.023796, 20.024984, 7.071068, 9.0, 5.0, 0.0, 5.0, 10.0, 14.0, 18.0, 21.0, 23.021729, 24.083189, 24.083189, 23.194827, 22.203603, 19.416488, 16.763055, 13.928388, 10.816654, 7.81025, 5.09902, 5.830952, 8.062258, 10.440307, 13.152946, 15.033296, 17.029386]","[-1.284745, -1.373401, -1.441094, -1.494024, -1.533776, -1.570796, -1.609239, -1.653938, -1.712693, -1.789465, -1.849096, -1.989021, -2.356194, 2.819842, 2.034444, 1.837048, 1.768192, 1.681454, 1.665748, 1.614247, 1.610775, 1.610775, 1.610775, 1.614247, 1.618379, 1.620755, 1.712693, 1.570796, 1.570796, 0.0, -1.570796, -1.570796, -1.570796, -1.570796, -1.570796, -1.527345, -1.487655, -1.487655, -1.441094, -1.435269, -1.3633, -1.267911, -1.203622, -0.982794, -0.694738, -0.197396, 0.54042, 1.05165, 1.27934, 1.418147, 1.504228, 1.629552]"
-49,"[16.401219, 19.104973, 23.345235, 25.612497, 25.806976, 26.07681, 25.553865, 23.706539, 21.023796, 18.384776, 13.928388, 10.198039, 5.09902, 3.162278, 7.211103, 11.313708, 15.620499, 18.601075, 21.633308, 23.853721, 25.553865, 25.553865, 25.553865, 23.323808, 21.954498, 19.723083, 7.211103, 9.433981, 5.0, 1.0, 5.09902, 9.486833, 13.928388, 17.088007, 20.615528, 22.847319, 24.596748, 24.596748, 23.706539, 21.954498, 20.248457, 17.204651, 14.142136, 11.401754, 7.615773, 6.082763, 6.403124, 8.246211, 11.0, 14.142136, 15.524175, 17.088007]","[-0.655696, -0.748378, -0.815692, -0.896055, -0.950547, -1.004067, -1.037088, -1.088283, -1.128422, -1.180189, -1.203622, -1.373401, -1.768192, -2.819842, 2.55359, 2.356194, 2.265535, 2.203545, 2.158799, 2.147172, 2.104505, 2.104505, 2.104505, 2.111216, 2.095592, 2.10252, 2.158799, 2.129396, 2.214297, 3.141593, -1.373401, -1.249046, -1.203622, -1.212026, -1.172274, -1.165905, -1.107149, -1.107149, -1.088283, -1.046001, -0.996491, -0.950547, -0.785398, -0.661043, -0.404892, 0.165149, 0.896055, 1.325818, 1.570796, 1.712693, 1.831399, 1.929567]"
-48,"[16.401219, 18.867962, 22.36068, 23.769729, 25.298221, 25.0, 23.537205, 21.377558, 19.235384, 16.124515, 13.038405, 9.0, 5.09902, 2.0, 5.830952, 10.77033, 14.56022, 17.464249, 20.396078, 22.36068, 23.345235, 24.186773, 23.194827, 22.203603, 20.223748, 18.11077, 7.071068, 8.062258, 5.09902, 0.0, 5.0, 9.055385, 14.035669, 17.029386, 20.099751, 22.203603, 23.194827, 24.33105, 23.345235, 21.377558, 19.646883, 17.088007, 14.317821, 10.816654, 8.602325, 7.071068, 6.708204, 9.219544, 11.661904, 13.601471, 15.297059, 16.124515]","[-2.485897, -2.582993, -2.677945, -2.753274, -2.819842, -2.857799, -2.927532, -2.953371, -2.984991, -3.017238, -3.064821, 3.141593, 2.944197, 1.570796, 0.54042, 0.380506, 0.2783, 0.231091, 0.197396, 0.179853, 0.172191, 0.124355, 0.129703, 0.135528, 0.14889, 0.110657, 0.141897, 0.124355, 0.197396, 0.0, 3.141593, -3.030935, -3.070285, -3.082837, -3.041924, -3.006065, -3.01189, -2.976444, -2.969402, -2.953371, -2.884269, -2.782822, -2.709185, -2.55359, -2.191046, -1.712693, -1.107149, -0.708626, -0.54042, -0.298499, -0.197396, -0.124355]"
-48,"[15.297059, 18.11077, 21.023796, 23.021729, 24.083189, 23.345235, 22.36068, 20.615528, 18.973666, 16.155494, 12.083046, 8.062258, 3.605551, 2.828427, 7.0, 12.041595, 15.132746, 18.439089, 21.587033, 22.803509, 25.0, 25.298221, 25.0, 23.086793, 22.135944, 19.924859, 7.28011, 9.486833, 6.324555, 1.0, 3.605551, 7.615773, 12.083046, 16.155494, 19.313208, 21.18962, 22.135944, 23.086793, 21.84033, 20.615528, 18.439089, 15.132746, 13.0, 10.440307, 7.81025, 6.324555, 8.062258, 10.29563, 12.806248, 14.866069, 16.401219, 18.027756]","[1.768192, 1.681454, 1.618379, 1.527345, 1.487655, 1.398606, 1.390943, 1.325818, 1.249046, 1.19029, 1.144169, 1.05165, 0.588003, -0.785398, -1.570796, -1.653938, -1.703348, -1.789465, -1.80454, -1.837048, -1.85459, -1.892547, -1.85459, -1.878849, -1.892547, -1.876675, -1.849096, -1.892547, -1.892547, -1.570796, 0.982794, 1.165905, 1.144169, 1.19029, 1.199905, 1.234122, 1.249046, 1.262744, 1.292497, 1.325818, 1.352127, 1.438245, 1.570796, 1.862253, 2.265535, 2.819842, -3.017238, -2.634494, -2.466852, -2.308611, -2.226492, -2.158799]"
-48,"[15.033296, 17.117243, 20.396078, 22.803509, 23.4094, 23.4094, 21.931712, 21.023796, 17.888544, 15.264338, 12.806248, 9.219544, 5.385165, 5.0, 7.28011, 12.041595, 15.0, 18.027756, 21.095023, 23.194827, 23.345235, 24.33105, 23.345235, 21.377558, 19.235384, 17.262677, 7.071068, 7.071068, 4.123106, 0.0, 5.09902, 9.055385, 13.152946, 16.278821, 18.11077, 20.099751, 21.023796, 20.0, 20.024984, 18.11077, 16.278821, 13.341664, 10.77033, 7.81025, 5.830952, 5.09902, 7.071068, 8.944272, 11.401754, 13.152946, 15.033296, 16.03122]","[-0.066568, -0.117109, -0.197396, -0.266252, -0.348771, -0.348771, -0.422854, -0.442374, -0.463648, -0.551655, -0.674741, -0.86217, -1.19029, -2.214297, -2.863293, -3.058451, 3.141593, 3.086094, 3.046641, 3.01189, 2.969402, 2.976444, 2.969402, 2.953371, 2.984991, 2.96692, 2.999696, 2.999696, 2.896614, 0.0, -0.197396, -0.110657, -0.152649, -0.185348, -0.110657, -0.099669, -0.047583, 0.0, 0.049958, 0.110657, 0.185348, 0.226799, 0.380506, 0.694738, 1.030377, 1.768192, 2.356194, 2.677945, 2.875341, 2.988943, 3.075024, -3.079174]"
